begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H10E_out_2,2,60.00,0.26,32.60,32.60,5.00,2
120.00,240.00,H10E_out_2,13,390.00,2.02,27.03,26.82,5.00,13
240.00,360.00,H10E_out_2,29,870.00,4.69,25.79,25.75,5.00,29
360.00,480.00,H10E_out_2,28,840.00,4.54,25.77,25.69,5.00,28
480.00,600.00,H10E_out_2,31,930.00,5.07,25.56,25.49,5.00,31
600.00,720.00,H10E_out_2,38,1140.00,6.29,25.31,25.17,5.00,38
720.00,840.00,H10E_out_2,35,1050.00,6.00,24.42,24.32,5.00,35
840.00,960.00,H10E_out_2,44,1320.00,7.47,24.63,24.55,5.00,44
960.00,1080.00,H10E_out_2,40,1200.00,6.84,24.52,24.37,5.00,40
1080.00,1200.00,H10E_out_2,37,1110.00,6.39,24.25,24.11,5.00,37
1200.00,1320.00,H10E_out_2,39,1170.00,6.52,24.99,24.92,5.00,39
1320.00,1440.00,H10E_out_2,40,1200.00,6.64,25.22,25.10,5.00,40
1440.00,1560.00,H10E_out_2,36,1080.00,6.36,23.74,23.57,5.00,36
1560.00,1680.00,H10E_out_2,42,1260.00,7.28,24.17,24.04,5.00,42
1680.00,1800.00,H10E_out_2,46,1380.00,7.78,24.75,24.64,5.00,46
1800.00,1920.00,H10E_out_2,43,1290.00,7.81,23.10,22.94,5.00,43
1920.00,2040.00,H10E_out_2,38,1140.00,6.80,23.45,23.28,5.00,38
2040.00,2160.00,H10E_out_2,44,1320.00,7.66,24.08,23.94,5.00,44
2160.00,2280.00,H10E_out_2,40,1200.00,7.11,23.54,23.44,5.00,40
2280.00,2400.00,H10E_out_2,43,1290.00,7.52,24.00,23.84,5.00,43
2400.00,2520.00,H10E_out_2,44,1320.00,7.40,24.93,24.77,5.00,44
2520.00,2640.00,H10E_out_2,40,1200.00,7.10,23.60,23.48,5.00,40
2640.00,2760.00,H10E_out_2,45,1350.00,7.76,24.70,24.58,5.00,46
2760.00,2880.00,H10E_out_2,44,1320.00,7.77,23.28,23.20,5.00,43
2880.00,3000.00,H10E_out_2,38,1140.00,6.75,23.69,23.46,5.00,38
3000.00,3120.00,H10E_out_2,41,1230.00,7.39,23.28,23.11,5.00,41
3120.00,3240.00,H10E_out_2,39,1170.00,6.91,23.65,23.53,5.00,39
3240.00,3360.00,H10E_out_2,45,1350.00,8.23,22.95,22.77,5.00,45
3360.00,3480.00,H10E_out_2,35,1050.00,6.28,23.40,23.22,5.00,35
3480.00,3600.00,H10E_out_2,43,1290.00,7.64,23.61,23.44,5.00,43
3600.00,3720.00,H10E_out_2,34,1020.00,6.05,23.56,23.42,5.00,34
3720.00,3840.00,H10E_out_2,39,1170.00,6.79,24.06,23.94,5.00,39
3840.00,3960.00,H10E_out_2,37,1110.00,6.66,23.32,23.15,5.00,37
3960.00,4080.00,H10E_out_2,43,1290.00,7.83,23.15,22.89,5.00,43
4080.00,4200.00,H10E_out_2,40,1200.00,6.99,23.94,23.83,5.00,40
4200.00,4320.00,H10E_out_2,39,1170.00,7.00,23.36,23.20,5.00,39
4320.00,4440.00,H10E_out_2,38,1140.00,7.23,22.64,22.43,5.00,39
4440.00,4560.00,H10E_out_2,47,1410.00,8.40,22.97,22.84,5.00,46
4560.00,4680.00,H10E_out_2,46,1380.00,8.20,23.54,23.36,5.00,46
4680.00,4800.00,H10E_out_2,42,1260.00,7.38,23.88,23.70,5.00,42
4800.00,4920.00,H10E_out_2,40,1200.00,7.25,23.12,22.98,5.00,40
4920.00,5040.00,H10E_out_2,43,1290.00,7.61,23.70,23.54,5.00,43
5040.00,5160.00,H10E_out_2,40,1200.00,7.31,22.89,22.79,5.00,40
5160.00,5280.00,H10E_out_2,43,1290.00,7.74,23.26,23.13,5.00,43
5280.00,5400.00,H10E_out_2,44,1320.00,7.62,24.14,24.04,5.00,44
5400.00,5520.00,H10E_out_2,44,1320.00,7.98,23.06,22.96,5.00,44
5520.00,5640.00,H10E_out_2,35,1050.00,6.45,22.72,22.61,5.00,35
