begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H10E_2_4,0,0.00,0.00,-1.00,-1.00,-1.00,0
120.00,240.00,H10E_2_4,37,1110.00,5.46,28.31,28.25,5.00,37
240.00,360.00,H10E_2_4,54,1620.00,8.12,28.19,28.10,5.00,55
360.00,480.00,H10E_2_4,54,1620.00,7.69,28.90,28.81,5.00,53
480.00,600.00,H10E_2_4,63,1890.00,9.40,28.01,27.92,5.00,63
600.00,720.00,H10E_2_4,55,1650.00,8.31,27.82,27.70,5.00,56
720.00,840.00,H10E_2_4,63,1890.00,9.40,27.88,27.81,5.00,62
840.00,960.00,H10E_2_4,55,1650.00,8.22,27.99,27.88,5.00,55
960.00,1080.00,H10E_2_4,60,1800.00,9.09,27.54,27.49,5.00,60
1080.00,1200.00,H10E_2_4,64,1920.00,9.34,28.60,28.54,5.00,64
1200.00,1320.00,H10E_2_4,62,1860.00,9.33,27.75,27.70,5.00,62
1320.00,1440.00,H10E_2_4,63,1890.00,9.39,28.03,27.95,5.00,63
1440.00,1560.00,H10E_2_4,65,1950.00,9.56,28.41,28.33,5.00,65
1560.00,1680.00,H10E_2_4,64,1920.00,10.00,26.75,26.65,5.00,64
1680.00,1800.00,H10E_2_4,60,1800.00,9.14,27.44,27.35,5.00,60
1800.00,1920.00,H10E_2_4,56,1680.00,8.28,28.21,28.17,5.00,56
1920.00,2040.00,H10E_2_4,62,1860.00,9.39,27.58,27.52,5.00,62
2040.00,2160.00,H10E_2_4,56,1680.00,8.61,27.28,27.11,5.00,56
2160.00,2280.00,H10E_2_4,67,2010.00,10.11,27.64,27.62,5.00,67
2280.00,2400.00,H10E_2_4,57,1710.00,8.45,28.23,28.11,5.00,57
2400.00,2520.00,H10E_2_4,53,1590.00,7.42,29.82,29.78,5.00,53
2520.00,2640.00,H10E_2_4,58,1740.00,9.72,27.04,24.87,5.00,58
2640.00,2760.00,H10E_2_4,61,1830.00,8.81,28.92,28.86,5.00,61
2760.00,2880.00,H10E_2_4,51,1530.00,7.64,27.92,27.82,5.00,51
2880.00,3000.00,H10E_2_4,53,1590.00,7.89,28.09,27.99,5.00,53
3000.00,3120.00,H10E_2_4,56,1680.00,8.38,27.94,27.84,5.00,56
3120.00,3240.00,H10E_2_4,59,1770.00,8.98,27.46,27.37,5.00,59
3240.00,3360.00,H10E_2_4,61,1830.00,9.31,27.38,27.31,5.00,61
3360.00,3480.00,H10E_2_4,63,1890.00,10.24,26.64,26.18,5.00,64
3480.00,3600.00,H10E_2_4,59,1770.00,26.60,9.66,9.17,5.00,58
3600.00,3720.00,H10E_2_4,65,1950.00,17.94,19.26,15.10,5.00,65
3720.00,3840.00,H10E_2_4,79,2370.00,15.79,21.22,20.85,5.00,79
3840.00,3960.00,H10E_2_4,69,2070.00,22.09,14.42,13.01,5.00,69
3960.00,4080.00,H10E_2_4,67,2010.00,22.76,12.45,12.27,5.00,67
