begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H10E_in_4,61,1830.00,9.55,26.80,26.61,5.00,61
120.00,240.00,H10E_in_4,60,1800.00,9.58,26.30,26.09,5.00,60
240.00,360.00,H10E_in_4,59,1770.00,9.45,26.24,26.02,5.00,59
360.00,480.00,H10E_in_4,59,1770.00,9.21,26.87,26.68,5.00,59
480.00,600.00,H10E_in_4,61,1830.00,9.65,26.52,26.33,5.00,61
600.00,720.00,H10E_in_4,57,1710.00,8.91,26.85,26.65,5.00,57
720.00,840.00,H10E_in_4,59,1770.00,9.30,26.63,26.42,5.00,59
840.00,960.00,H10E_in_4,63,1890.00,9.84,26.86,26.67,5.00,63
960.00,1080.00,H10E_in_4,62,1860.00,9.69,26.85,26.67,5.00,62
1080.00,1200.00,H10E_in_4,63,1890.00,9.89,26.74,26.55,5.00,63
1200.00,1320.00,H10E_in_4,59,1770.00,9.53,26.04,25.80,5.00,59
1320.00,1440.00,H10E_in_4,61,1830.00,9.50,26.95,26.76,5.00,61
1440.00,1560.00,H10E_in_4,62,1860.00,9.74,26.75,26.52,5.00,62
1560.00,1680.00,H10E_in_4,61,1830.00,9.57,26.74,26.57,5.00,61
1680.00,1800.00,H10E_in_4,60,1800.00,9.29,27.08,26.92,5.00,60
1800.00,1920.00,H10E_in_4,63,1890.00,10.09,26.23,26.02,5.00,63
1920.00,2040.00,H10E_in_4,61,1830.00,9.64,26.61,26.36,5.00,61
2040.00,2160.00,H10E_in_4,63,1890.00,9.85,26.95,26.64,5.00,63
2160.00,2280.00,H10E_in_4,60,1800.00,9.46,26.67,26.43,5.00,60
2280.00,2400.00,H10E_in_4,58,1740.00,9.15,26.62,26.41,5.00,58
2400.00,2520.00,H10E_in_4,60,1800.00,9.30,27.06,26.87,5.00,60
2520.00,2640.00,H10E_in_4,62,1860.00,9.60,27.17,26.90,5.00,62
2640.00,2760.00,H10E_in_4,61,1830.00,9.75,26.35,26.08,5.00,61
2760.00,2880.00,H10E_in_4,60,1800.00,9.39,26.78,26.64,5.00,60
2880.00,3000.00,H10E_in_4,60,1800.00,9.47,26.54,26.40,5.00,60
3000.00,3120.00,H10E_in_4,60,1800.00,9.77,25.77,25.60,5.00,60
3120.00,3240.00,H10E_in_4,59,1770.00,9.55,26.00,25.74,5.00,59
3240.00,3360.00,H10E_in_4,61,1830.00,9.41,27.18,27.00,5.00,61
3360.00,3480.00,H10E_in_4,57,1710.00,8.77,27.26,27.08,5.00,57
3480.00,3600.00,H10E_in_4,57,1710.00,9.45,25.34,25.12,5.00,57
