begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H10E_out_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
120.00,240.00,H10E_out_0,4,120.00,0.72,23.13,22.99,5.00,4
240.00,360.00,H10E_out_0,8,240.00,1.44,23.28,23.20,5.00,8
360.00,480.00,H10E_out_0,9,270.00,1.68,22.37,22.33,5.00,9
480.00,600.00,H10E_out_0,11,330.00,2.05,22.49,22.41,5.00,11
600.00,720.00,H10E_out_0,7,210.00,1.29,22.72,22.58,5.00,7
720.00,840.00,H10E_out_0,10,300.00,1.75,24.00,23.83,5.00,10
840.00,960.00,H10E_out_0,13,390.00,3.20,21.10,16.93,5.00,13
960.00,1080.00,H10E_out_0,7,210.00,1.19,24.47,24.43,5.00,7
1080.00,1200.00,H10E_out_0,10,300.00,1.70,24.52,24.46,5.00,10
1200.00,1320.00,H10E_out_0,9,270.00,1.61,23.42,23.31,5.00,9
1320.00,1440.00,H10E_out_0,7,210.00,1.20,24.56,24.29,5.00,7
1440.00,1560.00,H10E_out_0,7,210.00,1.99,21.07,14.68,5.00,7
1560.00,1680.00,H10E_out_0,7,210.00,1.19,24.57,24.42,5.00,7
1680.00,1800.00,H10E_out_0,10,300.00,1.71,24.55,24.39,5.00,10
1800.00,1920.00,H10E_out_0,8,240.00,1.40,24.17,23.88,5.00,8
1920.00,2040.00,H10E_out_0,7,210.00,1.19,24.72,24.52,5.00,7
2040.00,2160.00,H10E_out_0,11,330.00,1.85,24.90,24.75,5.00,11
2160.00,2280.00,H10E_out_0,13,390.00,2.28,23.87,23.78,5.00,13
2280.00,2400.00,H10E_out_0,9,270.00,1.54,24.53,24.41,5.00,9
2400.00,2520.00,H10E_out_0,8,240.00,1.36,24.76,24.60,5.00,8
2520.00,2640.00,H10E_out_0,11,330.00,1.83,25.14,25.07,5.00,11
2640.00,2760.00,H10E_out_0,12,360.00,2.01,24.97,24.89,5.00,12
2760.00,2880.00,H10E_out_0,13,390.00,2.22,24.56,24.41,5.00,13
2880.00,3000.00,H10E_out_0,7,210.00,1.18,24.94,24.73,5.00,7
3000.00,3120.00,H10E_out_0,6,180.00,1.04,24.18,24.02,5.00,6
3120.00,3240.00,H10E_out_0,12,360.00,2.04,24.70,24.49,5.00,12
3240.00,3360.00,H10E_out_0,10,300.00,1.77,23.66,23.56,5.00,10
3360.00,3480.00,H10E_out_0,8,240.00,1.35,24.73,24.66,5.00,8
3480.00,3600.00,H10E_out_0,5,150.00,0.94,22.39,22.15,5.00,5
3600.00,3720.00,H10E_out_0,6,180.00,0.99,25.23,25.16,5.00,6
3720.00,3840.00,H10E_out_0,9,270.00,1.55,24.79,24.14,5.00,9
3840.00,3960.00,H10E_out_0,12,360.00,2.03,24.72,24.61,5.00,12
