begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,60.00,H10E_5_4,0,0.00,0.00,-1.00,-1.00,-1.00,0
60.00,120.00,H10E_5_4,0,0.00,0.00,-1.00,-1.00,-1.00,0
120.00,180.00,H10E_5_4,2,120.00,0.51,32.71,32.60,5.00,2
180.00,240.00,H10E_5_4,6,360.00,1.53,32.68,32.60,5.00,6
240.00,300.00,H10E_5_4,11,660.00,2.95,31.17,31.10,5.00,11
300.00,360.00,H10E_5_4,22,1320.00,6.74,27.42,27.22,5.00,22
360.00,420.00,H10E_5_4,15,900.00,4.31,29.06,29.01,5.00,15
420.00,480.00,H10E_5_4,25,1500.00,7.33,28.55,28.44,5.00,25
480.00,540.00,H10E_5_4,20,1200.00,6.05,27.69,27.54,5.00,20
540.00,600.00,H10E_5_4,26,1560.00,7.85,27.66,27.61,5.00,26
600.00,660.00,H10E_5_4,34,2040.00,11.46,24.88,24.71,5.00,34
660.00,720.00,H10E_5_4,20,1200.00,5.84,28.64,28.52,5.00,20
720.00,780.00,H10E_5_4,26,1560.00,7.88,27.55,27.50,5.00,26
780.00,840.00,H10E_5_4,26,1560.00,7.97,27.40,27.19,5.00,26
840.00,900.00,H10E_5_4,21,1260.00,6.40,28.36,28.29,5.00,22
900.00,960.00,H10E_5_4,31,1860.00,9.57,27.13,27.07,5.00,32
960.00,1020.00,H10E_5_4,25,1500.00,8.81,27.11,23.56,5.00,24
1020.00,1080.00,H10E_5_4,21,1260.00,6.30,27.86,27.79,5.00,21
1080.00,1140.00,H10E_5_4,25,1500.00,7.68,27.19,27.14,5.00,25
1140.00,1200.00,H10E_5_4,22,1320.00,6.64,27.80,27.63,5.00,22
1200.00,1260.00,H10E_5_4,29,1740.00,8.98,27.16,26.93,5.00,29
1260.00,1320.00,H10E_5_4,23,1380.00,6.69,28.78,28.66,5.00,23
1320.00,1380.00,H10E_5_4,17,1020.00,5.01,28.33,28.29,5.00,18
1380.00,1440.00,H10E_5_4,27,1620.00,8.45,26.76,26.63,5.00,27
1440.00,1500.00,H10E_5_4,16,960.00,4.83,28.92,28.78,5.00,18
1500.00,1560.00,H10E_5_4,30,1800.00,9.13,27.01,26.85,5.00,29
1560.00,1620.00,H10E_5_4,23,1380.00,7.17,27.44,27.18,5.00,24
1620.00,1680.00,H10E_5_4,22,1320.00,6.93,27.48,26.93,5.00,23
1680.00,1740.00,H10E_5_4,24,1440.00,6.98,28.23,28.16,5.00,23
1740.00,1800.00,H10E_5_4,25,1500.00,7.45,28.03,27.96,5.00,25
1800.00,1860.00,H10E_5_4,26,1560.00,8.12,26.79,26.67,5.00,26
1860.00,1920.00,H10E_5_4,30,1800.00,9.62,26.24,26.00,5.00,30
1920.00,1980.00,H10E_5_4,23,1380.00,6.98,27.67,27.44,5.00,23
1980.00,2040.00,H10E_5_4,28,1680.00,8.61,27.20,27.11,5.00,28
2040.00,2100.00,H10E_5_4,23,1380.00,6.82,28.15,28.12,5.00,23
2100.00,2160.00,H10E_5_4,23,1380.00,7.60,25.61,25.23,5.00,23
2160.00,2220.00,H10E_5_4,29,1740.00,11.04,24.90,21.89,5.00,29
2220.00,2280.00,H10E_5_4,19,1140.00,5.61,28.28,28.21,5.00,19
2280.00,2340.00,H10E_5_4,24,1440.00,7.19,27.91,27.81,5.00,24
2340.00,2400.00,H10E_5_4,23,1380.00,6.77,28.34,28.31,5.00,23
2400.00,2460.00,H10E_5_4,21,1260.00,6.05,28.99,28.94,5.00,21
2460.00,2520.00,H10E_5_4,23,1380.00,6.76,28.45,28.37,5.00,23
2520.00,2580.00,H10E_5_4,23,1380.00,7.06,27.29,27.17,5.00,23
2580.00,2640.00,H10E_5_4,21,1260.00,6.29,27.89,27.82,5.00,21
2640.00,2700.00,H10E_5_4,24,1440.00,7.06,28.38,28.32,5.00,24
2700.00,2760.00,H10E_5_4,15,900.00,4.36,29.43,29.31,5.00,16
2760.00,2820.00,H10E_5_4,21,1260.00,6.24,28.66,28.62,5.00,21
2820.00,2880.00,H10E_5_4,17,1020.00,4.67,29.05,28.95,5.00,16
