begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,60.00,H10E_in_2,27,1620.00,8.37,27.04,26.87,5.00,27
60.00,120.00,H10E_in_2,26,1560.00,8.02,27.16,27.01,5.00,26
120.00,180.00,H10E_in_2,27,1620.00,8.37,27.04,26.87,5.00,27
180.00,240.00,H10E_in_2,27,1620.00,8.06,28.09,27.91,5.00,27
240.00,300.00,H10E_in_2,28,1680.00,8.53,27.51,27.36,5.00,28
300.00,360.00,H10E_in_2,28,1680.00,8.82,26.66,26.46,5.00,28
360.00,420.00,H10E_in_2,27,1620.00,8.39,27.12,26.83,5.00,27
420.00,480.00,H10E_in_2,27,1620.00,8.67,26.18,25.94,5.00,27
480.00,540.00,H10E_in_2,29,1740.00,8.80,27.59,27.45,5.00,29
540.00,600.00,H10E_in_2,27,1620.00,8.51,26.59,26.43,5.00,27
600.00,660.00,H10E_in_2,28,1680.00,8.54,27.49,27.33,5.00,28
660.00,720.00,H10E_in_2,26,1560.00,7.84,27.75,27.63,5.00,26
720.00,780.00,H10E_in_2,28,1680.00,8.70,26.98,26.83,5.00,28
780.00,840.00,H10E_in_2,27,1620.00,8.28,27.26,27.18,5.00,27
840.00,900.00,H10E_in_2,27,1620.00,8.21,27.62,27.42,5.00,27
900.00,960.00,H10E_in_2,26,1560.00,8.16,26.73,26.56,5.00,26
960.00,1020.00,H10E_in_2,28,1680.00,8.56,27.52,27.25,5.00,28
1020.00,1080.00,H10E_in_2,27,1620.00,8.31,27.25,27.08,5.00,27
1080.00,1140.00,H10E_in_2,27,1620.00,8.24,27.42,27.29,5.00,27
1140.00,1200.00,H10E_in_2,27,1620.00,8.07,28.10,27.87,5.00,27
1200.00,1260.00,H10E_in_2,27,1620.00,8.09,27.99,27.81,5.00,27
1260.00,1320.00,H10E_in_2,26,1560.00,7.99,27.30,27.11,5.00,26
1320.00,1380.00,H10E_in_2,28,1680.00,8.59,27.30,27.17,5.00,28
1380.00,1440.00,H10E_in_2,25,1500.00,7.81,26.84,26.69,5.00,25
1440.00,1500.00,H10E_in_2,26,1560.00,8.15,26.85,26.59,5.00,26
1500.00,1560.00,H10E_in_2,27,1620.00,8.26,27.38,27.25,5.00,27
1560.00,1620.00,H10E_in_2,26,1560.00,8.48,25.83,25.56,5.00,26
1620.00,1680.00,H10E_in_2,26,1560.00,8.26,26.50,26.23,5.00,26
1680.00,1740.00,H10E_in_2,27,1620.00,8.92,25.50,25.22,5.00,27
1740.00,1800.00,H10E_in_2,27,1620.00,8.09,27.99,27.82,5.00,27
1800.00,1860.00,H10E_in_2,28,1680.00,8.54,27.46,27.32,5.00,28
1860.00,1920.00,H10E_in_2,27,1620.00,8.22,27.61,27.37,5.00,27
1920.00,1980.00,H10E_in_2,27,1620.00,8.15,27.84,27.60,5.00,27
1980.00,2040.00,H10E_in_2,26,1560.00,8.13,26.84,26.64,5.00,26
2040.00,2100.00,H10E_in_2,28,1680.00,8.63,27.25,27.02,5.00,28
2100.00,2160.00,H10E_in_2,26,1560.00,8.03,27.16,26.98,5.00,26
2160.00,2220.00,H10E_in_2,28,1680.00,8.46,27.76,27.59,5.00,28
2220.00,2280.00,H10E_in_2,27,1620.00,8.48,26.68,26.54,5.00,27
2280.00,2340.00,H10E_in_2,28,1680.00,8.56,27.51,27.25,5.00,28
2340.00,2400.00,H10E_in_2,27,1620.00,8.13,27.87,27.69,5.00,27
2400.00,2460.00,H10E_in_2,29,1740.00,8.56,28.41,28.22,5.00,29
2460.00,2520.00,H10E_in_2,26,1560.00,7.81,27.88,27.73,5.00,26
2520.00,2580.00,H10E_in_2,29,1740.00,8.51,28.53,28.39,5.00,29
2580.00,2640.00,H10E_in_2,27,1620.00,8.31,27.25,27.06,5.00,27
2640.00,2700.00,H10E_in_2,27,1620.00,8.55,26.49,26.30,5.00,27
2700.00,2760.00,H10E_in_2,25,1500.00,7.47,28.09,27.90,5.00,25
2760.00,2820.00,H10E_in_2,26,1560.00,7.92,27.60,27.35,5.00,26
2820.00,2880.00,H10E_in_2,29,1740.00,9.16,26.74,26.39,5.00,29
2880.00,2940.00,H10E_in_2,26,1560.00,7.95,27.46,27.27,5.00,26
2940.00,3000.00,H10E_in_2,27,1620.00,8.23,27.48,27.33,5.00,27
3000.00,3060.00,H10E_in_2,26,1560.00,8.33,26.28,26.00,5.00,26
3060.00,3120.00,H10E_in_2,29,1740.00,8.67,28.08,27.88,5.00,29
3120.00,3180.00,H10E_in_2,27,1620.00,8.54,26.51,26.34,5.00,27
3180.00,3240.00,H10E_in_2,27,1620.00,8.44,26.81,26.66,5.00,27
3240.00,3300.00,H10E_in_2,27,1620.00,8.35,27.21,26.94,5.00,27
3300.00,3360.00,H10E_in_2,28,1680.00,8.67,27.09,26.90,5.00,28
3360.00,3420.00,H10E_in_2,27,1620.00,8.36,27.06,26.90,5.00,27
3420.00,3480.00,H10E_in_2,25,1500.00,7.78,27.04,26.77,5.00,25
3480.00,3540.00,H10E_in_2,26,1560.00,8.38,26.00,25.84,5.00,26
3540.00,3600.00,H10E_in_2,27,1620.00,8.56,26.54,26.29,5.00,27
3600.00,3660.00,H10E_in_2,33,1980.00,11.60,23.94,23.71,5.00,33
3660.00,3720.00,H10E_in_2,34,2040.00,13.15,21.77,21.54,5.00,34
3720.00,3780.00,H10E_in_2,35,2100.00,14.50,20.26,20.11,5.00,35
3780.00,3840.00,H10E_in_2,33,1980.00,13.02,21.28,21.13,5.00,33
3840.00,3900.00,H10E_in_2,34,2040.00,12.87,22.19,22.01,5.00,34
3900.00,3960.00,H10E_in_2,35,2100.00,13.67,21.51,21.34,5.00,35
3960.00,4020.00,H10E_in_2,33,1980.00,14.43,19.29,19.05,5.00,33
4020.00,4080.00,H10E_in_2,36,2160.00,15.50,19.60,19.36,5.00,36
4080.00,4140.00,H10E_in_2,35,2100.00,14.94,19.64,19.52,5.00,35
4140.00,4200.00,H10E_in_2,35,2100.00,17.32,17.12,16.84,5.00,35
