begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,60.00,H10E_out_5,0,0.00,0.00,-1.00,-1.00,-1.00,0
60.00,120.00,H10E_out_5,0,0.00,0.00,-1.00,-1.00,-1.00,0
120.00,180.00,H10E_out_5,0,0.00,0.00,-1.00,-1.00,-1.00,0
180.00,240.00,H10E_out_5,6,360.00,1.58,31.77,31.62,5.00,6
240.00,300.00,H10E_out_5,15,900.00,3.87,32.39,32.34,5.00,15
300.00,360.00,H10E_out_5,24,1440.00,6.31,31.73,31.69,5.00,24
360.00,420.00,H10E_out_5,23,1380.00,6.07,31.61,31.55,5.00,23
420.00,480.00,H10E_out_5,33,1980.00,9.14,30.14,30.10,5.00,33
480.00,540.00,H10E_out_5,38,2280.00,10.37,30.59,30.55,5.00,38
540.00,600.00,H10E_out_5,36,2160.00,9.93,30.27,30.22,5.00,36
600.00,660.00,H10E_out_5,32,1920.00,8.99,29.91,29.88,5.00,33
660.00,720.00,H10E_out_5,29,1740.00,8.01,29.94,29.90,5.00,28
720.00,780.00,H10E_out_5,33,1980.00,9.77,28.78,28.75,5.00,34
780.00,840.00,H10E_out_5,39,2340.00,10.88,29.36,29.32,5.00,38
840.00,900.00,H10E_out_5,40,2400.00,11.26,29.64,29.60,5.00,40
900.00,960.00,H10E_out_5,39,2340.00,10.99,29.63,29.58,5.00,39
960.00,1020.00,H10E_out_5,37,2220.00,10.45,29.53,29.51,5.00,37
1020.00,1080.00,H10E_out_5,40,2400.00,11.55,28.92,28.86,5.00,40
1080.00,1140.00,H10E_out_5,42,2520.00,11.63,30.12,30.08,5.00,42
1140.00,1200.00,H10E_out_5,35,2100.00,10.02,29.21,29.12,5.00,35
1200.00,1260.00,H10E_out_5,41,2460.00,11.85,28.93,28.84,5.00,41
1260.00,1320.00,H10E_out_5,42,2520.00,11.76,29.85,29.77,5.00,42
1320.00,1380.00,H10E_out_5,39,2340.00,11.19,29.15,29.05,5.00,39
1380.00,1440.00,H10E_out_5,41,2460.00,11.46,29.89,29.82,5.00,41
1440.00,1500.00,H10E_out_5,41,2460.00,11.96,28.66,28.56,5.00,41
1500.00,1560.00,H10E_out_5,39,2340.00,11.07,29.43,29.35,5.00,39
1560.00,1620.00,H10E_out_5,41,2460.00,11.58,29.59,29.52,5.00,41
1620.00,1680.00,H10E_out_5,35,2100.00,9.82,29.77,29.70,5.00,35
1680.00,1740.00,H10E_out_5,41,2460.00,11.81,28.98,28.94,5.00,41
1740.00,1800.00,H10E_out_5,41,2460.00,11.87,28.87,28.79,5.00,41
1800.00,1860.00,H10E_out_5,41,2460.00,11.71,29.28,29.18,5.00,41
1860.00,1920.00,H10E_out_5,42,2520.00,11.85,29.58,29.53,5.00,42
1920.00,1980.00,H10E_out_5,39,2340.00,11.50,28.96,28.90,5.00,40
1980.00,2040.00,H10E_out_5,42,2520.00,11.95,28.74,28.68,5.00,41
2040.00,2100.00,H10E_out_5,40,2400.00,11.37,29.36,29.31,5.00,40
2100.00,2160.00,H10E_out_5,38,2280.00,10.99,28.92,28.83,5.00,38
2160.00,2220.00,H10E_out_5,41,2460.00,11.95,28.67,28.59,5.00,41
2220.00,2280.00,H10E_out_5,42,2520.00,11.97,29.29,29.23,5.00,42
2280.00,2340.00,H10E_out_5,38,2280.00,11.26,28.58,28.48,5.00,39
2340.00,2400.00,H10E_out_5,42,2520.00,11.72,29.61,29.51,5.00,41
2400.00,2460.00,H10E_out_5,39,2340.00,11.82,27.55,27.50,5.00,40
2460.00,2520.00,H10E_out_5,39,2340.00,11.56,28.26,28.10,5.00,38
2520.00,2580.00,H10E_out_5,42,2520.00,11.86,29.56,29.52,5.00,42
2580.00,2640.00,H10E_out_5,42,2520.00,11.69,30.01,29.95,5.00,42
2640.00,2700.00,H10E_out_5,39,2340.00,11.44,28.48,28.42,5.00,39
2700.00,2760.00,H10E_out_5,41,2460.00,12.16,28.24,28.10,5.00,41
2760.00,2820.00,H10E_out_5,40,2400.00,12.11,27.60,27.52,5.00,40
2820.00,2880.00,H10E_out_5,42,2520.00,12.14,28.91,28.83,5.00,42
2880.00,2940.00,H10E_out_5,39,2340.00,11.41,28.64,28.48,5.00,39
2940.00,3000.00,H10E_out_5,42,2520.00,12.05,29.13,29.05,5.00,42
3000.00,3060.00,H10E_out_5,41,2460.00,12.10,28.29,28.24,5.00,41
3060.00,3120.00,H10E_out_5,41,2460.00,11.50,29.80,29.72,5.00,41
3120.00,3180.00,H10E_out_5,41,2460.00,11.60,29.54,29.45,5.00,41
3180.00,3240.00,H10E_out_5,41,2460.00,12.09,28.35,28.27,5.00,41
3240.00,3300.00,H10E_out_5,41,2460.00,11.74,29.16,29.10,5.00,41
3300.00,3360.00,H10E_out_5,40,2400.00,12.26,27.88,27.77,5.00,41
3360.00,3420.00,H10E_out_5,41,2460.00,12.07,27.84,27.70,5.00,40
3420.00,3480.00,H10E_out_5,42,2520.00,12.07,29.07,29.00,5.00,42
3480.00,3540.00,H10E_out_5,39,2340.00,11.65,28.04,27.90,5.00,39
3540.00,3600.00,H10E_out_5,41,2460.00,12.14,28.29,28.14,5.00,41
3600.00,3660.00,H10E_out_5,42,2520.00,12.30,28.50,28.45,5.00,42
3660.00,3720.00,H10E_out_5,40,2400.00,11.58,28.87,28.80,5.00,40
3720.00,3780.00,H10E_out_5,40,2400.00,12.20,27.47,27.32,5.00,40
3780.00,3840.00,H10E_out_5,39,2340.00,12.15,26.88,26.74,5.00,39
3840.00,3900.00,H10E_out_5,41,2460.00,11.88,28.89,28.77,5.00,41
3900.00,3960.00,H10E_out_5,41,2460.00,11.78,29.06,29.00,5.00,41
3960.00,4020.00,H10E_out_5,42,2520.00,12.07,29.04,28.99,5.00,42
4020.00,4080.00,H10E_out_5,41,2460.00,11.87,28.87,28.79,5.00,41
4080.00,4140.00,H10E_out_5,41,2460.00,12.38,27.64,27.59,5.00,41
4140.00,4200.00,H10E_out_5,42,2520.00,12.27,28.57,28.53,5.00,42
4200.00,4260.00,H10E_out_5,39,2340.00,11.53,28.32,28.18,5.00,39
4260.00,4320.00,H10E_out_5,41,2460.00,11.88,28.86,28.75,5.00,41
4320.00,4380.00,H10E_out_5,42,2520.00,12.63,27.80,27.71,5.00,42
4380.00,4440.00,H10E_out_5,40,2400.00,12.18,27.47,27.36,5.00,40
4440.00,4500.00,H10E_out_5,42,2520.00,12.07,29.05,28.99,5.00,42
4500.00,4560.00,H10E_out_5,41,2460.00,12.35,27.70,27.67,5.00,41
4560.00,4620.00,H10E_out_5,40,2400.00,12.38,27.00,26.92,5.00,40
4620.00,4680.00,H10E_out_5,40,2400.00,12.29,27.49,27.41,5.00,41
4680.00,4740.00,H10E_out_5,41,2460.00,12.63,26.90,26.77,5.00,40
4740.00,4800.00,H10E_out_5,39,2340.00,11.50,28.34,28.26,5.00,39
4800.00,4860.00,H10E_out_5,42,2520.00,12.39,28.33,28.25,5.00,42
4860.00,4920.00,H10E_out_5,41,2460.00,12.32,27.79,27.72,5.00,41
4920.00,4980.00,H10E_out_5,40,2400.00,12.14,27.56,27.46,5.00,40
4980.00,5040.00,H10E_out_5,41,2460.00,12.32,27.86,27.72,5.00,41
5040.00,5100.00,H10E_out_5,41,2460.00,12.10,28.30,28.24,5.00,41
5100.00,5160.00,H10E_out_5,42,2520.00,12.03,29.20,29.10,5.00,42
5160.00,5220.00,H10E_out_5,40,2400.00,11.95,27.96,27.90,5.00,40
5220.00,5280.00,H10E_out_5,42,2520.00,12.41,28.25,28.20,5.00,42
5280.00,5340.00,H10E_out_5,41,2460.00,12.01,28.58,28.44,5.00,41
