H10E_in,H10E_out,H10W_in,H10W_out,H15N_in,H15N_out,H15S_in,H15S_out,H20E_in,H20E_out,H20W_in,H20W_out,H25N_in,H25N_out,H25S_in,H25S_out
2600.0,500.0,4000.0,140.0,3100.0,180.0,3000.0,220.0,2100.0,160.0,2760.0,200.0,3280.0,80.0,2200.0,320.0
2600.0,2620.0,4000.0,1920.0,3100.0,2320.0,3000.0,1520.0,2080.0,2640.0,2740.0,2220.0,3280.0,1800.0,2200.0,2400.0
2600.0,3880.0,4000.0,2980.0,3100.0,4340.0,3000.0,1900.0,2120.0,3960.0,2800.0,3280.0,3280.0,3660.0,2200.0,3940.0
2600.0,4220.0,4000.0,2900.0,3100.0,4280.0,3000.0,1880.0,2080.0,4420.0,2760.0,3200.0,3280.0,4060.0,2200.0,4420.0
2600.0,4040.0,4000.0,3160.0,3100.0,3900.0,3000.0,1720.0,2100.0,4200.0,2780.0,3760.0,3280.0,4140.0,2200.0,4060.0
2600.0,4420.0,4000.0,2900.0,3100.0,4500.0,3000.0,1980.0,2120.0,4060.0,2740.0,3500.0,3280.0,4240.0,2200.0,4120.0
2600.0,4900.0,3960.0,2880.0,3100.0,4480.0,3000.0,1880.0,2080.0,4260.0,2800.0,3580.0,3280.0,3940.0,2200.0,3840.0
2600.0,4420.0,2820.0,2960.0,3100.0,4560.0,3000.0,1900.0,2100.0,4720.0,2760.0,3100.0,3280.0,4080.0,2200.0,3940.0
2600.0,4360.0,5140.0,2920.0,3100.0,4540.0,3000.0,1740.0,2120.0,4420.0,2780.0,3440.0,3280.0,3900.0,2200.0,4240.0
2600.0,4040.0,4080.0,3100.0,3100.0,4440.0,3000.0,2040.0,2080.0,4360.0,2740.0,3740.0,3280.0,4120.0,2200.0,4300.0
2600.0,3960.0,4000.0,3160.0,3100.0,4660.0,3000.0,1700.0,2120.0,4100.0,2800.0,3780.0,3280.0,4600.0,2200.0,4100.0
2600.0,4260.0,4000.0,2820.0,3100.0,4400.0,3000.0,1940.0,2100.0,4140.0,2740.0,3400.0,3280.0,4120.0,2200.0,4020.0
2600.0,4760.0,3640.0,2900.0,3100.0,4940.0,3000.0,1880.0,2100.0,4420.0,2800.0,3680.0,3280.0,3920.0,2200.0,4000.0
2600.0,4920.0,1900.0,3060.0,3100.0,4480.0,3000.0,1860.0,2100.0,4560.0,2760.0,3380.0,3280.0,4140.0,2200.0,4200.0
2600.0,4500.0,4420.0,2780.0,3100.0,4380.0,3000.0,1820.0,2100.0,4440.0,2780.0,3720.0,3280.0,3860.0,2200.0,3820.0
2600.0,4380.0,3760.0,3020.0,3100.0,3920.0,3000.0,1920.0,2100.0,4600.0,2760.0,3300.0,3280.0,3820.0,2200.0,4340.0
