H10E_onMeter_1,H10E_onMeter_2,H10E_onMeter_3,H10E_onMeter_4,H10E_onMeter_5,H10E_onMeter_6,H10E_onMeter_7,H10E_onMeter_8
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1135.829365058849
1800.0,1800.0,1800.0,1800.0,1800.0,1455.2961958513015,962.5018623491658,1189.2113032939967
1800.0,1800.0,1800.0,1800.0,1800.0,1032.7945498630097,200.0,1206.66838341366
1800.0,1800.0,1800.0,1800.0,1389.6506059616815,200.0,200.0,1363.2050740422933
1800.0,1800.0,1800.0,1800.0,868.3325644985615,200.0,200.0,1267.4516521058943
1800.0,1800.0,1800.0,1400.9897878505749,563.5081530852285,200.0,200.0,663.5432817913505
1800.0,1800.0,1800.0,200.0,487.19974374624155,200.0,200.0,200.0
1800.0,1800.0,1800.0,200.0,447.85378437750944,200.0,200.0,200.0
1800.0,1800.0,1800.0,259.2618256599934,497.1740162937552,200.0,200.0,433.18343493294026
1800.0,1800.0,1800.0,200.0,406.9759553977724,200.0,200.0,200.0
1800.0,1800.0,1800.0,200.0,200.0,200.0,200.0,200.0
1800.0,1800.0,1800.0,200.0,200.0,200.0,249.78911236439404,200.0
1800.0,1800.0,1800.0,200.0,200.0,200.0,200.0,200.0
