H10E_onMeter_4,H10E_onMeter_5,H10E_onMeter_6,H10E_onMeter_7
0.0,0.0,0.0,0.0
1571.9173866164729,1266.811217307926,1512.809969461779,1491.4013984992143
1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1800.0
1800.0,1800.0,1800.0,1323.8181427408563
1800.0,1800.0,1591.485024409888,554.9034850928908
1800.0,1800.0,1095.4368752333733,200.0
1800.0,1800.0,503.1851708819436,200.0
1800.0,1800.0,200.0,200.0
1496.8578312923635,1800.0,200.0,200.0
1321.7852411602782,1703.1549201581736,200.0,200.0
1216.7959800992026,1423.507382684907,200.0,200.0
1513.0544355693921,1531.3436354044077,417.91313577457555,200.0
1800.0,1514.924522294399,696.6232477597949,200.0
1800.0,1327.3551658320287,200.0,200.0
1237.8836175556203,1147.1701593116845,200.0,200.0
799.8608805742242,1023.317059154691,200.0,200.0
328.91678466850703,363.7532270131271,200.0,200.0
200.0,414.160645706542,200.0,200.0
200.0,371.1049038792895,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,207.18863116929296,422.7412581160778,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,362.3439865996937,200.0,200.0
200.0,209.20377233801207,200.0,200.0
200.0,200.0,200.0,200.0
200.0,316.8045232252804,200.0,200.0
200.0,200.0,200.0,383.59455392558925
200.0,201.11848444891592,241.99749520080186,200.0
232.52977944745976,200.0,235.12527428587046,200.0
200.0,352.42386494676725,457.5390370890318,200.0
268.3487392534555,210.80512843958437,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,200.0,200.0
200.0,200.0,239.82293293306466,200.0
200.0,286.4616296108238,200.0,200.0
200.0,478.18563013010146,379.03407189754984,200.0
303.022510178682,616.8365192058317,200.0,200.0
1034.7426799596751,363.67070384356634,200.0,200.0
1800.0,222.27698588257482,200.0,200.0
1800.0,375.6538797649034,200.0,200.0
1800.0,423.75372469434103,200.0,200.0
1788.3943423003755,200.0,200.0,200.0
1463.7487612648288,200.0,200.0,200.0
884.2763814374597,325.81255936613616,200.0,200.0
801.782369028882,287.03376754894606,200.0,200.0
475.754145154434,424.92880634566745,200.0,200.0
434.1705208083444,429.97752081465853,200.0,200.0
200.0,200.0,200.0,200.0
