H10E_onMeter_1,H10E_onMeter_2,H10E_onMeter_3,H10E_onMeter_4,H10E_onMeter_5,H10E_onMeter_6,H10E_onMeter_7,H10E_onMeter_8
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
0.0,0.0,0.0,1116.0,1250.0,200.0,287.0,1800.0
0.0,0.0,0.0,1800.0,1659.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1580.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1561.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1334.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1337.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1259.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1308.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1239.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1339.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1301.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1297.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1275.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1318.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1268.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1257.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1298.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1307.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1259.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1243.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1343.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1246.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1306.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1239.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1305.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1258.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1342.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1283.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1311.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1217.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1286.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1286.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1303.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1324.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1247.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1291.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1299.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1312.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1256.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1264.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1287.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1284.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1286.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1293.0,200.0,200.0,1800.0
0.0,0.0,0.0,1800.0,1302.0,200.0,200.0,1800.0
