H10E_onMeter_1,H10E_onMeter_2,H10E_onMeter_3,H10E_onMeter_4,H10E_onMeter_5,H10E_onMeter_6,H10E_onMeter_7,H10E_onMeter_8
1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
1186.0,1800.0,1800.0,526.0,1800.0,564.0,234.0,100.0
1045.0,1584.0,1800.0,782.0,1800.0,100.0,1800.0,100.0
1064.0,692.0,1800.0,1800.0,1360.0,100.0,100.0,100.0
1249.0,1800.0,1800.0,1800.0,1800.0,100.0,1775.0,100.0
100.0,1088.0,1800.0,1800.0,100.0,100.0,1800.0,469.0
559.0,1800.0,1800.0,1800.0,100.0,100.0,100.0,100.0
599.0,1800.0,1800.0,1800.0,297.0,464.0,1800.0,100.0
756.0,1800.0,1800.0,1800.0,1251.0,100.0,1800.0,100.0
1006.0,1800.0,1800.0,1800.0,1800.0,100.0,1800.0,100.0
837.0,1800.0,1800.0,1800.0,1387.0,100.0,1733.0,100.0
977.0,1800.0,1800.0,1800.0,1800.0,100.0,1800.0,100.0
1156.0,1800.0,1800.0,1800.0,1732.0,100.0,1800.0,100.0
105.0,358.0,1800.0,1800.0,100.0,100.0,1800.0,100.0
344.0,1800.0,1784.0,1800.0,100.0,100.0,1742.0,100.0
662.0,1800.0,1406.0,1800.0,100.0,715.0,348.0,100.0
775.0,1800.0,1800.0,1800.0,931.0,100.0,1800.0,100.0
371.0,568.0,1800.0,1800.0,100.0,100.0,908.0,100.0
572.0,1800.0,1800.0,1800.0,249.0,392.0,1185.0,100.0
812.0,1800.0,1800.0,1800.0,1737.0,100.0,1800.0,100.0
762.0,1800.0,1800.0,1800.0,1202.0,100.0,1778.0,100.0
263.0,1295.0,1800.0,1800.0,100.0,100.0,1800.0,100.0
428.0,1800.0,1800.0,1800.0,644.0,100.0,1800.0,100.0
455.0,1800.0,1800.0,1800.0,455.0,100.0,1800.0,100.0
450.0,1800.0,1800.0,1800.0,318.0,100.0,1800.0,100.0
912.0,1800.0,1800.0,1800.0,1641.0,100.0,1800.0,100.0
618.0,1800.0,1800.0,1800.0,915.0,100.0,1800.0,100.0
684.0,1800.0,1800.0,1800.0,985.0,100.0,1788.0,100.0
385.0,1310.0,1800.0,1800.0,100.0,100.0,1800.0,100.0
698.0,1800.0,1800.0,1800.0,1321.0,100.0,1800.0,100.0
420.0,1800.0,1800.0,1800.0,173.0,100.0,1800.0,100.0
293.0,1363.0,1800.0,1800.0,100.0,100.0,1800.0,100.0
621.0,1800.0,1800.0,1800.0,340.0,299.0,1800.0,100.0
684.0,1800.0,1800.0,1800.0,1361.0,100.0,1800.0,100.0
570.0,1800.0,1800.0,1800.0,537.0,100.0,1800.0,100.0
1017.0,1800.0,1800.0,1800.0,1800.0,100.0,1800.0,100.0
1029.0,1800.0,1800.0,1800.0,1719.0,100.0,1800.0,100.0
1211.0,1800.0,1800.0,1800.0,1800.0,100.0,1800.0,100.0
104.0,832.0,1800.0,1800.0,100.0,100.0,1800.0,100.0
334.0,354.0,1800.0,1800.0,100.0,100.0,1800.0,100.0
1130.0,1800.0,1800.0,1800.0,1800.0,100.0,1800.0,966.0
1323.0,1800.0,1800.0,1800.0,1800.0,100.0,1800.0,100.0
835.0,1490.0,1800.0,1800.0,100.0,100.0,1800.0,100.0
475.0,100.0,1800.0,1800.0,100.0,100.0,1154.0,100.0
992.0,1800.0,1800.0,1800.0,1800.0,100.0,1800.0,100.0
1109.0,1800.0,1800.0,1800.0,1800.0,100.0,1800.0,100.0
1178.0,1800.0,1800.0,1800.0,1800.0,100.0,1800.0,100.0
132.0,1474.0,1800.0,1800.0,100.0,100.0,1800.0,100.0
251.0,1800.0,1352.0,1800.0,100.0,100.0,1800.0,100.0
425.0,1800.0,1571.0,1800.0,100.0,497.0,1800.0,100.0
1001.0,1800.0,1800.0,1800.0,1800.0,100.0,1800.0,100.0
724.0,1800.0,1800.0,1800.0,1044.0,100.0,1665.0,100.0
481.0,1800.0,1800.0,1800.0,339.0,100.0,1800.0,100.0
425.0,1800.0,1800.0,1800.0,100.0,100.0,1800.0,100.0
995.0,100.0,1800.0,1800.0,1164.0,863.0,1800.0,100.0
593.0,1800.0,1800.0,1800.0,100.0,204.0,1800.0,100.0
558.0,1800.0,1800.0,1800.0,687.0,100.0,1800.0,100.0
1800.0,1800.0,1800.0,1800.0,1800.0,654.0,1699.0,100.0
953.0,1616.0,1800.0,1800.0,100.0,1800.0,1800.0,100.0
472.0,1800.0,1800.0,1800.0,100.0,569.0,1786.0,100.0
433.0,1649.0,1800.0,1800.0,469.0,100.0,1800.0,100.0
899.0,1800.0,1800.0,1800.0,1455.0,100.0,1800.0,100.0
