H10E_onMeter_1,H10E_onMeter_2,H10E_onMeter_3,H10E_onMeter_4,H10E_onMeter_5,H10E_onMeter_6,H10E_onMeter_7,H10E_onMeter_8
240.39,1499.01,1179.21,615.14,699.31,464.4,1562.86,294.93
432.05,1532.99,1465.05,677.57,922.26,826.62,1412.89,550.78
691.14,1206.63,1427.98,939.96,827.38,1115.25,1057.18,167.51
930.21,930.54,1741.65,1282.7,680.47,1348.73,1276.59,188.11
1074.54,1027.34,1703.36,1045.02,795.66,953.55,1365.26,418.22
1125.7,775.78,1719.26,1438.43,1116.98,1227.67,1650.98,439.68
1394.26,517.12,1429.54,1349.73,984.75,1526.55,1260.13,152.54
1754.95,708.54,1695.8,1710.28,1180.3,1365.24,1257.54,527.11
1551.34,920.59,1525.04,1642.29,1282.8,966.61,921.27,717.6
1194.99,1045.15,1302.32,1542.86,989.55,816.08,1288.42,492.7
846.01,1012.07,1383.48,1670.43,1016.36,631.81,1158.82,763.53
1117.77,741.29,1728.3,1410.65,880.3,696.43,987.79,1027.77
899.8,610.63,1401.58,1013.07,1155.36,392.19,709.25,1109.56
1029.5,671.82,1585.35,1368.07,1212.07,494.46,713.4,993.58
1144.66,564.98,1624.29,1133.91,1193.25,369.65,511.35,931.21
1005.33,951.14,1785.71,882.43,1220.92,307.78,117.09,782.87
869.84,708.75,1621.18,856.89,1372.87,116.9,153.4,1121.83
958.59,1056.71,1311.99,1045.1,1032.32,258.93,164.74,809.41
608.14,1377.61,1470.63,1119.12,789.06,374.82,331.13,911.8
650.63,1065.58,1439.47,1323.22,832.87,668.68,670.4,585.64
503.26,1037.26,1245.39,1369.31,1215.37,922.48,706.98,589.18
266.97,914.07,1462.05,1705.0,839.04,621.41,526.25,423.67
615.34,1235.54,1608.69,1785.59,871.12,811.02,503.3,782.38
336.31,1268.73,1339.27,1541.72,1213.73,1172.07,542.9,629.2
429.65,1181.51,1448.18,1643.47,1415.52,1379.94,697.06,848.74
432.1,1379.89,1520.81,1586.48,1420.98,1292.36,439.42,1008.52
616.92,1620.01,1171.09,1779.44,1421.77,1274.23,205.11,1332.14
908.49,1245.51,1252.63,1647.67,1619.62,1214.99,353.13,1115.01
960.74,1623.43,948.2,1450.19,1340.72,916.9,261.66,975.48
877.8,1475.18,1116.08,1132.75,1211.09,824.55,397.48,619.44
1260.51,1754.08,1055.2,1438.91,1093.08,608.91,465.56,802.98
1415.15,1364.4,1437.59,1494.15,1049.42,953.27,703.3,1026.47
1626.03,1138.21,1198.42,1165.32,1144.07,940.57,655.79,984.05
1780.88,1501.64,1512.96,993.93,995.75,773.66,637.89,926.0
1392.0,1694.12,1114.14,1249.01,1327.12,886.44,537.7,1103.15
1328.59,1686.45,1310.33,1188.92,1715.36,874.94,821.5,1479.69
1361.71,1693.7,1315.02,869.51,1589.94,1104.65,1133.7,1699.49
1635.58,1495.26,1605.66,1001.26,1284.72,1374.56,1425.2,1400.33
1388.28,1208.27,1277.9,902.51,1287.21,1240.22,1462.23,1194.73
1091.76,1466.3,1641.31,1199.95,1130.42,866.09,1749.26,817.92
772.9,1234.3,1349.09,1568.23,1359.52,890.75,1461.28,670.04
1007.1,1349.63,1534.96,1646.17,1331.25,986.97,1666.86,369.36
1377.87,1466.67,1328.75,1439.01,1136.23,825.07,1568.23,394.1
1481.81,1513.75,1674.55,1097.07,1088.09,941.18,1597.68,163.81
1260.49,1358.91,1502.19,1146.57,972.53,852.98,1243.37,184.16
1651.98,1460.05,1142.31,1484.24,620.97,716.33,1452.88,536.44
1635.21,1326.47,1248.13,1796.1,768.09,387.99,1440.72,927.01
1650.6,1073.23,1342.67,1545.91,450.14,770.3,1060.7,756.89
1412.1,978.87,1291.71,1167.14,542.52,923.69,1222.26,858.38
1063.74,866.4,1041.25,1003.18,722.53,689.48,1603.15,681.26
1399.04,916.08,642.25,1280.0,998.34,523.51,1482.22,379.52
1152.86,1192.16,501.48,1249.53,1327.69,700.67,1710.24,266.54
792.31,966.35,188.64,1095.68,1561.41,1090.51,1471.35,169.46
1026.98,796.94,107.06,1301.55,1766.72,942.5,1430.34,523.91
1085.34,1027.59,144.39,925.74,1435.82,639.98,1157.69,675.68
905.75,732.99,149.74,871.29,1336.54,366.44,1171.4,1024.48
903.02,414.85,175.79,473.01,1112.26,386.22,1148.33,861.01
1060.17,257.17,335.22,790.25,1062.81,712.35,1066.81,1078.37
1443.68,607.56,582.69,644.32,1037.18,362.98,815.93,995.4
1669.25,544.25,570.59,340.24,1046.58,187.9,1042.77,673.89
1750.6,638.33,320.57,233.64,1145.1,335.81,1425.81,766.31
1694.16,250.14,715.16,380.34,1063.28,182.01,1254.39,553.04
1459.96,359.85,874.87,564.17,1135.1,563.79,1034.77,701.28
1788.93,382.53,954.11,670.29,1412.16,219.39,1026.57,674.09
1484.0,656.29,944.39,288.88,1622.87,582.72,1390.3,947.09
1645.23,1013.66,1046.95,683.05,1586.25,518.92,1027.1,1154.46
1626.62,984.19,1014.92,661.93,1647.77,579.39,1361.72,953.37
1455.59,1233.04,1058.35,1016.63,1434.27,356.75,1345.83,1306.0
1706.47,852.2,887.93,1328.3,1404.67,443.89,964.78,1157.09
1767.12,946.79,868.76,1253.58,1696.58,422.71,1060.84,1489.79
1433.01,1318.53,487.24,1412.62,1664.31,530.42,736.83,1786.38
1292.62,1344.0,866.19,1558.93,1382.05,651.2,925.78,1447.89
1092.33,1546.1,1259.51,1577.93,1377.98,884.68,868.94,1341.4
716.69,1683.95,914.69,1559.17,1324.78,862.71,909.62,1121.08
863.18,1545.16,748.67,1161.81,1318.01,1038.69,691.21,1300.09
481.98,1475.72,643.57,1402.42,1702.27,731.1,489.04,1568.77
804.55,1632.09,695.74,1661.94,1376.85,1035.72,415.11,1458.85
1068.85,1450.12,384.05,1590.31,1570.75,1010.64,359.62,1284.61
1277.56,1748.35,485.74,1610.9,1724.52,747.13,513.88,1370.2
1326.83,1591.93,799.47,1255.93,1527.74,419.05,873.73,1236.91
1348.07,1753.46,424.78,865.87,1135.46,658.55,693.51,1424.56
1544.4,1625.55,689.73,1052.48,1176.53,860.34,578.79,1302.6
1639.34,1401.05,891.16,813.62,1522.81,1209.64,379.22,1266.76
1622.14,1545.52,1195.26,1138.08,1140.61,1001.05,288.67,1018.18
1706.58,1612.37,1013.54,1459.83,1195.06,1149.25,165.7,1230.56
1709.05,1653.8,1001.87,1127.41,1137.01,1152.44,410.28,851.9
