H10E_1,H10E_2,H10E_3,H10W_1,H10W_2,H10W_3,H15N_1,H15N_2,H15N_3,H15N_4,H15S_1,H15S_2,H15S_3,H15S_4,H20E_1,H20E_2,H20W_1,H20W_2,H25N_1,H25N_2,H25N_3,H25N_4,H25S_1,H25S_2,H25S_3,H25S_4
1.4874999999999998,1.75,1.8699999999999999,1.3024999999999998,1.2750000000000001,1.3599999999999999,2.3725,2.01,1.2650000000000001,0.72,1.8625,1.7874999999999999,0.8899999999999999,0.77,1.2375,1.34,1.22,1.79,2.6475,1.705,0.6175,0.555,1.4149999999999998,1.3099999999999998,0.82,0.5375
3.1149999999999998,3.9075,5.0175,2.215,2.9124999999999996,3.8225,5.592499999999999,5.949999999999999,4.425000000000001,4.68,3.1525,3.6874999999999996,3.46,4.1025,3.4,3.4525,3.1025000000000005,3.3525,5.6825,7.422499999999999,3.4650000000000003,3.4725,2.8474999999999997,3.4675,4.5675,3.8375
3.1125,4.1625,5.4775,2.475,2.8600000000000003,3.69,5.535,5.567499999999999,4.77,6.425,3.1675000000000004,3.3275,3.2575,3.9275,4.07,4.535,3.6475000000000004,3.9650000000000003,5.79,9.53,4.155,4.9575,2.835,3.225,4.4475,5.6850000000000005
2.9574999999999996,4.245,5.5375,3.0375,3.4625,4.5200000000000005,5.955,6.135,4.5075,5.2025,3.1975000000000002,3.6,3.4875000000000003,4.29,3.2475,3.5825,3.39,3.4600000000000004,6.175,7.742500000000001,4.57,4.6975,3.015,3.5175,4.6075,5.3075
3.4875,4.1425,5.920000000000001,2.4675,3.415,9.252500000000001,6.0375,6.005,4.2524999999999995,5.2075,3.775,4.0375000000000005,4.0649999999999995,4.8549999999999995,3.6025,3.3875,3.4274999999999998,3.48,6.07,8.395,4.4225,6.1475,2.03,3.1624999999999996,3.4975,7.37
3.5774999999999997,4.5649999999999995,6.032500000000001,2.04,2.7975,10.9025,6.265000000000001,6.5725,4.3525,5.1025,3.6450000000000005,4.5675,4.1325,5.595,3.4650000000000003,3.4625,3.19,2.93,5.7825,8.51,4.67,6.640000000000001,2.1550000000000002,2.5175,3.3750000000000004,3.9675
4.6675,5.017499999999999,6.3475,2.115,2.6225000000000005,6.4875,5.8425,6.414999999999999,5.055,6.140000000000001,3.4925,4.115,3.9925,5.1525,3.7675,4.1525,3.505,3.6374999999999997,5.7675,10.182499999999997,4.0649999999999995,6.385000000000001,2.21,2.8699999999999997,3.615,3.925
3.6649999999999996,4.7225,5.7075,2.125,2.5475,3.3075,6.245,6.8125,5.05,6.425,2.955,3.6050000000000004,3.54,4.574999999999999,4.1675,4.82,3.5125,4.185,5.7725,14.004999999999999,3.615,4.532500000000001,2.4875000000000003,3.1625,4.165,4.3975
3.31,4.5825,5.922499999999999,4.1975,4.2,5.102499999999999,6.217499999999999,6.699999999999999,5.237500000000001,9.19,3.23,3.3699999999999997,3.3474999999999997,4.055,4.6975,4.305,3.33,3.52,5.7325,18.44,4.029999999999999,4.9725,3.0999999999999996,3.4925,4.6425,5.2
2.94,4.875,5.637499999999999,2.955,4.535,13.75,5.970000000000001,7.055000000000001,4.6925,8.002500000000001,3.3125,3.3825000000000003,3.2350000000000003,4.0775,3.8525,3.9525,3.6925000000000003,4.1675,6.0175,13.1275,4.67,5.27,2.81,3.4800000000000004,4.275,5.329999999999999
