H10E_offRamp1,H10E_offRamp2,H10E_onRamp1,H10E_onRamp2,H10W_offRamp1,H10W_offRamp2,H10W_onRamp1,H10W_onRamp2,H15N_offRamp1,H15N_offRamp2,H15N_onRamp1,H15N_onRamp2,H15S_offRamp1,H15S_offRamp2,H15S_onRamp1,H15S_onRamp2,H20E_offRamp1,H20E_onRamp1,H20W_offRamp1,H20W_onRamp1,H25N_offRamp1,H25N_offRamp2,H25N_onRamp1,H25N_onRamp2,H25S_offRamp1,H25S_offRamp2,H25S_onRamp1,H25S_onRamp2
0.0,0.0,12.65,28.93,0.0,0.0,22.89,28.33,0.0,0.0,62.94,10.6,0.0,0.0,70.89,8.79,0.0,69.62,0.0,29.86,0.0,0.0,17.77,19.3,0.0,0.0,19.62,3.9
0.0,0.0,20.83,24.92,0.0,0.0,15.66,35.25,0.0,0.0,75.52,6.16,0.0,0.0,78.42,9.46,0.0,64.72,0.0,66.35,0.0,0.0,9.97,54.47,0.0,0.0,12.51,3.41
0.0,0.0,25.9,50.77,0.0,0.0,21.47,56.4,0.0,0.0,88.82,2.77,0.0,0.0,91.72,12.27,0.0,72.87,0.0,84.87,0.0,0.0,18.38,35.65,0.0,0.0,12.91,5.93
0.0,0.0,26.23,62.63,0.0,0.0,15.08,27.9,0.0,0.0,86.25,1.88,0.0,0.0,84.87,11.74,0.0,69.74,0.0,89.49,0.0,0.0,25.38,79.42,0.0,0.0,8.17,5.92
0.0,0.0,55.17,55.29,0.0,0.0,10.72,12.71,0.0,0.0,82.91,2.17,0.0,0.0,78.1,18.44,0.0,80.8,0.0,88.95,0.0,0.0,47.55,86.37,0.0,0.0,8.63,7.69
0.0,0.0,52.37,67.39,0.0,0.0,9.41,5.8,0.0,0.0,71.46,1.67,0.0,0.0,75.29,30.21,0.0,83.32,0.0,88.87,0.0,0.0,26.2,76.51,0.0,0.0,11.31,7.35
0.0,0.0,64.12,68.18,0.0,0.0,7.61,9.0,0.0,0.0,71.79,2.55,0.0,0.0,79.44,20.56,0.0,72.15,0.0,89.08,0.0,0.0,18.4,49.78,0.0,0.0,13.14,16.34
0.0,0.0,52.89,76.62,0.0,0.0,12.72,7.26,0.0,0.0,63.98,14.39,0.0,0.0,84.89,11.71,0.0,61.7,0.0,77.56,0.0,0.0,16.43,20.6,0.0,0.0,13.89,7.87
0.0,0.0,46.31,73.53,0.0,0.0,17.11,14.94,0.0,0.0,59.59,10.17,0.0,0.0,87.09,10.34,0.0,73.66,0.0,90.98,0.0,0.0,18.2,17.87,0.0,0.0,12.57,5.35
0.0,0.0,27.75,82.83,0.0,0.0,23.55,20.55,0.0,0.0,52.69,5.12,0.0,0.0,88.83,11.96,0.0,73.6,0.0,85.97,0.0,0.0,24.42,15.68,0.0,0.0,10.3,3.88
