H10E_in,H10E_out,H10W_in,H10W_out,H15N_in,H15N_out,H15S_in,H15S_out,H20E_in,H20E_out,H20W_in,H20W_out,H25N_in,H25N_out,H25S_in,H25S_out
2.8475,0.5275,5.205,0.145,3.525,0.185,3.5325,0.22499999999999998,2.4025000000000003,0.15999999999999998,3.13,0.215,3.6275,0.08,2.7825,0.3375
2.9099999999999997,2.8625000000000003,5.4275,2.04,3.67,2.63,3.5425000000000004,1.6075,2.2725,2.8499999999999996,3.1575,2.5775,3.5475000000000003,1.9725000000000001,2.6799999999999997,2.65
3.325,4.365,5.935,3.265,3.4074999999999998,4.825,3.5574999999999997,2.05,2.3175000000000003,4.435,3.635,3.6074999999999995,3.7024999999999997,4.2725,2.8125000000000004,4.465
3.3024999999999998,5.0,8.592500000000001,3.1849999999999996,3.4575,4.9875,3.4175,2.36,2.6025,4.9325,3.345,3.5075,3.8825,4.5649999999999995,2.53,4.89
2.9175,4.745,5.255,3.4375,3.4375,4.34,3.385,1.865,2.3075,5.005,3.1725,4.2275,3.6825,4.6625,2.66,4.51
3.0875,5.0175,5.602500000000001,3.1025,3.385,5.3175,3.4675,2.1575,2.325,4.664999999999999,3.0375,4.035,3.85,4.795,2.835,4.5825
2.8400000000000003,5.5874999999999995,6.28,3.2925,3.4225,5.2125,3.3274999999999997,2.0575,2.425,4.8525,3.3325,4.005000000000001,3.8,4.4174999999999995,2.655,4.1850000000000005
2.945,4.95,31.465,3.385,3.585,5.1625,3.9850000000000003,2.0549999999999997,2.4775,5.442500000000001,3.3049999999999997,3.3775,3.8575,4.6325,2.4325,4.39
3.0225,4.9399999999999995,21.26,3.125,3.4124999999999996,5.12,3.745,2.0175,2.49,5.08,3.4625,4.1075,4.035,4.37,2.975,4.71
3.1824999999999997,4.507499999999999,5.835000000000001,3.4574999999999996,3.3875,5.0675,3.5975,2.1975,2.6174999999999997,5.06,3.0225,4.4,3.9074999999999998,4.645,2.835,4.7875
3.0425,4.4375,5.1000000000000005,3.52,3.69,5.3625,3.56,1.815,2.5025,4.605,3.225,4.1525,3.9025,5.3225,2.6550000000000002,4.6625
3.275,4.7225,7.890000000000001,3.3375,3.4875,5.085,3.3400000000000003,2.145,2.4274999999999998,4.84,3.3075,3.9425,3.85,4.6425,2.4325,4.550000000000001
3.0450000000000004,5.4399999999999995,19.3425,3.2875,3.5649999999999995,5.6075,3.425,2.0275,2.395,4.99,3.3925,4.165,3.7699999999999996,4.365,2.415,4.4475
3.0624999999999996,5.625,20.8375,3.305,3.54,5.155,3.535,1.9325,2.5225000000000004,5.140000000000001,3.1149999999999998,3.6975,3.74,4.75,2.54,4.7725
3.0175,5.182499999999999,20.625,3.0324999999999998,3.4825,5.0075,3.805,1.9575,2.4475,5.065,3.24,4.2575,3.5824999999999996,4.3575,2.7800000000000002,4.3
2.8775,5.01,30.8825,3.28,3.5175,4.495,3.4625,2.065,2.2875,5.449999999999999,3.4499999999999997,3.6975000000000002,3.9699999999999998,4.3325,2.435,4.9825
3.335,4.7875,19.165,3.1500000000000004,3.705,4.88,3.5774999999999997,2.055,2.4775,5.125,3.1775,4.3625,3.66,4.7225,2.7049999999999996,4.195
2.9749999999999996,4.4975000000000005,25.252499999999998,3.585,3.6274999999999995,4.52,3.385,1.8775,2.32,4.8175,3.3725,4.145,3.6075,5.1225000000000005,2.7249999999999996,5.2975
3.195,5.31,18.595,3.1,3.395,5.6525,3.8549999999999995,2.0250000000000004,2.4925,4.765,3.0574999999999997,4.105,3.6525000000000003,4.7475000000000005,2.6750000000000003,4.7925
3.0425,5.3725000000000005,16.5925,3.2475,3.775,4.9825,3.7375,2.1500000000000004,2.3325,4.415,3.3325,4.1775,3.8325000000000005,4.865,2.93,4.432499999999999
2.9025,5.0925,30.712500000000006,3.1799999999999997,3.3874999999999997,5.745,3.5199999999999996,2.0925000000000002,2.3324999999999996,4.7,3.21,4.54,3.735,4.415000000000001,2.64,4.4325
3.1474999999999995,4.865,20.884999999999998,3.29,3.5374999999999996,4.8475,3.5549999999999997,2.1175,2.3425000000000002,5.025,3.1625,3.6899999999999995,3.565,4.67,2.5749999999999997,4.04
3.3075,4.375,32.9025,3.4150000000000005,3.5725,5.1825,3.5175,2.0875000000000004,2.315,5.3975,3.25,3.8649999999999998,3.8925,4.4675,2.655,4.7775
2.865,4.5625,25.595,2.8075,3.5100000000000002,5.3825,3.3975,1.8525,2.4525,4.9125000000000005,3.4875,4.300000000000001,3.7725,4.495,2.8075,4.324999999999999
2.9225000000000003,5.1675,25.945,3.4074999999999998,3.5349999999999997,4.9350000000000005,3.5675000000000003,2.0825,2.4375,5.449999999999999,3.1975000000000002,4.1275,3.815,4.2225,2.5225,4.8100000000000005
3.11,5.547499999999999,21.1475,3.48,3.7075,5.0575,3.2750000000000004,1.9175,2.3,5.2275,3.3025,4.0175,3.76,4.575,2.7224999999999997,4.920000000000001
3.1,5.2275,29.409999999999997,3.3975,3.425,4.1525,3.5475000000000003,2.1325,2.5875,4.55,3.2,4.1625,3.7725000000000004,5.01,2.37,4.49
3.0,4.8525,30.375,3.1149999999999998,3.4075,4.785,3.275,2.055,2.3125,5.012499999999999,3.0700000000000003,3.825,3.6824999999999997,4.94,2.415,4.5425
3.0925000000000002,4.35,22.4025,3.2575,3.3825000000000003,5.45,3.3925,2.0275,2.6175,4.87,3.2675,4.0175,3.6374999999999997,4.3025,2.53,4.405
3.2475000000000005,4.9975,15.86,3.3049999999999997,3.945,5.22,3.675,2.2125000000000004,2.63,5.1825,3.17,4.0075,3.5625,4.45,2.4175000000000004,5.4025
3.3324999999999996,5.7325,17.7675,3.6525,3.405,5.33,3.4725,2.0300000000000002,2.275,4.76,3.1775,4.1375,3.8425,4.5575,2.6325000000000003,4.8175
3.34,5.5425,30.8525,3.56,3.3825000000000003,5.1575,3.55,2.3000000000000003,2.3000000000000003,4.7525,3.6550000000000002,3.9924999999999997,3.8225,4.66,2.855,4.6274999999999995
3.0574999999999997,5.6425,20.5875,3.285,3.58,4.655,3.2525,1.7825,2.5050000000000003,4.702500000000001,3.37,4.5575,3.8625,4.45,2.3775,4.905
3.4524999999999997,4.7875,15.3225,3.205,3.5275,5.16,3.4275,2.0525,2.4274999999999998,4.8825,3.075,3.8449999999999998,3.8550000000000004,4.2124999999999995,2.5225000000000004,4.455
3.2075000000000005,4.6975,21.602500000000003,3.3175,3.73,5.3425,3.815,2.16,2.2925000000000004,5.390000000000001,3.2350000000000003,3.53,3.9749999999999996,4.595,3.0100000000000002,4.725
2.92,5.275,15.760000000000002,3.175,3.5275,4.9375,3.25,1.8125,2.3325,5.22,3.1799999999999997,4.050000000000001,3.62,4.36,2.4325,5.37
3.3825000000000003,5.2575,15.46,3.6525,3.5675,5.065,3.6999999999999997,2.0325,2.9125000000000005,5.1075,3.2775,4.217499999999999,3.8625000000000003,4.75,2.6675,5.5600000000000005
3.21,5.49,13.5625,3.3274999999999997,3.5425,5.335,3.5424999999999995,2.1525,2.545,4.8425,3.1950000000000003,4.327500000000001,3.71,5.99,2.3674999999999997,4.91
3.2125,5.6674999999999995,14.984999999999998,3.555,3.66,5.5075,3.2874999999999996,2.0075000000000003,2.3625000000000003,5.1925,3.1775,4.1975,3.7275,5.1000000000000005,2.715,4.7875
3.0575,5.025,35.78,3.4775,3.3949999999999996,5.29,3.5525,1.9474999999999998,2.265,4.91,3.1325,4.6025,3.8325,4.4174999999999995,2.6975,4.455
