H10E_offRamp1,H10E_offRamp2,H10E_onRamp1,H10E_onRamp2,H10W_offRamp1,H10W_offRamp2,H10W_onRamp1,H10W_onRamp2,H15N_offRamp1,H15N_offRamp2,H15N_onRamp1,H15N_onRamp2,H15S_offRamp1,H15S_offRamp2,H15S_onRamp1,H15S_onRamp2,H20E_offRamp1,H20E_onRamp1,H20W_offRamp1,H20W_onRamp1,H25N_offRamp1,H25N_offRamp2,H25N_onRamp1,H25N_onRamp2,H25S_offRamp1,H25S_offRamp2,H25S_onRamp1,H25S_onRamp2
,,331.26,6.72,,,6.82,7.34,,,2.65,11.22,,,2.38,8.65,,2.74,,8.11,,,7.44,6.87,,,172.84,14.48
,,116.04,7.34,,,8.23,4.92,,,2.49,12.73,,,2.33,8.18,,2.88,,2.57,,,10.1,2.47,,,9.12,14.07
,,117.06,3.23,,,6.96,4.11,,,2.59,28.76,,,2.65,6.92,,2.74,,2.34,,,6.95,4.61,,,9.49,12.01
,,216.75,2.95,,,7.67,8.42,,,2.39,18.08,,,2.51,7.21,,2.69,,2.31,,,6.06,2.48,,,10.62,10.87
,,3.87,3.2,,,321.79,10.9,,,2.38,28.68,,,2.46,6.29,,2.76,,2.36,,,4.71,2.45,,,189.23,9.83
,,3.02,2.85,,,10.52,15.65,,,2.51,19.03,,,2.38,5.14,,2.64,,2.49,,,6.9,2.56,,,193.51,9.43
,,2.62,2.71,,,12.24,13.1,,,2.6,16.33,,,2.55,5.88,,2.77,,2.24,,,6.97,3.48,,,8.83,8.47
,,2.97,2.51,,,8.92,13.29,,,2.78,8.98,,,2.35,6.86,,2.93,,2.5,,,8.24,6.06,,,7.65,10.52
,,3.59,2.76,,,7.83,9.66,,,2.79,10.7,,,2.41,7.77,,2.81,,2.25,,,8.12,6.54,,,9.35,11.5
,,9.37,2.57,,,5.76,9.72,,,2.99,14.75,,,2.37,7.8,,2.63,,2.21,,,6.52,6.32,,,378.78,13.8
,,16.98,2.63,,,6.17,8.73,,,2.88,11.45,,,2.36,5.92,,2.87,,2.34,,,9.43,7.63,,,186.87,13.93
,,438.86,2.65,,,159.5,9.42,,,2.93,9.09,,,2.42,6.42,,2.72,,2.47,,,7.51,10.21,,,11.02,11.41
,,325.28,2.63,,,3.05,9.01,,,3.55,2.85,,,2.54,4.24,,2.65,,2.41,,,3.77,6.79,,,189.08,10.06
,,16.73,2.72,,,7.27,6.87,,,2.7,1.78,,,2.7,3.47,,2.65,,2.4,,,7.04,7.89,,,11.56,9.81
,,16.68,2.55,,,167.39,8.88,,,2.77,9.34,,,2.67,4.23,,2.65,,2.74,,,6.59,7.03,,,11.67,10.47
,,117.08,2.72,,,7.63,5.67,,,2.82,6.7,,,2.54,5.72,,2.59,,3.43,,,6.84,7.39,,,10.78,13.67
,,543.14,2.52,,,6.23,6.13,,,2.56,11.23,,,2.4,6.95,,2.59,,2.69,,,8.24,8.42,,,11.23,12.21
,,227.04,2.57,,,9.6,9.89,,,2.51,15.71,,,2.36,4.89,,2.57,,2.6,,,4.42,9.59,,,11.79,11.88
,,2.7,2.73,,,163.18,11.22,,,2.49,4.0,,,2.29,5.01,,2.49,,2.49,,,3.55,15.25,,,12.4,14.05
,,2.63,2.92,,,167.74,10.99,,,2.46,10.12,,,2.39,6.23,,2.53,,2.5,,,2.87,6.22,,,194.91,7.8
,,2.44,2.95,,,3.17,12.79,,,2.34,7.46,,,2.48,4.84,,2.77,,2.54,,,2.8,4.81,,,11.75,11.36
,,2.77,2.68,,,3.09,10.57,,,2.55,16.6,,,2.27,5.6,,2.75,,2.25,,,2.66,7.5,,,195.14,13.07
,,2.53,2.73,,,2.85,14.71,,,2.81,12.34,,,2.33,5.53,,2.65,,2.44,,,2.66,7.13,,,9.37,14.27
,,2.93,2.53,,,2.92,14.24,,,3.56,0.48,,,2.51,3.09,,2.83,,2.78,,,2.79,7.0,,,8.14,13.38
,,3.44,2.62,,,2.84,8.57,,,2.94,6.66,,,2.41,5.89,,2.83,,2.61,,,2.71,8.05,,,6.48,11.75
,,2.75,2.41,,,2.94,8.27,,,2.61,0.5,,,2.56,5.78,,2.83,,2.37,,,2.59,6.39,,,9.12,12.83
,,2.49,2.58,,,3.16,2.84,,,2.72,2.31,,,2.47,6.61,,2.81,,2.27,,,2.62,6.54,,,9.82,13.74
,,2.52,2.72,,,3.04,2.98,,,2.45,10.72,,,2.46,6.56,,2.86,,2.38,,,2.71,6.45,,,196.01,12.93
,,2.32,2.94,,,2.99,2.97,,,2.6,5.86,,,2.48,4.09,,2.81,,2.77,,,2.77,7.17,,,190.88,11.98
,,2.47,3.47,,,3.02,9.48,,,2.78,7.74,,,3.04,4.93,,2.75,,2.81,,,2.72,5.07,,,10.03,13.95
,,2.89,8.83,,,2.95,9.25,,,2.55,9.74,,,2.82,6.41,,2.75,,2.5,,,2.81,5.65,,,11.85,10.8
,,3.05,7.64,,,3.11,10.88,,,2.54,13.04,,,2.6,7.88,,2.68,,2.62,,,2.51,2.66,,,380.34,14.61
,,2.62,6.71,,,2.77,11.4,,,2.54,20.05,,,2.97,6.15,,2.4,,2.99,,,2.71,3.8,,,12.66,14.36
,,2.57,3.6,,,2.93,11.02,,,2.62,11.19,,,2.71,6.37,,2.67,,3.81,,,2.53,5.63,,,10.6,13.66
,,2.78,3.5,,,3.04,14.08,,,2.48,8.45,,,2.59,5.82,,2.87,,2.83,,,2.7,5.41,,,10.94,13.06
,,2.62,3.43,,,3.15,8.8,,,2.49,9.17,,,2.76,6.12,,2.83,,5.99,,,2.41,8.14,,,4.52,14.19
,,2.43,2.93,,,2.98,9.04,,,2.54,10.04,,,3.52,4.29,,2.88,,4.09,,,2.71,5.78,,,8.41,11.08
,,2.53,2.98,,,3.03,9.74,,,2.63,9.69,,,8.68,2.69,,2.88,,2.89,,,2.74,7.78,,,3.92,9.15
