begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H10E_in_3,75,1500.00,7.61,29.09,28.16,5.00,78
180.00,360.00,H10E_in_3,54,1080.00,7.97,23.91,18.82,5.00,54
360.00,540.00,H10E_in_3,34,680.00,6.62,18.39,14.28,5.00,34
540.00,720.00,H10E_in_3,71,1420.00,8.76,22.71,22.52,5.00,71
720.00,900.00,H10E_in_3,79,1580.00,11.45,20.18,19.16,5.00,79
900.00,1080.00,H10E_in_3,72,1440.00,12.05,19.85,16.59,5.00,72
1080.00,1260.00,H10E_in_3,46,920.00,36.93,20.61,15.21,5.00,47
1260.00,1440.00,H10E_in_3,7,140.00,58.43,10.08,0.22,5.00,6
1440.00,1620.00,H10E_in_3,64,1280.00,8.35,21.35,21.30,5.00,64
1620.00,1800.00,H10E_in_3,87,1740.00,11.31,21.43,21.37,5.00,87
1800.00,1980.00,H10E_in_3,71,1420.00,26.78,14.84,7.36,5.00,71
1980.00,2160.00,H10E_in_3,45,900.00,11.51,12.53,10.86,5.00,45
2160.00,2340.00,H10E_in_3,61,1220.00,8.65,20.80,19.59,5.00,61
2340.00,2520.00,H10E_in_3,35,700.00,7.35,22.13,13.23,5.00,35
2520.00,2700.00,H10E_in_3,0,0.00,0.00,-1.00,-1.00,-1.00,0
2700.00,2880.00,H10E_in_3,8,160.00,2.64,9.48,8.40,5.00,8
2880.00,3060.00,H10E_in_3,66,1320.00,9.58,20.29,19.14,5.00,66
3060.00,3240.00,H10E_in_3,94,1880.00,14.35,19.05,18.20,5.00,94
3240.00,3420.00,H10E_in_3,80,1600.00,31.19,8.55,7.19,5.00,81
3420.00,3600.00,H10E_in_3,7,140.00,91.21,4.27,3.29,5.00,7
3600.00,3601.00,H10E_in_3,0,0.00,100.00,-1.00,-1.00,-1.00,0
