begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H10E_onRamp1,48,960.00,5.35,25.20,24.94,5.00,48
180.00,360.00,H10E_onRamp1,47,940.00,5.05,26.11,25.87,5.00,47
360.00,540.00,H10E_onRamp1,48,960.00,5.33,25.39,25.04,5.00,48
540.00,720.00,H10E_onRamp1,47,940.00,5.30,25.09,24.65,5.00,47
720.00,900.00,H10E_onRamp1,48,960.00,5.14,26.30,25.92,5.00,48
900.00,1080.00,H10E_onRamp1,47,940.00,5.32,24.88,24.54,5.00,47
1080.00,1260.00,H10E_onRamp1,48,960.00,5.50,24.65,24.25,5.00,48
1260.00,1440.00,H10E_onRamp1,47,940.00,5.34,25.01,24.44,5.00,47
1440.00,1620.00,H10E_onRamp1,48,960.00,5.56,24.46,23.98,5.00,48
1620.00,1800.00,H10E_onRamp1,47,940.00,7.37,21.41,17.71,5.00,47
1800.00,1980.00,H10E_onRamp1,18,360.00,66.71,18.76,0.75,5.00,18
1980.00,2160.00,H10E_onRamp1,25,500.00,73.33,13.09,10.71,5.00,26
2160.00,2340.00,H10E_onRamp1,0,0.00,100.00,-1.00,-1.00,-1.00,0
2340.00,2520.00,H10E_onRamp1,46,920.00,54.91,12.40,0.58,5.00,45
2520.00,2700.00,H10E_onRamp1,6,120.00,7.15,5.88,2.33,5.00,6
2700.00,2880.00,H10E_onRamp1,25,500.00,11.76,11.89,5.90,5.00,25
2880.00,3060.00,H10E_onRamp1,8,160.00,23.20,8.04,0.96,5.00,8
3060.00,3240.00,H10E_onRamp1,17,340.00,82.55,14.21,12.23,5.00,18
3240.00,3420.00,H10E_onRamp1,1,20.00,97.48,0.02,0.02,5.00,1
3420.00,3600.00,H10E_onRamp1,38,760.00,52.93,9.11,2.05,5.00,38
3600.00,3601.00,H10E_onRamp1,0,0.00,100.00,-1.00,-1.00,-1.00,0
