begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H10E_out_3,1,20.00,0.07,37.56,37.56,5.00,1
180.00,360.00,H10E_out_3,50,1000.00,4.20,33.19,33.09,5.00,50
360.00,540.00,H10E_out_3,69,1380.00,5.96,32.33,32.18,5.00,69
540.00,720.00,H10E_out_3,65,1300.00,5.45,33.22,33.13,5.00,65
720.00,900.00,H10E_out_3,67,1340.00,5.82,32.25,32.00,5.00,67
900.00,1080.00,H10E_out_3,59,1180.00,5.12,32.15,32.02,5.00,59
1080.00,1260.00,H10E_out_3,73,1460.00,6.28,32.69,32.59,5.00,74
1260.00,1440.00,H10E_out_3,64,1280.00,5.63,31.75,31.56,5.00,64
1440.00,1620.00,H10E_out_3,72,1440.00,6.36,31.57,31.43,5.00,72
1620.00,1800.00,H10E_out_3,66,1320.00,5.71,32.21,32.09,5.00,66
1800.00,1980.00,H10E_out_3,13,260.00,1.06,33.98,33.91,5.00,13
1980.00,2160.00,H10E_out_3,35,700.00,2.91,33.58,33.39,5.00,35
2160.00,2340.00,H10E_out_3,17,340.00,1.40,33.86,33.64,5.00,17
2340.00,2520.00,H10E_out_3,44,880.00,3.74,32.90,32.66,5.00,44
2520.00,2700.00,H10E_out_3,22,440.00,1.80,34.29,34.01,5.00,22
2700.00,2880.00,H10E_out_3,12,240.00,0.90,37.24,37.13,5.00,12
2880.00,3060.00,H10E_out_3,32,640.00,2.65,33.67,33.51,5.00,32
3060.00,3240.00,H10E_out_3,42,840.00,3.66,32.09,31.88,5.00,42
3240.00,3420.00,H10E_out_3,17,340.00,1.41,33.72,33.57,5.00,17
3420.00,3600.00,H10E_out_3,23,460.00,2.00,32.12,31.91,5.00,23
3600.00,3601.00,H10E_out_3,1,3600.00,14.53,34.40,34.40,5.00,1
