begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H10W_1_1,20,400.00,1.74,32.20,31.95,5.00,20
180.00,360.00,H10W_1_1,28,560.00,2.42,32.27,32.13,5.00,28
360.00,540.00,H10W_1_1,24,480.00,2.10,32.04,31.81,5.00,24
540.00,720.00,H10W_1_1,24,480.00,2.12,31.57,31.44,5.00,24
720.00,900.00,H10W_1_1,24,480.00,2.10,31.92,31.68,5.00,24
900.00,1080.00,H10W_1_1,20,400.00,1.78,31.47,31.20,5.00,20
1080.00,1260.00,H10W_1_1,23,460.00,1.97,32.53,32.40,5.00,23
1260.00,1440.00,H10W_1_1,25,500.00,2.19,31.90,31.75,5.00,25
1440.00,1620.00,H10W_1_1,27,540.00,2.43,31.96,31.76,5.00,28
1620.00,1800.00,H10W_1_1,32,640.00,2.90,31.28,30.86,5.00,33
1800.00,1980.00,H10W_1_1,42,840.00,3.70,31.71,31.50,5.00,42
1980.00,2160.00,H10W_1_1,43,860.00,3.82,31.42,31.23,5.00,43
2160.00,2340.00,H10W_1_1,20,400.00,1.75,32.37,32.24,5.00,21
2340.00,2520.00,H10W_1_1,19,380.00,1.65,32.14,31.94,5.00,19
2520.00,2700.00,H10W_1_1,28,560.00,2.51,31.09,30.96,5.00,28
2700.00,2880.00,H10W_1_1,23,460.00,2.15,31.30,31.18,5.00,24
2880.00,3060.00,H10W_1_1,22,440.00,2.43,30.96,25.18,5.00,22
3060.00,3240.00,H10W_1_1,19,380.00,1.65,32.10,31.96,5.00,19
3240.00,3420.00,H10W_1_1,26,520.00,2.35,31.14,30.74,5.00,26
3420.00,3600.00,H10W_1_1,24,480.00,2.65,30.32,25.20,5.00,24
3600.00,3601.00,H10W_1_1,0,0.00,0.00,-1.00,-1.00,-1.00,0
