begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H10W_in_1,52,1040.00,6.52,28.19,22.47,5.00,53
180.00,360.00,H10W_in_1,49,980.00,6.38,29.34,21.47,5.00,50
360.00,540.00,H10W_in_1,47,940.00,7.68,23.77,17.09,5.00,48
540.00,720.00,H10W_in_1,45,900.00,16.43,11.10,7.61,5.00,45
720.00,900.00,H10W_in_1,37,740.00,42.60,10.57,3.50,5.00,39
900.00,1080.00,H10W_in_1,66,1320.00,30.51,10.42,7.94,5.00,69
1080.00,1260.00,H10W_in_1,15,300.00,75.09,9.21,0.61,5.00,15
1260.00,1440.00,H10W_in_1,63,1260.00,32.59,10.57,8.82,5.00,66
1440.00,1620.00,H10W_in_1,43,860.00,43.15,10.85,2.18,5.00,44
1620.00,1800.00,H10W_in_1,30,600.00,11.00,9.90,7.58,5.00,30
1800.00,1980.00,H10W_in_1,36,720.00,10.42,10.84,9.65,5.00,37
1980.00,2160.00,H10W_in_1,67,1340.00,24.29,11.53,10.02,5.00,69
2160.00,2340.00,H10W_in_1,41,820.00,52.28,10.01,2.47,5.00,41
2340.00,2520.00,H10W_in_1,49,980.00,41.74,10.88,2.68,5.00,48
2520.00,2700.00,H10W_in_1,23,460.00,11.70,7.99,5.46,5.00,23
2700.00,2880.00,H10W_in_1,60,1200.00,16.49,11.89,10.53,5.00,61
2880.00,3060.00,H10W_in_1,14,280.00,35.31,8.77,7.41,5.00,15
3060.00,3240.00,H10W_in_1,76,1520.00,21.61,11.05,9.77,5.00,76
3240.00,3420.00,H10W_in_1,22,440.00,6.42,12.15,10.39,5.00,24
3420.00,3600.00,H10W_in_1,28,560.00,66.32,10.18,8.26,5.00,29
3600.00,3601.00,H10W_in_1,0,0.00,0.00,-1.00,-1.00,-1.00,0
