begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H10W_onRamp2,35,700.00,3.68,26.69,26.45,5.00,35
180.00,360.00,H10W_onRamp2,32,640.00,3.39,26.57,26.22,5.00,32
360.00,540.00,H10W_onRamp2,33,660.00,3.66,25.53,25.07,5.00,33
540.00,720.00,H10W_onRamp2,32,640.00,3.77,24.05,23.60,5.00,32
720.00,900.00,H10W_onRamp2,33,660.00,3.61,25.74,25.39,5.00,33
900.00,1080.00,H10W_onRamp2,32,640.00,3.43,26.24,25.88,5.00,32
1080.00,1260.00,H10W_onRamp2,33,660.00,3.61,25.81,25.42,5.00,33
1260.00,1440.00,H10W_onRamp2,32,640.00,3.45,26.23,25.73,5.00,32
1440.00,1620.00,H10W_onRamp2,33,660.00,3.60,25.75,25.47,5.00,33
1620.00,1800.00,H10W_onRamp2,32,640.00,3.48,25.89,25.57,5.00,32
1800.00,1980.00,H10W_onRamp2,33,660.00,3.57,26.04,25.66,5.00,33
1980.00,2160.00,H10W_onRamp2,12,240.00,67.41,18.82,16.04,5.00,13
2160.00,2340.00,H10W_onRamp2,1,20.00,97.72,0.02,0.02,5.00,1
2340.00,2520.00,H10W_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
2520.00,2700.00,H10W_onRamp2,1,20.00,97.39,0.02,0.02,5.00,1
2700.00,2880.00,H10W_onRamp2,1,20.00,97.16,0.02,0.02,5.00,1
2880.00,3060.00,H10W_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
3060.00,3240.00,H10W_onRamp2,1,20.00,98.20,0.02,0.02,5.00,1
3240.00,3420.00,H10W_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
3420.00,3600.00,H10W_onRamp2,1,20.00,97.88,0.02,0.02,5.00,1
3600.00,3601.00,H10W_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
