begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H15S_onRamp2,27,540.00,2.84,26.68,26.37,5.00,27
180.00,360.00,H15S_onRamp2,25,500.00,2.55,27.50,27.25,5.00,25
360.00,540.00,H15S_onRamp2,25,500.00,2.67,26.68,25.99,5.00,25
540.00,720.00,H15S_onRamp2,25,500.00,2.77,25.54,25.03,5.00,25
720.00,900.00,H15S_onRamp2,25,500.00,2.75,25.46,25.28,5.00,25
900.00,1080.00,H15S_onRamp2,25,500.00,2.60,26.93,26.68,5.00,25
1080.00,1260.00,H15S_onRamp2,25,500.00,2.82,24.97,24.59,5.00,25
1260.00,1440.00,H15S_onRamp2,25,500.00,2.61,27.01,26.66,5.00,25
1440.00,1620.00,H15S_onRamp2,25,500.00,2.59,27.08,26.77,5.00,25
1620.00,1800.00,H15S_onRamp2,25,500.00,2.60,27.00,26.73,5.00,25
1800.00,1980.00,H15S_onRamp2,25,500.00,2.83,24.98,24.56,5.00,25
1980.00,2160.00,H15S_onRamp2,25,500.00,2.70,26.24,25.72,5.00,25
2160.00,2340.00,H15S_onRamp2,25,500.00,2.81,25.11,24.72,5.00,25
2340.00,2520.00,H15S_onRamp2,25,500.00,54.21,9.31,1.28,5.00,25
2520.00,2700.00,H15S_onRamp2,25,500.00,2.89,25.40,24.05,5.00,25
2700.00,2880.00,H15S_onRamp2,14,280.00,84.67,6.26,0.46,5.00,14
2880.00,3060.00,H15S_onRamp2,36,720.00,6.21,19.61,16.11,5.00,36
3060.00,3240.00,H15S_onRamp2,15,300.00,4.07,17.92,10.25,5.00,15
3240.00,3420.00,H15S_onRamp2,20,400.00,5.30,11.97,10.49,5.00,20
3420.00,3600.00,H15S_onRamp2,12,240.00,4.32,11.25,7.71,5.00,12
3600.00,3601.00,H15S_onRamp2,0,0.00,0.00,-1.00,-1.00,-1.00,0
