begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H20E_2_2,18,360.00,1.63,31.25,31.09,5.00,19
180.00,360.00,H20E_2_2,70,1400.00,9.09,24.54,23.02,5.00,71
360.00,540.00,H20E_2_2,41,820.00,17.95,21.10,17.79,5.00,43
540.00,720.00,H20E_2_2,34,680.00,9.72,16.91,12.32,5.00,35
720.00,900.00,H20E_2_2,81,1620.00,10.45,24.55,21.88,5.00,82
900.00,1080.00,H20E_2_2,16,320.00,37.99,14.06,1.32,5.00,16
1080.00,1260.00,H20E_2_2,32,640.00,21.97,21.35,14.26,5.00,35
1260.00,1440.00,H20E_2_2,24,480.00,9.78,14.87,6.96,5.00,26
1440.00,1620.00,H20E_2_2,49,980.00,7.07,23.05,19.26,5.00,49
1620.00,1800.00,H20E_2_2,22,440.00,4.64,23.58,13.17,5.00,22
1800.00,1980.00,H20E_2_2,28,560.00,2.49,31.52,31.26,5.00,28
1980.00,2160.00,H20E_2_2,46,920.00,6.00,23.73,21.51,5.00,47
2160.00,2340.00,H20E_2_2,38,760.00,3.86,28.21,27.67,5.00,39
2340.00,2520.00,H20E_2_2,57,1140.00,13.59,21.27,18.30,5.00,59
2520.00,2700.00,H20E_2_2,30,600.00,3.57,25.08,23.83,5.00,31
2700.00,2880.00,H20E_2_2,65,1300.00,6.79,27.37,26.60,5.00,65
2880.00,3060.00,H20E_2_2,19,380.00,11.05,15.15,10.55,5.00,23
3060.00,3240.00,H20E_2_2,18,360.00,3.70,22.21,13.52,5.00,18
3240.00,3420.00,H20E_2_2,13,260.00,1.37,28.88,27.67,5.00,15
3420.00,3600.00,H20E_2_2,17,340.00,75.29,18.14,13.51,5.00,19
3600.00,3601.00,H20E_2_2,0,0.00,100.00,-1.00,-1.00,-1.00,0
