begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H20W_out_2,2,40.00,0.16,35.05,35.04,5.00,2
180.00,360.00,H20W_out_2,30,600.00,2.52,33.25,33.06,5.00,30
360.00,540.00,H20W_out_2,43,860.00,3.76,31.88,31.76,5.00,43
540.00,720.00,H20W_out_2,61,1220.00,5.38,31.64,31.47,5.00,61
720.00,900.00,H20W_out_2,47,940.00,4.11,32.56,32.45,5.00,48
900.00,1080.00,H20W_out_2,51,1020.00,4.58,31.07,30.93,5.00,51
1080.00,1260.00,H20W_out_2,50,1000.00,4.46,31.30,31.15,5.00,50
1260.00,1440.00,H20W_out_2,53,1060.00,4.77,31.00,30.89,5.00,53
1440.00,1620.00,H20W_out_2,48,960.00,4.43,30.27,30.13,5.00,48
1620.00,1800.00,H20W_out_2,47,940.00,4.09,32.03,31.92,5.00,47
1800.00,1980.00,H20W_out_2,53,1060.00,4.72,31.36,31.20,5.00,53
1980.00,2160.00,H20W_out_2,43,860.00,3.85,31.16,31.06,5.00,43
2160.00,2340.00,H20W_out_2,56,1120.00,4.93,31.62,31.52,5.00,56
2340.00,2520.00,H20W_out_2,44,880.00,3.92,31.48,31.20,5.00,44
2520.00,2700.00,H20W_out_2,48,960.00,4.22,31.72,31.58,5.00,48
2700.00,2880.00,H20W_out_2,34,680.00,2.92,32.34,32.29,5.00,34
2880.00,3060.00,H20W_out_2,42,840.00,4.19,31.41,27.83,5.00,42
3060.00,3240.00,H20W_out_2,39,780.00,3.54,30.98,30.90,5.00,40
3240.00,3420.00,H20W_out_2,42,840.00,4.26,30.83,27.38,5.00,42
3420.00,3600.00,H20W_out_2,40,800.00,3.52,31.63,31.56,5.00,40
3600.00,3601.00,H20W_out_2,0,0.00,0.00,-1.00,-1.00,-1.00,0
