begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H25N_3_0,11,220.00,0.99,31.06,30.92,5.00,11
180.00,360.00,H25N_3_0,37,740.00,3.69,28.01,27.84,5.00,37
360.00,540.00,H25N_3_0,25,500.00,2.53,27.64,27.48,5.00,25
540.00,720.00,H25N_3_0,35,700.00,3.49,28.08,27.90,5.00,35
720.00,900.00,H25N_3_0,42,840.00,4.17,28.15,28.00,5.00,42
900.00,1080.00,H25N_3_0,43,860.00,4.22,28.49,28.31,5.00,43
1080.00,1260.00,H25N_3_0,31,620.00,3.03,28.57,28.40,5.00,31
1260.00,1440.00,H25N_3_0,38,760.00,3.91,27.28,27.07,5.00,39
1440.00,1620.00,H25N_3_0,30,600.00,2.94,28.39,28.19,5.00,29
1620.00,1800.00,H25N_3_0,42,840.00,4.18,28.16,27.93,5.00,42
1800.00,1980.00,H25N_3_0,43,860.00,4.26,28.14,28.01,5.00,43
1980.00,2160.00,H25N_3_0,42,840.00,4.28,27.99,27.74,5.00,43
2160.00,2340.00,H25N_3_0,46,920.00,4.48,28.64,28.51,5.00,46
2340.00,2520.00,H25N_3_0,57,1140.00,5.79,27.52,27.33,5.00,57
2520.00,2700.00,H25N_3_0,55,1100.00,5.48,28.06,27.90,5.00,55
2700.00,2880.00,H25N_3_0,69,1380.00,6.98,27.81,27.68,5.00,70
2880.00,3060.00,H25N_3_0,46,920.00,4.71,27.06,26.86,5.00,45
3060.00,3240.00,H25N_3_0,38,760.00,3.86,27.91,27.74,5.00,39
3240.00,3420.00,H25N_3_0,35,700.00,4.02,27.36,24.16,5.00,35
3420.00,3600.00,H25N_3_0,32,640.00,3.01,29.78,29.65,5.00,33
3600.00,3601.00,H25N_3_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
