begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H25N_in_2,40,800.00,4.06,31.18,27.36,5.00,40
180.00,360.00,H25N_in_2,42,840.00,4.21,31.42,27.70,5.00,42
360.00,540.00,H25N_in_2,42,840.00,4.15,31.98,28.14,5.00,42
540.00,720.00,H25N_in_2,42,840.00,3.65,32.31,31.94,5.00,42
720.00,900.00,H25N_in_2,39,780.00,3.41,32.10,31.81,5.00,39
900.00,1080.00,H25N_in_2,40,800.00,3.60,31.57,31.29,5.00,42
1080.00,1260.00,H25N_in_2,38,760.00,3.36,31.90,31.67,5.00,39
1260.00,1440.00,H25N_in_2,40,800.00,4.51,31.05,24.64,5.00,40
1440.00,1620.00,H25N_in_2,48,960.00,5.20,30.81,25.63,5.00,48
1620.00,1800.00,H25N_in_2,43,860.00,3.63,33.19,32.92,5.00,43
1800.00,1980.00,H25N_in_2,40,800.00,3.53,31.79,31.50,5.00,40
1980.00,2160.00,H25N_in_2,42,840.00,3.60,32.66,32.37,5.00,42
2160.00,2340.00,H25N_in_2,40,800.00,3.45,32.55,32.20,5.00,40
2340.00,2520.00,H25N_in_2,42,840.00,3.64,32.35,32.08,5.00,43
2520.00,2700.00,H25N_in_2,38,760.00,3.30,32.21,31.97,5.00,38
2700.00,2880.00,H25N_in_2,45,900.00,3.94,32.46,32.21,5.00,46
2880.00,3060.00,H25N_in_2,41,820.00,3.58,32.28,32.11,5.00,42
3060.00,3240.00,H25N_in_2,41,820.00,3.66,31.43,31.08,5.00,41
3240.00,3420.00,H25N_in_2,41,820.00,3.64,31.81,31.50,5.00,42
3420.00,3600.00,H25N_in_2,40,800.00,3.47,32.42,32.06,5.00,40
3600.00,3601.00,H25N_in_2,0,0.00,0.00,-1.00,-1.00,-1.00,0
