begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H25N_onRamp2,20,400.00,2.12,26.76,26.16,5.00,20
180.00,360.00,H25N_onRamp2,20,400.00,2.04,27.85,27.29,5.00,20
360.00,540.00,H25N_onRamp2,20,400.00,2.04,27.50,27.27,5.00,20
540.00,720.00,H25N_onRamp2,20,400.00,2.05,27.22,27.08,5.00,20
720.00,900.00,H25N_onRamp2,20,400.00,1.95,28.67,28.44,5.00,20
900.00,1080.00,H25N_onRamp2,20,400.00,2.07,27.28,26.88,5.00,20
1080.00,1260.00,H25N_onRamp2,20,400.00,2.02,27.80,27.46,5.00,20
1260.00,1440.00,H25N_onRamp2,20,400.00,2.07,27.11,26.81,5.00,20
1440.00,1620.00,H25N_onRamp2,20,400.00,2.06,27.49,27.00,5.00,20
1620.00,1800.00,H25N_onRamp2,20,400.00,2.09,26.80,26.62,5.00,20
1800.00,1980.00,H25N_onRamp2,20,400.00,1.99,28.20,27.86,5.00,20
1980.00,2160.00,H25N_onRamp2,20,400.00,2.09,26.80,26.63,5.00,20
2160.00,2340.00,H25N_onRamp2,20,400.00,2.04,27.57,27.26,5.00,20
2340.00,2520.00,H25N_onRamp2,20,400.00,2.05,27.25,27.07,5.00,20
2520.00,2700.00,H25N_onRamp2,20,400.00,2.08,26.91,26.68,5.00,20
2700.00,2880.00,H25N_onRamp2,20,400.00,2.04,27.48,27.27,5.00,20
2880.00,3060.00,H25N_onRamp2,20,400.00,2.05,27.35,27.11,5.00,20
3060.00,3240.00,H25N_onRamp2,20,400.00,2.11,26.69,26.30,5.00,20
3240.00,3420.00,H25N_onRamp2,20,400.00,2.10,26.95,26.49,5.00,20
3420.00,3600.00,H25N_onRamp2,20,400.00,2.07,27.24,26.89,5.00,20
3600.00,3601.00,H25N_onRamp2,0,0.00,0.00,-1.00,-1.00,-1.00,0
