begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H25N_out_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
180.00,360.00,H25N_out_0,1,20.00,0.11,25.88,25.88,5.00,1
360.00,540.00,H25N_out_0,3,60.00,0.32,26.40,26.32,5.00,3
540.00,720.00,H25N_out_0,2,40.00,0.21,26.83,26.77,5.00,2
720.00,900.00,H25N_out_0,6,120.00,0.58,28.78,28.62,5.00,6
900.00,1080.00,H25N_out_0,2,40.00,0.20,27.22,27.13,5.00,2
1080.00,1260.00,H25N_out_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
1260.00,1440.00,H25N_out_0,2,40.00,0.21,27.08,27.08,5.00,2
1440.00,1620.00,H25N_out_0,4,80.00,0.44,25.12,25.01,5.00,4
1620.00,1800.00,H25N_out_0,2,40.00,0.21,26.09,26.07,5.00,2
1800.00,1980.00,H25N_out_0,2,40.00,0.19,29.42,29.24,5.00,2
1980.00,2160.00,H25N_out_0,1,20.00,0.11,26.08,26.08,5.00,1
2160.00,2340.00,H25N_out_0,3,60.00,0.32,26.79,26.12,5.00,3
2340.00,2520.00,H25N_out_0,1,20.00,0.10,29.21,29.21,5.00,1
2520.00,2700.00,H25N_out_0,1,20.00,0.10,27.02,27.02,5.00,1
2700.00,2880.00,H25N_out_0,2,40.00,0.22,25.00,24.85,5.00,2
2880.00,3060.00,H25N_out_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
3060.00,3240.00,H25N_out_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
3240.00,3420.00,H25N_out_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
3420.00,3600.00,H25N_out_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
3600.00,3601.00,H25N_out_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
