begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H25S_4_2,3,60.00,0.23,36.06,35.82,5.00,3
180.00,360.00,H25S_4_2,66,1320.00,5.84,31.58,31.40,5.00,66
360.00,540.00,H25S_4_2,88,1760.00,10.37,26.50,23.56,5.00,88
540.00,720.00,H25S_4_2,71,1420.00,10.86,21.39,19.18,5.00,73
720.00,900.00,H25S_4_2,56,1120.00,17.13,21.23,19.08,5.00,58
900.00,1080.00,H25S_4_2,76,1520.00,7.72,27.79,27.35,5.00,76
1080.00,1260.00,H25S_4_2,78,1560.00,9.38,24.59,23.39,5.00,79
1260.00,1440.00,H25S_4_2,51,1020.00,10.23,22.85,13.85,5.00,51
1440.00,1620.00,H25S_4_2,58,1160.00,7.54,22.47,21.36,5.00,58
1620.00,1800.00,H25S_4_2,60,1200.00,33.35,21.36,16.77,5.00,61
1800.00,1980.00,H25S_4_2,55,1100.00,24.61,10.39,6.23,5.00,56
1980.00,2160.00,H25S_4_2,38,760.00,31.45,19.50,3.51,5.00,40
2160.00,2340.00,H25S_4_2,61,1220.00,6.54,26.73,25.92,5.00,61
2340.00,2520.00,H25S_4_2,28,560.00,44.57,18.84,1.75,5.00,28
2520.00,2700.00,H25S_4_2,84,1680.00,9.15,26.51,25.49,5.00,84
2700.00,2880.00,H25S_4_2,36,720.00,6.41,19.25,15.72,5.00,38
2880.00,3060.00,H25S_4_2,13,260.00,2.87,17.18,12.57,5.00,13
3060.00,3240.00,H25S_4_2,103,2060.00,19.11,24.86,23.00,5.00,104
3240.00,3420.00,H25S_4_2,0,0.00,100.00,-1.00,-1.00,-1.00,0
3420.00,3600.00,H25S_4_2,32,640.00,11.38,25.03,18.86,5.00,32
3600.00,3601.00,H25S_4_2,0,0.00,0.00,-1.00,-1.00,-1.00,0
