begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H25S_in_2,66,1320.00,6.39,29.00,28.69,5.00,66
180.00,360.00,H25S_in_2,72,1440.00,14.62,24.58,21.54,5.00,75
360.00,540.00,H25S_in_2,41,820.00,30.17,12.62,3.25,5.00,42
540.00,720.00,H25S_in_2,38,760.00,29.38,11.06,8.16,5.00,46
720.00,900.00,H25S_in_2,57,1140.00,24.03,10.79,7.87,5.00,59
900.00,1080.00,H25S_in_2,41,820.00,15.99,10.58,7.44,5.00,45
1080.00,1260.00,H25S_in_2,40,800.00,27.62,10.79,4.20,5.00,44
1260.00,1440.00,H25S_in_2,67,1340.00,15.92,12.20,11.63,5.00,68
1440.00,1620.00,H25S_in_2,56,1120.00,16.54,10.64,9.67,5.00,60
1620.00,1800.00,H25S_in_2,52,1040.00,14.28,12.03,10.92,5.00,58
1800.00,1980.00,H25S_in_2,59,1180.00,14.92,12.60,11.33,5.00,64
1980.00,2160.00,H25S_in_2,63,1260.00,17.95,12.11,10.13,5.00,66
2160.00,2340.00,H25S_in_2,41,820.00,24.17,14.59,9.72,5.00,44
2340.00,2520.00,H25S_in_2,53,1060.00,16.56,10.13,8.89,5.00,53
2520.00,2700.00,H25S_in_2,28,560.00,16.82,13.53,5.16,5.00,34
2700.00,2880.00,H25S_in_2,51,1020.00,31.52,9.95,7.73,5.00,55
2880.00,3060.00,H25S_in_2,38,760.00,9.72,11.93,11.41,5.00,40
3060.00,3240.00,H25S_in_2,43,860.00,21.41,10.37,5.77,5.00,49
3240.00,3420.00,H25S_in_2,78,1560.00,21.74,10.74,9.97,5.00,78
3420.00,3600.00,H25S_in_2,72,1440.00,18.05,12.51,11.29,5.00,74
3600.00,3601.00,H25S_in_2,1,3600.00,3.43,11.96,11.96,5.00,0
