begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H25S_out_2,3,60.00,0.22,37.23,37.15,5.00,3
180.00,360.00,H25S_out_2,39,780.00,3.25,33.50,33.29,5.00,39
360.00,540.00,H25S_out_2,61,1220.00,5.43,31.36,31.23,5.00,61
540.00,720.00,H25S_out_2,63,1260.00,5.65,31.09,30.97,5.00,63
720.00,900.00,H25S_out_2,57,1140.00,5.16,30.88,30.66,5.00,57
900.00,1080.00,H25S_out_2,50,1000.00,4.62,30.18,30.06,5.00,50
1080.00,1260.00,H25S_out_2,48,960.00,4.12,32.55,32.33,5.00,48
1260.00,1440.00,H25S_out_2,31,620.00,2.67,32.43,32.29,5.00,31
1440.00,1620.00,H25S_out_2,48,960.00,4.22,31.70,31.57,5.00,48
1620.00,1800.00,H25S_out_2,61,1220.00,5.43,31.41,31.19,5.00,61
1800.00,1980.00,H25S_out_2,31,620.00,2.77,31.64,31.53,5.00,32
1980.00,2160.00,H25S_out_2,34,680.00,2.98,31.46,31.33,5.00,33
2160.00,2340.00,H25S_out_2,43,860.00,3.74,32.06,31.90,5.00,43
2340.00,2520.00,H25S_out_2,54,1080.00,4.82,31.30,31.14,5.00,54
2520.00,2700.00,H25S_out_2,49,980.00,4.40,31.20,31.09,5.00,50
2700.00,2880.00,H25S_out_2,39,780.00,3.37,32.07,31.91,5.00,38
2880.00,3060.00,H25S_out_2,25,500.00,2.06,33.92,33.76,5.00,25
3060.00,3240.00,H25S_out_2,33,660.00,2.97,31.11,30.85,5.00,33
3240.00,3420.00,H25S_out_2,42,840.00,3.78,31.06,30.89,5.00,42
3420.00,3600.00,H25S_out_2,37,740.00,3.33,31.76,31.59,5.00,38
3600.00,3601.00,H25S_out_2,1,3600.00,2.78,31.12,31.12,5.00,0
