begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,60.00,H10E_8_5,0,0.00,0.00,-1.00,-1.00,-1.00,0
60.00,120.00,H10E_8_5,0,0.00,0.00,-1.00,-1.00,-1.00,0
120.00,180.00,H10E_8_5,4,240.00,1.02,32.66,32.54,5.00,4
180.00,240.00,H10E_8_5,5,300.00,1.29,32.47,32.42,5.00,5
240.00,300.00,H10E_8_5,1,60.00,0.24,34.12,34.12,5.00,1
300.00,360.00,H10E_8_5,23,1380.00,6.44,29.79,29.75,5.00,23
360.00,420.00,H10E_8_5,25,1500.00,7.05,29.58,29.55,5.00,25
420.00,480.00,H10E_8_5,32,1920.00,9.06,29.56,29.52,5.00,33
480.00,540.00,H10E_8_5,26,1560.00,7.19,30.00,29.99,5.00,25
540.00,600.00,H10E_8_5,32,1920.00,9.15,29.19,29.15,5.00,32
600.00,660.00,H10E_8_5,26,1560.00,7.14,30.40,30.35,5.00,26
660.00,720.00,H10E_8_5,30,1800.00,8.38,29.86,29.82,5.00,30
720.00,780.00,H10E_8_5,26,1560.00,7.49,28.98,28.92,5.00,26
780.00,840.00,H10E_8_5,29,1740.00,8.42,28.74,28.70,5.00,29
840.00,900.00,H10E_8_5,28,1680.00,8.61,27.23,27.11,5.00,28
900.00,960.00,H10E_8_5,34,2040.00,10.37,27.40,27.32,5.00,34
960.00,1020.00,H10E_8_5,33,1980.00,9.43,29.19,29.16,5.00,33
1020.00,1080.00,H10E_8_5,34,2040.00,9.53,29.81,29.74,5.00,34
1080.00,1140.00,H10E_8_5,31,1860.00,10.40,28.48,24.85,5.00,31
1140.00,1200.00,H10E_8_5,38,2280.00,12.11,26.37,26.16,5.00,38
1200.00,1260.00,H10E_8_5,38,2280.00,10.83,29.34,29.23,5.00,38
1260.00,1320.00,H10E_8_5,34,2040.00,10.21,28.04,27.76,5.00,34
1320.00,1380.00,H10E_8_5,38,2280.00,11.38,27.95,27.83,5.00,38
1380.00,1440.00,H10E_8_5,32,1920.00,9.49,28.15,28.11,5.00,32
1440.00,1500.00,H10E_8_5,35,2100.00,10.05,29.11,29.03,5.00,35
1500.00,1560.00,H10E_8_5,37,2220.00,11.25,27.45,27.41,5.00,37
1560.00,1620.00,H10E_8_5,34,2040.00,9.89,28.97,28.66,5.00,34
1620.00,1680.00,H10E_8_5,31,1860.00,8.99,28.76,28.72,5.00,31
1680.00,1740.00,H10E_8_5,33,1980.00,9.48,29.03,29.01,5.00,33
1740.00,1800.00,H10E_8_5,35,2100.00,10.26,28.48,28.44,5.00,35
1800.00,1860.00,H10E_8_5,35,2100.00,10.13,29.63,29.61,5.00,36
1860.00,1920.00,H10E_8_5,31,1860.00,8.49,29.48,29.45,5.00,30
1920.00,1980.00,H10E_8_5,33,1980.00,9.64,28.61,28.54,5.00,33
1980.00,2040.00,H10E_8_5,36,2160.00,10.57,28.44,28.38,5.00,36
2040.00,2100.00,H10E_8_5,28,1680.00,8.38,28.09,27.83,5.00,28
2100.00,2160.00,H10E_8_5,41,2460.00,13.62,25.20,25.08,5.00,41
2160.00,2220.00,H10E_8_5,35,2100.00,10.83,27.07,26.94,5.00,35
2220.00,2280.00,H10E_8_5,33,1980.00,9.36,29.43,29.37,5.00,33
2280.00,2340.00,H10E_8_5,39,2340.00,11.67,27.87,27.85,5.00,39
2340.00,2400.00,H10E_8_5,35,2100.00,10.20,28.67,28.60,5.00,35
2400.00,2460.00,H10E_8_5,37,2220.00,10.63,29.05,29.00,5.00,37
2460.00,2520.00,H10E_8_5,38,2280.00,10.94,29.00,28.95,5.00,38
2520.00,2580.00,H10E_8_5,35,2100.00,10.51,28.07,28.04,5.00,36
2580.00,2640.00,H10E_8_5,37,2220.00,12.76,27.27,24.21,5.00,37
2640.00,2700.00,H10E_8_5,38,2280.00,11.17,28.10,28.04,5.00,37
2700.00,2760.00,H10E_8_5,38,2280.00,11.93,26.58,26.54,5.00,38
2760.00,2820.00,H10E_8_5,40,2400.00,12.26,27.20,27.18,5.00,40
2820.00,2880.00,H10E_8_5,35,2100.00,11.41,28.98,25.57,5.00,35
2880.00,2940.00,H10E_8_5,35,2100.00,10.14,28.81,28.75,5.00,35
2940.00,3000.00,H10E_8_5,35,2100.00,9.86,29.64,29.58,5.00,35
3000.00,3060.00,H10E_8_5,35,2100.00,10.36,28.25,28.15,5.00,35
3060.00,3120.00,H10E_8_5,38,2280.00,11.28,28.18,28.08,5.00,38
3120.00,3180.00,H10E_8_5,33,1980.00,9.79,28.30,28.19,5.00,34
3180.00,3240.00,H10E_8_5,35,2100.00,9.99,29.15,29.11,5.00,34
3240.00,3300.00,H10E_8_5,37,2220.00,10.94,28.27,28.17,5.00,37
3300.00,3360.00,H10E_8_5,36,2160.00,10.42,28.86,28.80,5.00,36
3360.00,3420.00,H10E_8_5,37,2220.00,10.67,28.93,28.89,5.00,37
3420.00,3480.00,H10E_8_5,32,1920.00,9.20,29.08,28.99,5.00,32
3480.00,3540.00,H10E_8_5,38,2280.00,11.81,27.58,27.54,5.00,39
3540.00,3600.00,H10E_8_5,40,2400.00,11.81,27.53,27.49,5.00,39
3600.00,3660.00,H10E_8_5,34,2040.00,10.24,28.31,27.67,5.00,34
3660.00,3720.00,H10E_8_5,34,2040.00,10.47,27.30,27.07,5.00,34
3720.00,3780.00,H10E_8_5,35,2100.00,10.25,28.52,28.45,5.00,35
3780.00,3840.00,H10E_8_5,38,2280.00,12.61,25.19,25.11,5.00,38
3840.00,3900.00,H10E_8_5,39,2340.00,11.98,27.16,27.14,5.00,39
3900.00,3960.00,H10E_8_5,34,2040.00,10.30,28.11,28.06,5.00,35
3960.00,4020.00,H10E_8_5,38,2280.00,11.04,28.21,28.16,5.00,37
4020.00,4080.00,H10E_8_5,36,2160.00,11.19,27.57,27.55,5.00,37
4080.00,4140.00,H10E_8_5,40,2400.00,12.00,27.16,27.11,5.00,39
4140.00,4200.00,H10E_8_5,41,2460.00,14.02,24.47,24.38,5.00,41
4200.00,4260.00,H10E_8_5,40,2400.00,13.31,25.08,25.05,5.00,40
4260.00,4320.00,H10E_8_5,41,2460.00,15.51,23.96,22.03,5.00,41
4320.00,4380.00,H10E_8_5,40,2400.00,13.55,24.67,24.59,5.00,40
4380.00,4440.00,H10E_8_5,37,2220.00,12.08,25.62,25.53,5.00,37
4440.00,4500.00,H10E_8_5,40,2400.00,13.74,24.31,24.25,5.00,40
4500.00,4560.00,H10E_8_5,40,2400.00,13.92,24.25,24.18,5.00,41
4560.00,4620.00,H10E_8_5,41,2460.00,14.42,23.51,23.47,5.00,40
4620.00,4680.00,H10E_8_5,40,2400.00,14.16,23.60,23.54,5.00,40
4680.00,4740.00,H10E_8_5,40,2400.00,13.47,25.06,24.94,5.00,41
4740.00,4800.00,H10E_8_5,41,2460.00,14.12,24.06,24.01,5.00,40
4800.00,4860.00,H10E_8_5,40,2400.00,13.70,24.40,24.33,5.00,40
4860.00,4920.00,H10E_8_5,40,2400.00,13.59,24.60,24.53,5.00,40
4920.00,4980.00,H10E_8_5,40,2400.00,13.55,24.62,24.59,5.00,40
4980.00,5040.00,H10E_8_5,39,2340.00,14.50,22.57,22.41,5.00,39
5040.00,5100.00,H10E_8_5,39,2340.00,15.64,20.84,20.78,5.00,39
5100.00,5160.00,H10E_8_5,40,2400.00,15.64,21.37,21.32,5.00,40
5160.00,5220.00,H10E_8_5,39,2340.00,15.77,20.66,20.61,5.00,39
5220.00,5280.00,H10E_8_5,40,2400.00,15.78,21.18,21.13,5.00,40
5280.00,5340.00,H10E_8_5,39,2340.00,15.11,21.63,21.50,5.00,39
5340.00,5400.00,H10E_8_5,39,2340.00,15.87,20.63,20.48,5.00,39
5400.00,5460.00,H10E_8_5,39,2340.00,15.67,20.81,20.75,5.00,39
5460.00,5520.00,H10E_8_5,40,2400.00,16.11,20.82,20.69,5.00,40
5520.00,5580.00,H10E_8_5,39,2340.00,15.91,20.56,20.43,5.00,39
5580.00,5640.00,H10E_8_5,38,2280.00,15.80,20.18,20.04,5.00,38
5640.00,5700.00,H10E_8_5,38,2280.00,16.73,19.16,18.99,5.00,39
5700.00,5760.00,H10E_8_5,39,2340.00,15.81,20.67,20.50,5.00,39
5760.00,5820.00,H10E_8_5,40,2400.00,14.84,22.46,22.43,5.00,39
5820.00,5880.00,H10E_8_5,39,2340.00,16.01,20.79,20.73,5.00,40
5880.00,5940.00,H10E_8_5,40,2400.00,15.18,21.55,21.49,5.00,39
5940.00,6000.00,H10E_8_5,41,2460.00,14.44,23.75,23.66,5.00,41
6000.00,6060.00,H10E_8_5,40,2400.00,14.70,22.74,22.68,5.00,40
6060.00,6120.00,H10E_8_5,39,2340.00,14.43,22.57,22.52,5.00,39
6120.00,6180.00,H10E_8_5,41,2460.00,14.02,24.39,24.36,5.00,41
6180.00,6240.00,H10E_8_5,39,2340.00,15.03,21.83,21.62,5.00,39
6240.00,6300.00,H10E_8_5,40,2400.00,14.38,23.30,23.26,5.00,41
6300.00,6360.00,H10E_8_5,40,2400.00,15.14,22.08,21.95,5.00,39
6360.00,6420.00,H10E_8_5,40,2400.00,14.64,22.79,22.76,5.00,40
6420.00,6480.00,H10E_8_5,40,2400.00,14.34,23.32,23.25,5.00,40
6480.00,6540.00,H10E_8_5,40,2400.00,14.88,22.90,22.84,5.00,41
6540.00,6600.00,H10E_8_5,41,2460.00,14.73,22.86,22.76,5.00,40
