begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,60.00,H10E_in_3,27,1620.00,8.12,27.90,27.72,5.00,27
60.00,120.00,H10E_in_3,25,1500.00,7.73,27.10,26.95,5.00,25
120.00,180.00,H10E_in_3,24,1440.00,7.27,27.73,27.51,5.00,24
180.00,240.00,H10E_in_3,27,1620.00,8.13,27.91,27.68,5.00,27
240.00,300.00,H10E_in_3,27,1620.00,8.47,26.73,26.57,5.00,27
300.00,360.00,H10E_in_3,27,1620.00,8.47,26.79,26.57,5.00,27
360.00,420.00,H10E_in_3,29,1740.00,9.11,26.81,26.53,5.00,29
420.00,480.00,H10E_in_3,27,1620.00,8.33,27.14,27.01,5.00,27
480.00,540.00,H10E_in_3,29,1740.00,8.63,28.19,28.01,5.00,29
540.00,600.00,H10E_in_3,28,1680.00,8.34,28.20,27.99,5.00,28
600.00,660.00,H10E_in_3,27,1620.00,8.39,26.99,26.82,5.00,27
660.00,720.00,H10E_in_3,25,1500.00,7.64,27.52,27.28,5.00,25
720.00,780.00,H10E_in_3,27,1620.00,8.29,27.32,27.15,5.00,27
780.00,840.00,H10E_in_3,27,1620.00,8.53,26.62,26.38,5.00,27
840.00,900.00,H10E_in_3,28,1680.00,8.47,27.65,27.53,5.00,28
900.00,960.00,H10E_in_3,27,1620.00,8.45,26.90,26.63,5.00,27
960.00,1020.00,H10E_in_3,29,1740.00,8.64,28.13,27.97,5.00,29
1020.00,1080.00,H10E_in_3,28,1680.00,8.66,27.14,26.93,5.00,28
1080.00,1140.00,H10E_in_3,27,1620.00,8.33,27.23,27.02,5.00,27
1140.00,1200.00,H10E_in_3,28,1680.00,8.82,26.72,26.47,5.00,28
1200.00,1260.00,H10E_in_3,28,1680.00,8.70,27.06,26.83,5.00,28
1260.00,1320.00,H10E_in_3,26,1560.00,7.97,27.30,27.20,5.00,26
1320.00,1380.00,H10E_in_3,28,1680.00,8.74,26.95,26.71,5.00,28
1380.00,1440.00,H10E_in_3,28,1680.00,8.30,28.27,28.11,5.00,28
1440.00,1500.00,H10E_in_3,27,1620.00,8.46,26.80,26.60,5.00,27
1500.00,1560.00,H10E_in_3,26,1560.00,8.01,27.34,27.04,5.00,26
1560.00,1620.00,H10E_in_3,25,1500.00,7.73,27.14,26.97,5.00,25
1620.00,1680.00,H10E_in_3,27,1620.00,8.82,25.86,25.51,5.00,27
1680.00,1740.00,H10E_in_3,26,1560.00,8.66,25.28,25.02,5.00,26
1740.00,1800.00,H10E_in_3,26,1560.00,7.96,27.42,27.21,5.00,26
1800.00,1860.00,H10E_in_3,28,1680.00,8.44,27.84,27.64,5.00,28
1860.00,1920.00,H10E_in_3,27,1620.00,8.21,27.61,27.41,5.00,27
1920.00,1980.00,H10E_in_3,24,1440.00,7.15,28.08,27.96,5.00,24
1980.00,2040.00,H10E_in_3,28,1680.00,8.69,26.96,26.84,5.00,28
2040.00,2100.00,H10E_in_3,27,1620.00,8.31,27.24,27.06,5.00,27
2100.00,2160.00,H10E_in_3,26,1560.00,8.01,27.34,27.06,5.00,26
2160.00,2220.00,H10E_in_3,27,1620.00,8.36,27.11,26.93,5.00,27
2220.00,2280.00,H10E_in_3,27,1620.00,8.43,26.77,26.68,5.00,27
2280.00,2340.00,H10E_in_3,25,1500.00,8.12,25.86,25.67,5.00,25
2340.00,2400.00,H10E_in_3,29,1740.00,9.12,26.73,26.51,5.00,29
2400.00,2460.00,H10E_in_3,26,1560.00,8.04,27.15,26.94,5.00,26
2460.00,2520.00,H10E_in_3,26,1560.00,8.03,27.14,26.97,5.00,26
2520.00,2580.00,H10E_in_3,25,1500.00,7.63,27.50,27.29,5.00,25
2580.00,2640.00,H10E_in_3,26,1560.00,7.61,28.57,28.46,5.00,26
2640.00,2700.00,H10E_in_3,27,1620.00,8.53,26.61,26.37,5.00,27
2700.00,2760.00,H10E_in_3,30,1800.00,9.25,27.25,27.01,5.00,30
2760.00,2820.00,H10E_in_3,29,1740.00,8.90,27.27,27.15,5.00,29
2820.00,2880.00,H10E_in_3,27,1620.00,8.14,27.97,27.65,5.00,27
2880.00,2940.00,H10E_in_3,25,1500.00,7.68,27.28,27.14,5.00,25
2940.00,3000.00,H10E_in_3,26,1560.00,8.05,27.11,26.90,5.00,26
3000.00,3060.00,H10E_in_3,27,1620.00,8.48,26.69,26.55,5.00,27
3060.00,3120.00,H10E_in_3,26,1560.00,8.09,27.02,26.79,5.00,26
3120.00,3180.00,H10E_in_3,26,1560.00,8.18,26.77,26.48,5.00,26
3180.00,3240.00,H10E_in_3,28,1680.00,8.76,26.77,26.65,5.00,28
3240.00,3300.00,H10E_in_3,28,1680.00,8.34,28.09,27.98,5.00,28
3300.00,3360.00,H10E_in_3,28,1680.00,8.68,27.04,26.87,5.00,28
3360.00,3420.00,H10E_in_3,27,1620.00,8.39,26.94,26.82,5.00,27
3420.00,3480.00,H10E_in_3,28,1680.00,8.78,26.78,26.59,5.00,28
3480.00,3540.00,H10E_in_3,26,1560.00,8.24,26.44,26.28,5.00,26
3540.00,3600.00,H10E_in_3,28,1680.00,8.68,27.07,26.89,5.00,28
3600.00,3660.00,H10E_in_3,36,2160.00,12.27,24.75,24.44,5.00,36
3660.00,3720.00,H10E_in_3,36,2160.00,13.40,22.72,22.39,5.00,36
3720.00,3780.00,H10E_in_3,32,1920.00,13.14,20.43,20.29,5.00,32
3780.00,3840.00,H10E_in_3,35,2100.00,15.51,19.05,18.81,5.00,35
3840.00,3900.00,H10E_in_3,34,2040.00,15.52,18.47,18.26,5.00,34
3900.00,3960.00,H10E_in_3,36,2160.00,13.70,22.12,21.89,5.00,36
3960.00,4020.00,H10E_in_3,35,2100.00,12.32,23.83,23.67,5.00,35
