begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H10E_in_0,28,560.00,2.54,31.35,30.80,5.00,29
180.00,360.00,H10E_in_0,27,540.00,2.36,32.07,31.78,5.00,27
360.00,540.00,H10E_in_0,24,480.00,2.12,31.72,31.49,5.00,24
540.00,720.00,H10E_in_0,29,580.00,2.54,31.94,31.69,5.00,29
720.00,900.00,H10E_in_0,31,620.00,2.70,32.44,31.95,5.00,31
900.00,1080.00,H10E_in_0,26,520.00,2.35,31.03,30.75,5.00,26
1080.00,1260.00,H10E_in_0,29,580.00,2.59,31.32,31.15,5.00,29
1260.00,1440.00,H10E_in_0,28,560.00,2.54,30.86,30.65,5.00,28
1440.00,1620.00,H10E_in_0,30,600.00,2.69,31.60,31.33,5.00,31
1620.00,1800.00,H10E_in_0,24,480.00,2.15,31.29,31.05,5.00,24
1800.00,1980.00,H10E_in_0,32,640.00,2.83,31.80,31.44,5.00,32
1980.00,2160.00,H10E_in_0,31,620.00,2.73,31.90,31.67,5.00,32
2160.00,2340.00,H10E_in_0,28,560.00,2.43,32.25,32.06,5.00,28
2340.00,2520.00,H10E_in_0,29,580.00,2.58,31.52,31.23,5.00,29
2520.00,2700.00,H10E_in_0,26,520.00,2.23,32.53,32.35,5.00,26
2700.00,2880.00,H10E_in_0,26,520.00,2.33,31.25,31.01,5.00,26
2880.00,3060.00,H10E_in_0,30,600.00,2.66,31.88,31.58,5.00,31
3060.00,3240.00,H10E_in_0,30,600.00,2.65,31.64,31.39,5.00,30
3240.00,3420.00,H10E_in_0,34,680.00,2.90,32.71,32.53,5.00,34
3420.00,3600.00,H10E_in_0,28,560.00,2.44,32.18,31.91,5.00,28
3600.00,3780.00,H10E_in_0,23,460.00,2.08,31.21,30.96,5.00,24
3780.00,3960.00,H10E_in_0,31,620.00,2.70,32.09,31.90,5.00,31
3960.00,4140.00,H10E_in_0,28,560.00,2.44,31.96,31.84,5.00,28
4140.00,4320.00,H10E_in_0,27,540.00,2.43,31.32,31.12,5.00,28
4320.00,4500.00,H10E_in_0,32,640.00,2.82,31.64,31.47,5.00,32
4500.00,4680.00,H10E_in_0,30,600.00,2.55,32.86,32.63,5.00,30
4680.00,4860.00,H10E_in_0,29,580.00,2.55,31.83,31.58,5.00,29
4860.00,5040.00,H10E_in_0,26,520.00,2.35,31.19,30.76,5.00,26
5040.00,5220.00,H10E_in_0,26,520.00,2.26,32.32,31.96,5.00,26
5220.00,5400.00,H10E_in_0,30,600.00,2.58,32.60,32.31,5.00,30
5400.00,5580.00,H10E_in_0,31,620.00,2.69,32.20,32.00,5.00,31
5580.00,5760.00,H10E_in_0,26,520.00,2.35,31.22,30.72,5.00,26
5760.00,5940.00,H10E_in_0,27,540.00,2.41,31.20,31.11,5.00,27
5940.00,6120.00,H10E_in_0,31,620.00,2.69,32.18,32.01,5.00,31
6120.00,6300.00,H10E_in_0,30,600.00,2.61,32.17,31.93,5.00,30
6300.00,6480.00,H10E_in_0,27,540.00,2.41,31.60,31.17,5.00,27
6480.00,6660.00,H10E_in_0,27,540.00,2.36,32.08,31.83,5.00,27
6660.00,6840.00,H10E_in_0,28,560.00,2.49,31.33,31.18,5.00,28
6840.00,7020.00,H10E_in_0,28,560.00,2.48,31.54,31.31,5.00,28
7020.00,7200.00,H10E_in_0,30,600.00,2.63,32.08,31.68,5.00,30
7200.00,7380.00,H10E_in_0,28,560.00,2.44,32.24,31.91,5.00,28
7380.00,7560.00,H10E_in_0,28,560.00,2.55,30.89,30.54,5.00,29
7560.00,7740.00,H10E_in_0,28,560.00,2.49,32.16,31.84,5.00,29
7740.00,7920.00,H10E_in_0,26,520.00,2.40,30.68,30.15,5.00,26
7920.00,8100.00,H10E_in_0,27,540.00,2.34,32.36,32.00,5.00,27
8100.00,8280.00,H10E_in_0,30,600.00,2.62,32.15,31.80,5.00,30
8280.00,8460.00,H10E_in_0,26,520.00,2.27,32.06,31.86,5.00,26
8460.00,8640.00,H10E_in_0,31,620.00,2.81,31.11,30.63,5.00,31
8640.00,8820.00,H10E_in_0,30,600.00,2.65,31.80,31.42,5.00,30
8820.00,9000.00,H10E_in_0,28,560.00,2.48,31.67,31.40,5.00,28
9000.00,9180.00,H10E_in_0,25,500.00,2.21,31.61,31.39,5.00,25
9180.00,9360.00,H10E_in_0,27,540.00,2.46,31.60,31.23,5.00,28
9360.00,9540.00,H10E_in_0,25,500.00,2.31,30.41,30.07,5.00,25
9540.00,9720.00,H10E_in_0,25,500.00,2.18,31.99,31.80,5.00,25
9720.00,9900.00,H10E_in_0,25,500.00,2.20,31.70,31.56,5.00,25
9900.00,10080.00,H10E_in_0,27,540.00,2.38,31.97,31.57,5.00,27
10080.00,10260.00,H10E_in_0,30,600.00,2.62,32.33,32.07,5.00,31
10260.00,10440.00,H10E_in_0,27,540.00,2.38,32.34,31.96,5.00,28
10440.00,10620.00,H10E_in_0,28,560.00,2.42,32.33,32.12,5.00,28
10620.00,10800.00,H10E_in_0,27,540.00,2.42,31.48,31.04,5.00,27
10800.00,10980.00,H10E_in_0,29,580.00,2.47,32.74,32.61,5.00,29
10980.00,11160.00,H10E_in_0,26,520.00,2.33,31.58,31.04,5.00,26
11160.00,11340.00,H10E_in_0,26,520.00,2.38,30.65,30.36,5.00,26
11340.00,11520.00,H10E_in_0,25,500.00,2.34,31.59,31.19,5.00,27
11520.00,11700.00,H10E_in_0,29,580.00,2.55,31.90,31.54,5.00,29
11700.00,11880.00,H10E_in_0,25,500.00,2.24,31.38,30.98,5.00,25
11880.00,12060.00,H10E_in_0,33,660.00,2.86,32.77,32.63,5.00,34
12060.00,12240.00,H10E_in_0,28,560.00,2.47,31.82,31.55,5.00,28
12240.00,12420.00,H10E_in_0,26,520.00,2.46,30.98,30.82,5.00,28
12420.00,12600.00,H10E_in_0,26,520.00,2.35,31.08,30.74,5.00,26
12600.00,12780.00,H10E_in_0,28,560.00,2.48,31.85,31.38,5.00,28
12780.00,12960.00,H10E_in_0,30,600.00,2.61,32.09,31.91,5.00,30
12960.00,13140.00,H10E_in_0,30,600.00,2.63,31.92,31.71,5.00,30
13140.00,13320.00,H10E_in_0,29,580.00,2.59,31.43,31.14,5.00,29
13320.00,13500.00,H10E_in_0,27,540.00,2.46,31.71,31.39,5.00,28
13500.00,13680.00,H10E_in_0,30,600.00,2.60,32.35,32.05,5.00,30
13680.00,13860.00,H10E_in_0,28,560.00,2.52,31.11,30.90,5.00,28
13860.00,14040.00,H10E_in_0,30,600.00,2.64,31.83,31.57,5.00,30
14040.00,14220.00,H10E_in_0,27,540.00,2.41,31.43,31.17,5.00,27
14220.00,14400.00,H10E_in_0,28,560.00,2.55,30.82,30.54,5.00,28
