begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H10E_onRamp2,1,20.00,93.60,7.21,7.21,5.00,2
180.00,360.00,H10E_onRamp2,1,20.00,98.87,0.02,0.02,5.00,1
360.00,540.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
540.00,720.00,H10E_onRamp2,1,20.00,98.93,0.02,0.02,5.00,1
720.00,900.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
900.00,1080.00,H10E_onRamp2,1,20.00,98.81,0.02,0.02,5.00,1
1080.00,1260.00,H10E_onRamp2,1,20.00,98.86,0.02,0.02,5.00,1
1260.00,1440.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
1440.00,1620.00,H10E_onRamp2,1,20.00,99.01,0.02,0.02,5.00,1
1620.00,1800.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
1800.00,1980.00,H10E_onRamp2,1,20.00,99.03,0.02,0.02,5.00,1
1980.00,2160.00,H10E_onRamp2,1,20.00,98.71,0.02,0.02,5.00,1
2160.00,2340.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
2340.00,2520.00,H10E_onRamp2,1,20.00,98.94,0.02,0.02,5.00,1
2520.00,2700.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
2700.00,2880.00,H10E_onRamp2,1,20.00,98.86,0.02,0.02,5.00,1
2880.00,3060.00,H10E_onRamp2,1,20.00,99.31,0.02,0.02,5.00,0
3060.00,3240.00,H10E_onRamp2,0,0.00,99.64,-1.00,-1.00,-1.00,1
3240.00,3420.00,H10E_onRamp2,1,20.00,98.91,0.02,0.02,5.00,1
3420.00,3600.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
3600.00,3780.00,H10E_onRamp2,1,20.00,98.87,0.02,0.02,5.00,1
3780.00,3960.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
3960.00,4140.00,H10E_onRamp2,1,20.00,98.80,0.02,0.02,5.00,1
4140.00,4320.00,H10E_onRamp2,1,20.00,98.82,0.02,0.02,5.00,1
4320.00,4500.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
4500.00,4680.00,H10E_onRamp2,1,20.00,98.84,0.02,0.02,5.00,1
4680.00,4860.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
4860.00,5040.00,H10E_onRamp2,1,20.00,98.90,0.02,0.02,5.00,1
5040.00,5220.00,H10E_onRamp2,1,20.00,98.91,0.02,0.02,5.00,1
5220.00,5400.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
5400.00,5580.00,H10E_onRamp2,1,20.00,98.96,0.02,0.02,5.00,1
5580.00,5760.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
5760.00,5940.00,H10E_onRamp2,1,20.00,98.92,0.02,0.02,5.00,1
5940.00,6120.00,H10E_onRamp2,1,20.00,98.79,0.02,0.02,5.00,1
6120.00,6300.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
6300.00,6480.00,H10E_onRamp2,1,20.00,98.80,0.02,0.02,5.00,1
6480.00,6660.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
6660.00,6840.00,H10E_onRamp2,1,20.00,98.81,0.02,0.02,5.00,1
6840.00,7020.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
7020.00,7200.00,H10E_onRamp2,1,20.00,98.97,0.02,0.02,5.00,1
7200.00,7380.00,H10E_onRamp2,1,20.00,98.79,0.02,0.02,5.00,1
7380.00,7560.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
7560.00,7740.00,H10E_onRamp2,1,20.00,98.89,0.02,0.02,5.00,1
7740.00,7920.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
7920.00,8100.00,H10E_onRamp2,1,20.00,98.86,0.02,0.02,5.00,1
8100.00,8280.00,H10E_onRamp2,1,20.00,98.75,0.02,0.02,5.00,1
8280.00,8460.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
8460.00,8640.00,H10E_onRamp2,1,20.00,98.94,0.02,0.02,5.00,1
8640.00,8820.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
8820.00,9000.00,H10E_onRamp2,1,20.00,98.88,0.02,0.02,5.00,1
9000.00,9180.00,H10E_onRamp2,1,20.00,98.95,0.02,0.02,5.00,1
9180.00,9360.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
9360.00,9540.00,H10E_onRamp2,1,20.00,98.95,0.02,0.02,5.00,1
9540.00,9720.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
9720.00,9900.00,H10E_onRamp2,1,20.00,98.83,0.02,0.02,5.00,1
9900.00,10080.00,H10E_onRamp2,1,20.00,98.97,0.02,0.02,5.00,1
10080.00,10260.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
10260.00,10440.00,H10E_onRamp2,1,20.00,98.89,0.02,0.02,5.00,1
10440.00,10620.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
10620.00,10800.00,H10E_onRamp2,1,20.00,98.92,0.02,0.02,5.00,1
10800.00,10980.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
10980.00,11160.00,H10E_onRamp2,1,20.00,98.90,0.02,0.02,5.00,1
11160.00,11340.00,H10E_onRamp2,1,20.00,98.90,0.02,0.02,5.00,1
11340.00,11520.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
11520.00,11700.00,H10E_onRamp2,1,20.00,98.82,0.02,0.02,5.00,1
11700.00,11880.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
11880.00,12060.00,H10E_onRamp2,1,20.00,98.96,0.02,0.02,5.00,1
12060.00,12240.00,H10E_onRamp2,1,20.00,98.92,0.02,0.02,5.00,1
12240.00,12420.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
12420.00,12600.00,H10E_onRamp2,1,20.00,98.93,0.02,0.02,5.00,1
12600.00,12780.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
12780.00,12960.00,H10E_onRamp2,1,20.00,98.75,0.02,0.02,5.00,1
12960.00,13140.00,H10E_onRamp2,1,20.00,98.89,0.02,0.02,5.00,1
13140.00,13320.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
13320.00,13500.00,H10E_onRamp2,1,20.00,98.91,0.02,0.02,5.00,1
13500.00,13680.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
13680.00,13860.00,H10E_onRamp2,1,20.00,98.92,0.02,0.02,5.00,1
13860.00,14040.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
14040.00,14220.00,H10E_onRamp2,1,20.00,98.92,0.02,0.02,5.00,1
14220.00,14400.00,H10E_onRamp2,1,20.00,98.79,0.02,0.02,5.00,1
14400.00,14580.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
14580.00,14760.00,H10E_onRamp2,1,20.00,98.89,0.02,0.02,5.00,1
14760.00,14940.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
14940.00,15120.00,H10E_onRamp2,1,20.00,98.84,0.02,0.02,5.00,1
15120.00,15300.00,H10E_onRamp2,1,20.00,98.99,0.02,0.02,5.00,1
15300.00,15480.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
15480.00,15660.00,H10E_onRamp2,1,20.00,98.88,0.02,0.02,5.00,1
15660.00,15840.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
15840.00,16020.00,H10E_onRamp2,1,20.00,98.89,0.02,0.02,5.00,1
16020.00,16200.00,H10E_onRamp2,1,20.00,98.85,0.02,0.02,5.00,1
16200.00,16380.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
16380.00,16560.00,H10E_onRamp2,1,20.00,98.83,0.02,0.02,5.00,1
16560.00,16740.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
16740.00,16920.00,H10E_onRamp2,1,20.00,98.84,0.02,0.02,5.00,1
16920.00,17100.00,H10E_onRamp2,1,20.00,98.79,0.02,0.02,5.00,1
17100.00,17280.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
17280.00,17460.00,H10E_onRamp2,1,20.00,98.88,0.02,0.02,5.00,1
17460.00,17640.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
17640.00,17820.00,H10E_onRamp2,1,20.00,98.96,0.02,0.02,5.00,1
17820.00,18000.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
18000.00,18180.00,H10E_onRamp2,1,20.00,98.91,0.02,0.02,5.00,1
18180.00,18360.00,H10E_onRamp2,1,20.00,99.04,0.02,0.02,5.00,1
18360.00,18540.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
18540.00,18720.00,H10E_onRamp2,1,20.00,98.84,0.02,0.02,5.00,1
18720.00,18900.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
18900.00,19080.00,H10E_onRamp2,1,20.00,98.74,0.02,0.02,5.00,1
19080.00,19260.00,H10E_onRamp2,1,20.00,98.84,0.02,0.02,5.00,1
19260.00,19440.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
19440.00,19620.00,H10E_onRamp2,1,20.00,98.89,0.02,0.02,5.00,1
19620.00,19800.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
19800.00,19980.00,H10E_onRamp2,1,20.00,98.92,0.02,0.02,5.00,1
19980.00,20160.00,H10E_onRamp2,1,20.00,98.98,0.02,0.02,5.00,1
20160.00,20340.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
20340.00,20520.00,H10E_onRamp2,1,20.00,98.94,0.02,0.02,5.00,1
20520.00,20700.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
20700.00,20880.00,H10E_onRamp2,1,20.00,98.73,0.02,0.02,5.00,1
20880.00,21060.00,H10E_onRamp2,1,20.00,99.33,0.02,0.02,5.00,0
21060.00,21240.00,H10E_onRamp2,0,0.00,99.37,-1.00,-1.00,-1.00,1
21240.00,21420.00,H10E_onRamp2,1,20.00,98.88,0.02,0.02,5.00,1
21420.00,21600.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
21600.00,21780.00,H10E_onRamp2,1,20.00,98.98,0.02,0.02,5.00,1
21780.00,21960.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
21960.00,22140.00,H10E_onRamp2,1,20.00,98.86,0.02,0.02,5.00,1
22140.00,22320.00,H10E_onRamp2,1,20.00,98.73,0.02,0.02,5.00,1
22320.00,22500.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
22500.00,22680.00,H10E_onRamp2,1,20.00,98.80,0.02,0.02,5.00,1
22680.00,22860.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
22860.00,23040.00,H10E_onRamp2,1,20.00,98.92,0.02,0.02,5.00,1
23040.00,23220.00,H10E_onRamp2,1,20.00,98.86,0.02,0.02,5.00,1
23220.00,23400.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
23400.00,23580.00,H10E_onRamp2,1,20.00,98.75,0.02,0.02,5.00,1
23580.00,23760.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
23760.00,23940.00,H10E_onRamp2,1,20.00,98.95,0.02,0.02,5.00,1
23940.00,24120.00,H10E_onRamp2,1,20.00,98.87,0.02,0.02,5.00,1
24120.00,24300.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
24300.00,24480.00,H10E_onRamp2,1,20.00,98.88,0.02,0.02,5.00,1
24480.00,24660.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
24660.00,24840.00,H10E_onRamp2,1,20.00,98.92,0.02,0.02,5.00,1
24840.00,25020.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
25020.00,25200.00,H10E_onRamp2,1,20.00,98.80,0.02,0.02,5.00,1
25200.00,25380.00,H10E_onRamp2,1,20.00,98.86,0.02,0.02,5.00,1
25380.00,25560.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
25560.00,25740.00,H10E_onRamp2,1,20.00,98.88,0.02,0.02,5.00,1
25740.00,25920.00,H10E_onRamp2,0,0.00,100.00,-1.00,-1.00,-1.00,0
