begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H10E_out_0,17,340.00,1.49,31.89,31.72,5.00,17
180.00,360.00,H10E_out_0,26,520.00,2.36,30.72,30.58,5.00,26
360.00,540.00,H10E_out_0,29,580.00,2.87,28.38,28.09,5.00,29
540.00,720.00,H10E_out_0,30,600.00,2.97,28.27,28.06,5.00,30
720.00,900.00,H10E_out_0,29,580.00,2.80,28.88,28.73,5.00,29
900.00,1080.00,H10E_out_0,30,600.00,2.87,29.16,29.00,5.00,30
1080.00,1260.00,H10E_out_0,29,580.00,2.75,29.38,29.24,5.00,29
1260.00,1440.00,H10E_out_0,37,740.00,3.63,28.49,28.32,5.00,37
1440.00,1620.00,H10E_out_0,23,460.00,2.24,28.81,28.58,5.00,23
1620.00,1800.00,H10E_out_0,28,560.00,2.74,28.60,28.41,5.00,28
1800.00,1980.00,H10E_out_0,26,520.00,2.53,28.78,28.56,5.00,26
1980.00,2160.00,H10E_out_0,29,580.00,2.83,28.90,28.70,5.00,30
2160.00,2340.00,H10E_out_0,33,660.00,3.18,29.01,28.84,5.00,33
2340.00,2520.00,H10E_out_0,28,560.00,2.68,29.32,29.04,5.00,28
2520.00,2700.00,H10E_out_0,30,600.00,2.99,28.27,27.83,5.00,30
2700.00,2880.00,H10E_out_0,26,520.00,2.45,29.67,29.51,5.00,26
2880.00,3060.00,H10E_out_0,29,580.00,2.73,29.64,29.47,5.00,29
3060.00,3240.00,H10E_out_0,30,600.00,2.95,28.37,28.20,5.00,30
3240.00,3420.00,H10E_out_0,28,560.00,2.68,29.40,29.06,5.00,28
3420.00,3600.00,H10E_out_0,26,520.00,2.54,29.34,29.20,5.00,27
3600.00,3780.00,H10E_out_0,30,600.00,2.90,28.96,28.72,5.00,30
3780.00,3960.00,H10E_out_0,30,600.00,2.82,29.63,29.53,5.00,30
3960.00,4140.00,H10E_out_0,32,640.00,3.01,29.68,29.55,5.00,32
4140.00,4320.00,H10E_out_0,33,660.00,3.17,29.07,28.87,5.00,33
4320.00,4500.00,H10E_out_0,26,520.00,2.53,29.62,29.45,5.00,27
