begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H10W_in_2,57,1140.00,6.10,29.17,26.71,5.00,60
180.00,360.00,H10W_in_2,60,1200.00,6.31,28.94,26.68,5.00,61
360.00,540.00,H10W_in_2,50,1000.00,23.30,16.97,5.96,5.00,50
540.00,720.00,H10W_in_2,56,1120.00,27.10,9.68,6.80,5.00,59
720.00,900.00,H10W_in_2,61,1220.00,16.53,11.84,10.25,5.00,61
900.00,1080.00,H10W_in_2,56,1120.00,35.57,10.87,4.37,5.00,56
1080.00,1260.00,H10W_in_2,55,1100.00,20.10,9.59,7.75,5.00,57
1260.00,1440.00,H10W_in_2,52,1040.00,18.30,11.33,8.39,5.00,55
1440.00,1620.00,H10W_in_2,43,860.00,12.55,11.99,9.52,5.00,43
1620.00,1800.00,H10W_in_2,58,1160.00,21.05,10.76,7.70,5.00,59
1800.00,1980.00,H10W_in_2,49,980.00,38.14,10.55,3.63,5.00,51
1980.00,2160.00,H10W_in_2,45,900.00,28.94,10.75,5.18,5.00,49
2160.00,2340.00,H10W_in_2,41,820.00,33.10,9.75,3.65,5.00,43
2340.00,2520.00,H10W_in_2,71,1420.00,21.22,11.31,9.43,5.00,72
2520.00,2700.00,H10W_in_2,60,1200.00,29.55,11.24,8.59,5.00,65
2700.00,2880.00,H10W_in_2,64,1280.00,20.69,10.58,8.80,5.00,66
2880.00,3060.00,H10W_in_2,70,1400.00,21.90,10.96,8.94,5.00,72
3060.00,3240.00,H10W_in_2,64,1280.00,14.85,12.77,12.18,5.00,65
3240.00,3420.00,H10W_in_2,53,1060.00,26.09,8.85,6.01,5.00,56
3420.00,3600.00,H10W_in_2,46,920.00,17.60,10.86,8.82,5.00,55
3600.00,3780.00,H10W_in_2,57,1140.00,29.68,9.38,6.18,5.00,58
3780.00,3960.00,H10W_in_2,47,940.00,27.52,8.34,5.18,5.00,48
3960.00,4140.00,H10W_in_2,52,1040.00,26.54,11.03,7.11,5.00,56
4140.00,4320.00,H10W_in_2,56,1120.00,31.88,8.39,6.53,5.00,60
4320.00,4500.00,H10W_in_2,61,1220.00,19.36,11.74,9.04,5.00,64
4500.00,4680.00,H10W_in_2,64,1280.00,19.22,11.56,9.63,5.00,67
4680.00,4860.00,H10W_in_2,62,1240.00,24.95,11.47,9.93,5.00,66
4860.00,5040.00,H10W_in_2,53,1060.00,21.55,11.58,6.14,5.00,52
5040.00,5220.00,H10W_in_2,61,1220.00,15.14,12.61,11.36,5.00,63
5220.00,5400.00,H10W_in_2,52,1040.00,16.34,11.87,9.11,5.00,55
5400.00,5580.00,H10W_in_2,50,1000.00,16.88,11.42,8.45,5.00,53
5580.00,5760.00,H10W_in_2,24,480.00,54.67,6.89,1.40,5.00,30
5760.00,5940.00,H10W_in_2,53,1060.00,13.07,12.47,11.61,5.00,55
5940.00,6120.00,H10W_in_2,72,1440.00,20.72,11.43,9.93,5.00,75
6120.00,6300.00,H10W_in_2,62,1240.00,20.77,10.84,8.62,5.00,65
6300.00,6480.00,H10W_in_2,66,1320.00,16.30,12.26,11.31,5.00,67
6480.00,6660.00,H10W_in_2,66,1320.00,21.05,10.56,8.71,5.00,66
6660.00,6840.00,H10W_in_2,59,1180.00,21.57,10.85,7.84,5.00,61
6840.00,7020.00,H10W_in_2,60,1200.00,20.32,10.19,8.10,5.00,63
7020.00,7200.00,H10W_in_2,68,1360.00,19.89,11.35,9.56,5.00,69
7200.00,7380.00,H10W_in_2,67,1340.00,19.04,11.46,10.06,5.00,67
7380.00,7560.00,H10W_in_2,64,1280.00,21.79,10.45,8.18,5.00,65
7560.00,7740.00,H10W_in_2,52,1040.00,21.74,11.16,6.68,5.00,54
7740.00,7920.00,H10W_in_2,66,1320.00,17.07,12.09,11.07,5.00,69
7920.00,8100.00,H10W_in_2,67,1340.00,21.82,10.41,8.78,5.00,70
8100.00,8280.00,H10W_in_2,60,1200.00,20.27,10.58,8.44,5.00,61
8280.00,8460.00,H10W_in_2,57,1140.00,26.32,11.13,6.28,5.00,58
8460.00,8640.00,H10W_in_2,61,1220.00,17.45,12.11,10.74,5.00,61
8640.00,8820.00,H10W_in_2,61,1220.00,16.44,11.78,10.43,5.00,63
8820.00,9000.00,H10W_in_2,63,1260.00,15.91,12.62,11.36,5.00,65
9000.00,9180.00,H10W_in_2,58,1160.00,28.07,11.17,6.99,5.00,61
9180.00,9360.00,H10W_in_2,56,1120.00,27.67,9.10,6.16,5.00,58
9360.00,9540.00,H10W_in_2,53,1060.00,22.53,10.20,8.13,5.00,59
9540.00,9720.00,H10W_in_2,49,980.00,28.33,9.96,5.09,5.00,55
9720.00,9900.00,H10W_in_2,54,1080.00,32.79,10.01,4.77,5.00,60
9900.00,10080.00,H10W_in_2,58,1160.00,22.05,9.69,7.63,5.00,61
10080.00,10260.00,H10W_in_2,44,880.00,36.70,10.35,3.83,5.00,46
10260.00,10440.00,H10W_in_2,57,1140.00,17.26,11.22,9.56,5.00,60
10440.00,10620.00,H10W_in_2,55,1100.00,17.79,10.77,8.58,5.00,55
10620.00,10800.00,H10W_in_2,62,1240.00,23.11,10.44,7.45,5.00,62
10800.00,10980.00,H10W_in_2,59,1180.00,28.06,10.77,6.07,5.00,61
10980.00,11160.00,H10W_in_2,64,1280.00,20.64,10.24,8.58,5.00,63
11160.00,11340.00,H10W_in_2,55,1100.00,17.61,11.36,9.41,5.00,59
11340.00,11520.00,H10W_in_2,57,1140.00,28.29,9.45,5.81,5.00,59
11520.00,11700.00,H10W_in_2,39,780.00,30.78,7.69,3.82,5.00,40
11700.00,11880.00,H10W_in_2,47,940.00,12.41,13.30,11.16,5.00,50
11880.00,12060.00,H10W_in_2,42,840.00,24.66,9.55,4.90,5.00,46
12060.00,12240.00,H10W_in_2,30,600.00,46.20,10.97,1.81,5.00,31
12240.00,12420.00,H10W_in_2,47,940.00,13.22,13.04,10.72,5.00,48
12420.00,12600.00,H10W_in_2,26,520.00,36.15,16.62,6.48,5.00,28
12600.00,12780.00,H10W_in_2,37,740.00,8.42,13.92,12.72,5.00,40
12780.00,12960.00,H10W_in_2,69,1380.00,15.34,13.74,12.59,5.00,70
12960.00,13140.00,H10W_in_2,54,1080.00,14.19,12.44,10.70,5.00,55
