begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H10W_offRamp2,1,20.00,0.10,27.18,27.18,5.00,1
180.00,360.00,H10W_offRamp2,15,300.00,1.53,27.47,27.24,5.00,15
360.00,540.00,H10W_offRamp2,17,340.00,1.69,28.26,27.96,5.00,17
540.00,720.00,H10W_offRamp2,14,280.00,1.47,26.55,26.38,5.00,14
720.00,900.00,H10W_offRamp2,14,280.00,1.33,29.37,29.19,5.00,14
900.00,1080.00,H10W_offRamp2,14,280.00,1.43,27.62,27.26,5.00,14
1080.00,1260.00,H10W_offRamp2,16,320.00,1.57,28.56,28.35,5.00,16
1260.00,1440.00,H10W_offRamp2,12,240.00,1.21,27.87,27.65,5.00,12
1440.00,1620.00,H10W_offRamp2,18,360.00,1.77,28.42,28.19,5.00,18
1620.00,1800.00,H10W_offRamp2,19,380.00,1.94,27.53,27.27,5.00,19
1800.00,1980.00,H10W_offRamp2,13,260.00,1.24,29.35,29.17,5.00,13
1980.00,2160.00,H10W_offRamp2,14,280.00,1.48,26.53,26.22,5.00,14
2160.00,2340.00,H10W_offRamp2,15,300.00,1.49,28.17,27.92,5.00,15
2340.00,2520.00,H10W_offRamp2,17,340.00,1.75,27.41,26.94,5.00,17
2520.00,2700.00,H10W_offRamp2,15,300.00,1.55,27.01,26.82,5.00,15
2700.00,2880.00,H10W_offRamp2,12,240.00,1.26,27.00,26.47,5.00,12
2880.00,3060.00,H10W_offRamp2,15,300.00,1.52,27.77,27.44,5.00,15
3060.00,3240.00,H10W_offRamp2,13,260.00,1.36,26.86,26.63,5.00,13
3240.00,3420.00,H10W_offRamp2,16,320.00,1.60,28.06,27.83,5.00,17
3420.00,3600.00,H10W_offRamp2,17,340.00,1.71,27.53,27.43,5.00,16
3600.00,3780.00,H10W_offRamp2,11,220.00,1.01,30.43,30.18,5.00,11
3780.00,3960.00,H10W_offRamp2,12,240.00,1.24,27.16,26.93,5.00,12
3960.00,4140.00,H10W_offRamp2,20,400.00,2.00,28.02,27.74,5.00,20
4140.00,4320.00,H10W_offRamp2,18,360.00,1.82,27.66,27.45,5.00,18
4320.00,4500.00,H10W_offRamp2,18,360.00,1.85,27.40,27.07,5.00,18
4500.00,4680.00,H10W_offRamp2,21,420.00,2.17,27.50,26.92,5.00,21
4680.00,4860.00,H10W_offRamp2,11,220.00,1.15,26.71,26.55,5.00,11
4860.00,5040.00,H10W_offRamp2,7,140.00,0.73,26.88,26.70,5.00,7
5040.00,5220.00,H10W_offRamp2,8,160.00,0.89,25.27,25.03,5.00,8
5220.00,5400.00,H10W_offRamp2,13,260.00,1.45,25.42,24.88,5.00,13
5400.00,5580.00,H10W_offRamp2,11,220.00,1.20,25.91,25.57,5.00,11
5580.00,5760.00,H10W_offRamp2,12,240.00,1.31,25.64,25.37,5.00,12
5760.00,5940.00,H10W_offRamp2,14,280.00,1.46,26.82,26.57,5.00,14
5940.00,6120.00,H10W_offRamp2,11,220.00,1.12,27.33,27.25,5.00,11
6120.00,6300.00,H10W_offRamp2,13,260.00,1.38,26.53,26.22,5.00,13
6300.00,6480.00,H10W_offRamp2,8,160.00,0.96,23.48,23.07,5.00,8
6480.00,6660.00,H10W_offRamp2,14,280.00,1.45,27.07,26.91,5.00,14
6660.00,6840.00,H10W_offRamp2,15,300.00,1.62,25.99,25.67,5.00,15
6840.00,7020.00,H10W_offRamp2,15,300.00,1.61,26.23,25.92,5.00,15
7020.00,7200.00,H10W_offRamp2,17,340.00,1.87,25.63,25.26,5.00,17
7200.00,7380.00,H10W_offRamp2,9,180.00,1.03,24.56,24.19,5.00,9
7380.00,7560.00,H10W_offRamp2,9,180.00,1.16,22.22,21.64,5.00,9
7560.00,7740.00,H10W_offRamp2,9,180.00,1.11,23.17,22.62,5.00,9
7740.00,7920.00,H10W_offRamp2,11,220.00,1.17,26.18,26.03,5.00,11
7920.00,8100.00,H10W_offRamp2,4,80.00,0.47,24.24,23.51,5.00,4
8100.00,8280.00,H10W_offRamp2,9,180.00,0.93,27.14,26.78,5.00,9
8280.00,8460.00,H10W_offRamp2,11,220.00,1.17,26.33,26.06,5.00,11
8460.00,8640.00,H10W_offRamp2,14,280.00,1.51,26.39,25.83,5.00,14
8640.00,8820.00,H10W_offRamp2,8,160.00,1.10,20.78,20.25,5.00,8
8820.00,9000.00,H10W_offRamp2,12,240.00,1.56,22.96,21.38,5.00,12
9000.00,9180.00,H10W_offRamp2,8,160.00,0.83,27.01,26.80,5.00,8
9180.00,9360.00,H10W_offRamp2,14,280.00,1.46,27.11,26.73,5.00,14
9360.00,9540.00,H10W_offRamp2,13,260.00,1.22,29.71,29.48,5.00,13
9540.00,9720.00,H10W_offRamp2,13,260.00,1.27,28.72,28.54,5.00,13
9720.00,9900.00,H10W_offRamp2,15,300.00,1.55,27.30,26.97,5.00,15
9900.00,10080.00,H10W_offRamp2,15,300.00,1.56,27.07,26.63,5.00,15
10080.00,10260.00,H10W_offRamp2,11,220.00,1.02,30.02,29.86,5.00,11
10260.00,10440.00,H10W_offRamp2,12,240.00,1.22,27.62,27.27,5.00,12
10440.00,10620.00,H10W_offRamp2,16,320.00,1.64,27.33,27.08,5.00,16
10620.00,10800.00,H10W_offRamp2,11,220.00,1.11,27.66,27.45,5.00,11
10800.00,10980.00,H10W_offRamp2,10,200.00,1.09,25.77,25.45,5.00,10
10980.00,11160.00,H10W_offRamp2,10,200.00,1.04,27.08,26.68,5.00,10
11160.00,11340.00,H10W_offRamp2,17,340.00,1.71,27.77,27.60,5.00,17
11340.00,11520.00,H10W_offRamp2,12,240.00,1.21,27.92,27.48,5.00,12
11520.00,11700.00,H10W_offRamp2,13,260.00,1.45,25.16,24.86,5.00,13
11700.00,11880.00,H10W_offRamp2,9,180.00,0.90,27.95,27.89,5.00,9
11880.00,12060.00,H10W_offRamp2,14,280.00,1.49,26.57,26.04,5.00,14
12060.00,12240.00,H10W_offRamp2,14,280.00,1.47,26.69,26.42,5.00,14
12240.00,12420.00,H10W_offRamp2,16,320.00,1.68,26.92,26.44,5.00,16
12420.00,12600.00,H10W_offRamp2,15,300.00,1.52,27.56,27.44,5.00,15
12600.00,12780.00,H10W_offRamp2,15,300.00,1.50,27.93,27.81,5.00,15
12780.00,12960.00,H10W_offRamp2,9,180.00,1.01,25.15,24.75,5.00,9
12960.00,13140.00,H10W_offRamp2,10,200.00,1.38,21.13,20.10,5.00,10
13140.00,13320.00,H10W_offRamp2,14,280.00,2.11,18.59,18.45,5.00,14
13320.00,13500.00,H10W_offRamp2,14,280.00,2.19,18.15,17.74,5.00,14
13500.00,13680.00,H10W_offRamp2,8,160.00,1.13,20.00,19.60,5.00,8
13680.00,13860.00,H10W_offRamp2,16,320.00,1.78,25.44,24.91,5.00,16
13860.00,14040.00,H10W_offRamp2,12,240.00,1.26,26.77,26.54,5.00,12
14040.00,14220.00,H10W_offRamp2,10,200.00,1.02,27.63,27.14,5.00,10
14220.00,14400.00,H10W_offRamp2,11,220.00,1.27,24.61,24.09,5.00,11
14400.00,14580.00,H10W_offRamp2,11,220.00,1.26,24.74,24.29,5.00,11
14580.00,14760.00,H10W_offRamp2,8,160.00,0.86,26.28,25.70,5.00,8
14760.00,14940.00,H10W_offRamp2,14,280.00,1.57,25.13,24.83,5.00,14
14940.00,15120.00,H10W_offRamp2,9,180.00,1.09,23.85,22.95,5.00,9
15120.00,15300.00,H10W_offRamp2,10,200.00,1.01,27.73,27.64,5.00,10
15300.00,15480.00,H10W_offRamp2,9,180.00,0.97,26.29,25.86,5.00,9
15480.00,15660.00,H10W_offRamp2,6,120.00,0.65,25.77,25.56,5.00,6
15660.00,15840.00,H10W_offRamp2,12,240.00,1.31,25.67,25.43,5.00,12
15840.00,16020.00,H10W_offRamp2,15,300.00,1.61,26.18,25.82,5.00,15
16020.00,16200.00,H10W_offRamp2,16,320.00,1.66,26.87,26.69,5.00,16
16200.00,16380.00,H10W_offRamp2,15,300.00,1.56,26.90,26.76,5.00,15
16380.00,16560.00,H10W_offRamp2,10,200.00,1.05,26.75,26.50,5.00,10
16560.00,16740.00,H10W_offRamp2,13,260.00,1.39,26.32,25.99,5.00,13
16740.00,16920.00,H10W_offRamp2,9,180.00,0.91,27.91,27.46,5.00,9
16920.00,17100.00,H10W_offRamp2,7,140.00,0.69,28.32,28.15,5.00,7
17100.00,17280.00,H10W_offRamp2,6,120.00,0.62,26.99,26.75,5.00,6
17280.00,17460.00,H10W_offRamp2,14,280.00,1.53,25.96,25.45,5.00,14
17460.00,17640.00,H10W_offRamp2,9,180.00,0.93,27.29,26.90,5.00,9
17640.00,17820.00,H10W_offRamp2,8,160.00,0.76,29.56,29.28,5.00,8
17820.00,18000.00,H10W_offRamp2,14,280.00,1.44,27.11,27.01,5.00,14
18000.00,18180.00,H10W_offRamp2,8,160.00,0.88,25.56,25.26,5.00,8
18180.00,18360.00,H10W_offRamp2,6,120.00,0.79,21.43,20.97,5.00,6
18360.00,18540.00,H10W_offRamp2,14,280.00,1.41,27.73,27.55,5.00,14
18540.00,18720.00,H10W_offRamp2,11,220.00,1.13,27.19,26.93,5.00,11
18720.00,18900.00,H10W_offRamp2,16,320.00,1.68,26.82,26.53,5.00,16
18900.00,19080.00,H10W_offRamp2,12,240.00,1.24,27.45,26.80,5.00,12
19080.00,19260.00,H10W_offRamp2,10,200.00,1.00,28.04,27.76,5.00,10
19260.00,19440.00,H10W_offRamp2,6,120.00,0.59,28.72,28.46,5.00,6
19440.00,19620.00,H10W_offRamp2,20,400.00,2.00,27.88,27.75,5.00,20
19620.00,19800.00,H10W_offRamp2,12,240.00,1.20,28.05,27.84,5.00,12
19800.00,19980.00,H10W_offRamp2,12,240.00,1.20,28.03,27.77,5.00,12
19980.00,20160.00,H10W_offRamp2,10,200.00,0.97,28.59,28.50,5.00,10
20160.00,20340.00,H10W_offRamp2,12,240.00,1.19,28.38,28.11,5.00,12
20340.00,20520.00,H10W_offRamp2,7,140.00,0.75,25.98,25.91,5.00,7
20520.00,20700.00,H10W_offRamp2,11,220.00,1.16,26.73,26.43,5.00,11
20700.00,20880.00,H10W_offRamp2,18,360.00,1.88,27.03,26.66,5.00,18
20880.00,21060.00,H10W_offRamp2,13,260.00,1.44,25.85,25.03,5.00,13
21060.00,21240.00,H10W_offRamp2,10,200.00,1.05,26.53,26.37,5.00,10
21240.00,21420.00,H10W_offRamp2,15,300.00,1.61,26.27,25.85,5.00,15
21420.00,21600.00,H10W_offRamp2,5,100.00,0.48,28.99,28.91,5.00,5
21600.00,21780.00,H10W_offRamp2,7,140.00,0.77,25.60,25.12,5.00,7
21780.00,21960.00,H10W_offRamp2,7,140.00,0.75,26.28,25.77,5.00,7
21960.00,22140.00,H10W_offRamp2,10,200.00,1.05,26.70,26.50,5.00,10
22140.00,22320.00,H10W_offRamp2,7,140.00,0.77,25.47,25.33,5.00,7
22320.00,22500.00,H10W_offRamp2,10,200.00,1.06,26.60,26.30,5.00,10
22500.00,22680.00,H10W_offRamp2,11,220.00,1.22,25.49,24.97,5.00,11
