begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H10W_onRamp1,1,20.00,1.67,1.66,1.66,5.00,1
180.00,360.00,H10W_onRamp1,1,20.00,1.52,1.83,1.83,5.00,1
360.00,540.00,H10W_onRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
540.00,720.00,H10W_onRamp1,1,20.00,1.57,1.76,1.76,5.00,1
720.00,900.00,H10W_onRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
900.00,1080.00,H10W_onRamp1,1,20.00,1.60,1.74,1.74,5.00,1
1080.00,1260.00,H10W_onRamp1,1,20.00,1.46,1.90,1.90,5.00,1
1260.00,1440.00,H10W_onRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
1440.00,1620.00,H10W_onRamp1,1,20.00,1.67,1.66,1.66,5.00,1
1620.00,1800.00,H10W_onRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
1800.00,1980.00,H10W_onRamp1,1,20.00,1.17,2.38,2.38,5.00,1
1980.00,2160.00,H10W_onRamp1,1,20.00,1.67,1.66,1.66,5.00,1
2160.00,2340.00,H10W_onRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
2340.00,2520.00,H10W_onRamp1,1,20.00,1.84,1.51,1.51,5.00,1
2520.00,2700.00,H10W_onRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
2700.00,2880.00,H10W_onRamp1,1,20.00,1.51,1.84,1.84,5.00,1
2880.00,3060.00,H10W_onRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
3060.00,3240.00,H10W_onRamp1,1,20.00,1.33,2.08,2.08,5.00,1
3240.00,3420.00,H10W_onRamp1,1,20.00,1.51,1.84,1.84,5.00,1
3420.00,3600.00,H10W_onRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
3600.00,3780.00,H10W_onRamp1,1,20.00,1.53,1.82,1.82,5.00,1
3780.00,3960.00,H10W_onRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
3960.00,4140.00,H10W_onRamp1,1,20.00,1.34,2.07,2.07,5.00,1
4140.00,4320.00,H10W_onRamp1,1,20.00,1.75,1.59,1.59,5.00,1
4320.00,4500.00,H10W_onRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
4500.00,4680.00,H10W_onRamp1,1,20.00,2.44,1.14,1.14,5.00,1
