begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H15N_in_2,38,760.00,3.87,31.18,27.27,5.00,39
180.00,360.00,H15N_in_2,42,840.00,3.57,33.13,32.72,5.00,42
360.00,540.00,H15N_in_2,49,980.00,4.43,31.13,30.71,5.00,49
540.00,720.00,H15N_in_2,38,760.00,3.37,31.83,31.37,5.00,38
720.00,900.00,H15N_in_2,43,860.00,3.74,32.27,31.93,5.00,43
900.00,1080.00,H15N_in_2,42,840.00,3.68,32.04,31.74,5.00,42
1080.00,1260.00,H15N_in_2,37,740.00,3.19,32.66,32.33,5.00,38
1260.00,1440.00,H15N_in_2,40,800.00,3.55,31.92,31.48,5.00,41
1440.00,1620.00,H15N_in_2,44,880.00,3.92,31.70,31.16,5.00,44
1620.00,1800.00,H15N_in_2,39,780.00,3.52,31.12,30.79,5.00,39
1800.00,1980.00,H15N_in_2,43,860.00,3.76,32.07,31.73,5.00,43
1980.00,2160.00,H15N_in_2,42,840.00,3.86,30.65,30.20,5.00,42
2160.00,2340.00,H15N_in_2,41,820.00,4.15,31.06,27.47,5.00,41
2340.00,2520.00,H15N_in_2,42,840.00,4.24,31.37,27.55,5.00,42
2520.00,2700.00,H15N_in_2,43,860.00,3.86,31.37,30.97,5.00,43
2700.00,2880.00,H15N_in_2,40,800.00,4.03,31.70,27.68,5.00,41
2880.00,3060.00,H15N_in_2,45,900.00,4.03,31.33,30.98,5.00,45
3060.00,3240.00,H15N_in_2,34,680.00,3.56,30.66,26.55,5.00,34
3240.00,3420.00,H15N_in_2,43,860.00,4.41,30.54,27.07,5.00,43
3420.00,3600.00,H15N_in_2,37,740.00,3.33,31.30,30.95,5.00,38
3600.00,3780.00,H15N_in_2,38,760.00,3.42,31.14,30.85,5.00,38
3780.00,3960.00,H15N_in_2,44,880.00,4.38,31.30,27.94,5.00,46
3960.00,4140.00,H15N_in_2,43,860.00,4.42,30.57,27.02,5.00,43
4140.00,4320.00,H15N_in_2,44,880.00,3.99,30.84,30.60,5.00,44
4320.00,4500.00,H15N_in_2,46,920.00,4.11,31.45,31.06,5.00,46
4500.00,4680.00,H15N_in_2,43,860.00,3.88,31.28,30.76,5.00,43
4680.00,4860.00,H15N_in_2,44,880.00,3.92,31.66,31.17,5.00,44
4860.00,5040.00,H15N_in_2,42,840.00,3.68,32.11,31.78,5.00,43
5040.00,5220.00,H15N_in_2,44,880.00,3.87,31.91,31.61,5.00,44
5220.00,5400.00,H15N_in_2,42,840.00,3.73,31.75,31.31,5.00,42
5400.00,5580.00,H15N_in_2,45,900.00,3.86,33.05,32.58,5.00,46
5580.00,5760.00,H15N_in_2,43,860.00,3.91,31.01,30.57,5.00,43
5760.00,5940.00,H15N_in_2,33,660.00,3.58,29.61,25.76,5.00,34
5940.00,6120.00,H15N_in_2,42,840.00,4.22,31.15,27.82,5.00,44
6120.00,6300.00,H15N_in_2,42,840.00,4.80,30.16,24.39,5.00,43
6300.00,6480.00,H15N_in_2,39,780.00,3.57,30.97,30.52,5.00,40
6480.00,6660.00,H15N_in_2,37,740.00,3.21,32.43,31.99,5.00,37
6660.00,6840.00,H15N_in_2,39,780.00,3.97,31.02,27.26,5.00,39
6840.00,7020.00,H15N_in_2,39,780.00,4.54,29.48,23.87,5.00,39
