begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H15S_4_0,10,200.00,0.94,29.72,29.53,5.00,10
180.00,360.00,H15S_4_0,65,1300.00,8.85,22.00,20.55,5.00,66
360.00,540.00,H15S_4_0,65,1300.00,37.08,10.85,6.20,5.00,65
540.00,720.00,H15S_4_0,46,920.00,40.83,5.85,3.47,5.00,47
720.00,900.00,H15S_4_0,36,720.00,55.38,5.11,1.86,5.00,36
900.00,1080.00,H15S_4_0,34,680.00,37.03,3.59,2.44,5.00,34
1080.00,1260.00,H15S_4_0,44,880.00,47.07,4.35,2.59,5.00,43
1260.00,1440.00,H15S_4_0,31,620.00,45.34,3.97,2.05,5.00,32
1440.00,1620.00,H15S_4_0,35,700.00,48.49,3.21,2.06,5.00,35
1620.00,1800.00,H15S_4_0,37,740.00,42.39,4.44,2.19,5.00,36
1800.00,1980.00,H15S_4_0,22,440.00,46.52,2.89,1.31,5.00,22
1980.00,2160.00,H15S_4_0,33,660.00,39.36,3.58,2.33,5.00,33
2160.00,2340.00,H15S_4_0,31,620.00,44.52,3.83,1.93,5.00,31
2340.00,2520.00,H15S_4_0,29,580.00,47.53,3.01,1.72,5.00,30
2520.00,2700.00,H15S_4_0,32,640.00,46.87,2.96,1.87,5.00,31
2700.00,2880.00,H15S_4_0,34,680.00,36.52,4.42,2.59,5.00,34
2880.00,3060.00,H15S_4_0,36,720.00,56.07,4.96,1.79,5.00,37
3060.00,3240.00,H15S_4_0,19,380.00,49.38,2.16,1.06,5.00,18
3240.00,3420.00,H15S_4_0,35,700.00,53.07,3.44,1.83,5.00,35
3420.00,3600.00,H15S_4_0,34,680.00,41.94,4.15,2.28,5.00,35
3600.00,3780.00,H15S_4_0,27,540.00,46.83,4.04,1.58,5.00,26
3780.00,3960.00,H15S_4_0,29,580.00,54.00,2.87,1.51,5.00,30
3960.00,4140.00,H15S_4_0,28,560.00,49.68,3.64,1.99,5.00,28
4140.00,4320.00,H15S_4_0,28,560.00,43.53,2.95,1.79,5.00,28
4320.00,4500.00,H15S_4_0,36,720.00,32.79,4.37,3.05,5.00,36
4500.00,4680.00,H15S_4_0,70,1400.00,28.44,9.03,6.84,5.00,70
4680.00,4860.00,H15S_4_0,61,1220.00,39.17,10.89,4.34,5.00,62
4860.00,5040.00,H15S_4_0,43,860.00,39.38,11.19,3.03,5.00,43
5040.00,5220.00,H15S_4_0,62,1240.00,37.43,14.86,14.33,5.00,63
5220.00,5400.00,H15S_4_0,60,1200.00,49.82,13.84,3.33,5.00,60
5400.00,5580.00,H15S_4_0,25,500.00,15.22,13.97,1.73,5.00,25
5580.00,5760.00,H15S_4_0,78,1560.00,14.83,14.99,14.61,5.00,78
5760.00,5940.00,H15S_4_0,43,860.00,51.82,10.69,2.31,5.00,43
5940.00,6120.00,H15S_4_0,63,1260.00,16.65,13.28,10.51,5.00,63
6120.00,6300.00,H15S_4_0,62,1240.00,23.80,11.65,10.82,5.00,63
6300.00,6480.00,H15S_4_0,48,960.00,9.47,15.17,14.07,5.00,48
6480.00,6660.00,H15S_4_0,58,1160.00,10.87,15.14,14.82,5.00,58
6660.00,6840.00,H15S_4_0,48,960.00,27.89,15.58,15.01,5.00,49
6840.00,7020.00,H15S_4_0,46,920.00,34.04,12.66,2.41,5.00,45
7020.00,7200.00,H15S_4_0,42,840.00,7.60,15.56,15.35,5.00,42
7200.00,7380.00,H15S_4_0,68,1360.00,12.37,15.57,15.32,5.00,69
7380.00,7560.00,H15S_4_0,53,1060.00,9.65,15.47,15.29,5.00,54
7560.00,7740.00,H15S_4_0,57,1140.00,38.25,14.02,4.15,5.00,57
7740.00,7920.00,H15S_4_0,65,1300.00,14.10,14.19,13.66,5.00,65
7920.00,8100.00,H15S_4_0,59,1180.00,51.14,12.73,3.14,5.00,58
8100.00,8280.00,H15S_4_0,33,660.00,52.97,12.37,2.67,5.00,34
8280.00,8460.00,H15S_4_0,55,1100.00,11.77,15.52,15.12,5.00,55
8460.00,8640.00,H15S_4_0,24,480.00,53.93,13.77,1.24,5.00,24
8640.00,8820.00,H15S_4_0,66,1320.00,14.76,14.83,12.42,5.00,66
8820.00,9000.00,H15S_4_0,66,1320.00,12.32,15.14,15.00,5.00,67
