begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H15S_offRamp2,5,100.00,0.48,28.84,28.77,5.00,5
180.00,360.00,H15S_offRamp2,18,360.00,1.90,26.70,26.37,5.00,18
360.00,540.00,H15S_offRamp2,21,420.00,2.32,25.47,25.11,5.00,21
540.00,720.00,H15S_offRamp2,22,440.00,2.47,25.05,24.76,5.00,22
720.00,900.00,H15S_offRamp2,21,420.00,3.11,19.85,18.77,5.00,21
900.00,1080.00,H15S_offRamp2,16,320.00,2.56,17.60,17.36,5.00,16
1080.00,1260.00,H15S_offRamp2,21,420.00,3.50,16.84,16.66,5.00,21
1260.00,1440.00,H15S_offRamp2,15,300.00,2.65,15.98,15.72,5.00,15
1440.00,1620.00,H15S_offRamp2,16,320.00,2.45,18.24,18.15,5.00,16
1620.00,1800.00,H15S_offRamp2,24,480.00,3.92,17.18,16.99,5.00,24
1800.00,1980.00,H15S_offRamp2,14,280.00,2.31,17.09,16.83,5.00,14
1980.00,2160.00,H15S_offRamp2,21,420.00,3.40,17.31,17.15,5.00,21
2160.00,2340.00,H15S_offRamp2,22,440.00,3.57,17.42,17.14,5.00,22
2340.00,2520.00,H15S_offRamp2,18,360.00,2.98,16.94,16.79,5.00,18
2520.00,2700.00,H15S_offRamp2,19,380.00,3.04,17.64,17.34,5.00,19
2700.00,2880.00,H15S_offRamp2,15,300.00,2.39,17.60,17.42,5.00,15
2880.00,3060.00,H15S_offRamp2,13,260.00,2.14,17.10,16.89,5.00,13
3060.00,3240.00,H15S_offRamp2,16,320.00,2.69,16.75,16.55,5.00,16
3240.00,3420.00,H15S_offRamp2,18,360.00,3.02,16.75,16.58,5.00,18
3420.00,3600.00,H15S_offRamp2,15,300.00,2.47,17.11,16.86,5.00,15
3600.00,3780.00,H15S_offRamp2,22,440.00,3.57,17.44,17.12,5.00,22
3780.00,3960.00,H15S_offRamp2,18,360.00,2.99,16.95,16.71,5.00,18
3960.00,4140.00,H15S_offRamp2,20,400.00,3.17,17.66,17.53,5.00,20
4140.00,4320.00,H15S_offRamp2,17,340.00,2.77,17.30,17.03,5.00,17
4320.00,4500.00,H15S_offRamp2,13,260.00,2.10,17.38,17.21,5.00,13
4500.00,4680.00,H15S_offRamp2,3,60.00,0.59,14.73,14.08,5.00,3
4680.00,4860.00,H15S_offRamp2,7,140.00,1.10,18.10,17.71,5.00,7
4860.00,5040.00,H15S_offRamp2,7,140.00,1.19,16.80,16.40,5.00,7
5040.00,5220.00,H15S_offRamp2,8,160.00,1.46,15.73,15.19,5.00,8
5220.00,5400.00,H15S_offRamp2,37,740.00,6.06,17.23,16.95,5.00,37
5400.00,5580.00,H15S_offRamp2,29,580.00,4.03,20.18,19.97,5.00,29
5580.00,5760.00,H15S_offRamp2,33,660.00,4.87,19.27,18.84,5.00,33
5760.00,5940.00,H15S_offRamp2,24,480.00,3.91,17.83,17.49,5.00,25
5940.00,6120.00,H15S_offRamp2,6,120.00,0.80,18.67,18.57,5.00,5
6120.00,6300.00,H15S_offRamp2,4,80.00,0.67,16.59,16.46,5.00,4
6300.00,6480.00,H15S_offRamp2,4,80.00,0.58,19.11,19.08,5.00,4
6480.00,6660.00,H15S_offRamp2,9,180.00,1.54,16.93,16.26,5.00,9
6660.00,6840.00,H15S_offRamp2,7,140.00,1.27,15.57,15.28,5.00,7
6840.00,7020.00,H15S_offRamp2,5,100.00,0.83,16.87,16.78,5.00,5
7020.00,7200.00,H15S_offRamp2,9,180.00,1.57,15.99,15.88,5.00,9
7200.00,7380.00,H15S_offRamp2,28,560.00,4.62,17.70,16.85,5.00,28
7380.00,7560.00,H15S_offRamp2,33,660.00,4.54,20.79,20.19,5.00,33
7560.00,7740.00,H15S_offRamp2,17,340.00,2.67,18.15,17.69,5.00,17
7740.00,7920.00,H15S_offRamp2,18,360.00,3.17,16.35,15.79,5.00,18
7920.00,8100.00,H15S_offRamp2,15,300.00,2.54,16.93,16.40,5.00,15
8100.00,8280.00,H15S_offRamp2,5,100.00,0.79,17.63,17.55,5.00,5
8280.00,8460.00,H15S_offRamp2,0,0.00,0.00,-1.00,-1.00,-1.00,0
8460.00,8640.00,H15S_offRamp2,19,380.00,3.00,18.01,17.58,5.00,19
8640.00,8820.00,H15S_offRamp2,7,140.00,1.12,17.52,17.41,5.00,7
8820.00,9000.00,H15S_offRamp2,3,60.00,0.52,16.80,16.15,5.00,3
9000.00,9180.00,H15S_offRamp2,11,220.00,1.76,17.75,17.37,5.00,11
9180.00,9360.00,H15S_offRamp2,8,160.00,1.49,15.34,14.91,5.00,8
9360.00,9540.00,H15S_offRamp2,15,300.00,2.32,19.22,18.91,5.00,16
9540.00,9720.00,H15S_offRamp2,20,400.00,3.25,16.86,16.53,5.00,19
9720.00,9900.00,H15S_offRamp2,11,220.00,1.73,18.87,17.70,5.00,11
9900.00,10080.00,H15S_offRamp2,28,560.00,4.66,17.12,16.68,5.00,28
10080.00,10260.00,H15S_offRamp2,23,460.00,3.81,17.03,16.78,5.00,23
10260.00,10440.00,H15S_offRamp2,15,300.00,2.43,17.96,17.16,5.00,15
10440.00,10620.00,H15S_offRamp2,11,220.00,1.89,16.50,16.16,5.00,11
10620.00,10800.00,H15S_offRamp2,19,380.00,3.04,17.65,17.38,5.00,19
10800.00,10980.00,H15S_offRamp2,5,100.00,0.82,17.93,16.96,5.00,5
