begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H20E_1_0,4,80.00,0.41,27.44,27.12,5.00,4
180.00,360.00,H20E_1_0,9,180.00,0.89,28.41,28.00,5.00,9
360.00,540.00,H20E_1_0,14,280.00,1.32,29.81,29.39,5.00,14
540.00,720.00,H20E_1_0,16,320.00,3.99,21.89,11.14,5.00,16
720.00,900.00,H20E_1_0,13,260.00,1.72,27.49,20.94,5.00,13
900.00,1080.00,H20E_1_0,19,380.00,2.88,26.30,18.32,5.00,19
1080.00,1260.00,H20E_1_0,10,200.00,1.47,26.27,18.88,5.00,10
1260.00,1440.00,H20E_1_0,10,200.00,1.44,27.21,19.25,5.00,10
1440.00,1620.00,H20E_1_0,9,180.00,0.84,30.00,29.90,5.00,9
1620.00,1800.00,H20E_1_0,17,340.00,1.67,28.52,28.26,5.00,17
1800.00,1980.00,H20E_1_0,16,320.00,1.55,29.06,28.76,5.00,16
1980.00,2160.00,H20E_1_0,19,380.00,1.78,29.82,29.62,5.00,19
2160.00,2340.00,H20E_1_0,14,280.00,1.80,28.37,21.62,5.00,14
2340.00,2520.00,H20E_1_0,11,220.00,1.64,26.14,18.59,5.00,11
2520.00,2700.00,H20E_1_0,16,320.00,2.55,26.74,17.46,5.00,16
2700.00,2880.00,H20E_1_0,11,220.00,1.07,28.96,28.61,5.00,11
2880.00,3060.00,H20E_1_0,12,240.00,1.12,30.04,29.74,5.00,12
3060.00,3240.00,H20E_1_0,13,260.00,1.29,28.20,28.03,5.00,13
3240.00,3420.00,H20E_1_0,13,260.00,1.34,27.28,26.93,5.00,13
3420.00,3600.00,H20E_1_0,12,240.00,1.11,30.15,29.93,5.00,12
3600.00,3780.00,H20E_1_0,13,260.00,1.70,27.68,21.26,5.00,13
3780.00,3960.00,H20E_1_0,9,180.00,0.85,29.64,29.43,5.00,9
3960.00,4140.00,H20E_1_0,13,260.00,2.31,24.60,15.63,5.00,13
4140.00,4320.00,H20E_1_0,12,240.00,2.70,22.96,12.33,5.00,12
4320.00,4500.00,H20E_1_0,13,260.00,1.73,27.49,20.81,5.00,13
4500.00,4680.00,H20E_1_0,13,260.00,1.74,30.82,30.52,5.00,14
4680.00,4860.00,H20E_1_0,11,220.00,1.01,27.40,19.46,5.00,10
4860.00,5040.00,H20E_1_0,14,280.00,1.86,28.39,20.92,5.00,14
5040.00,5220.00,H20E_1_0,17,340.00,1.59,29.87,29.77,5.00,17
5220.00,5400.00,H20E_1_0,17,340.00,1.58,30.14,29.86,5.00,17
5400.00,5580.00,H20E_1_0,14,280.00,1.31,30.01,29.80,5.00,14
5580.00,5760.00,H20E_1_0,14,280.00,1.32,29.65,29.53,5.00,14
5760.00,5940.00,H20E_1_0,20,400.00,2.48,27.80,22.45,5.00,20
5940.00,6120.00,H20E_1_0,12,240.00,1.15,29.22,29.05,5.00,12
6120.00,6300.00,H20E_1_0,14,280.00,1.90,27.06,20.44,5.00,14
6300.00,6480.00,H20E_1_0,16,320.00,2.00,28.70,22.20,5.00,16
6480.00,6660.00,H20E_1_0,15,300.00,1.48,28.58,28.17,5.00,15
6660.00,6840.00,H20E_1_0,12,240.00,1.14,29.32,29.18,5.00,12
6840.00,7020.00,H20E_1_0,10,200.00,0.91,30.49,30.38,5.00,10
7020.00,7200.00,H20E_1_0,11,220.00,1.03,29.98,29.75,5.00,11
7200.00,7380.00,H20E_1_0,12,240.00,1.16,28.90,28.67,5.00,12
7380.00,7560.00,H20E_1_0,15,300.00,1.97,28.12,21.18,5.00,15
7560.00,7740.00,H20E_1_0,14,280.00,1.77,29.39,22.00,5.00,14
7740.00,7920.00,H20E_1_0,9,180.00,0.87,29.26,28.92,5.00,10
7920.00,8100.00,H20E_1_0,20,400.00,2.93,26.68,18.97,5.00,20
8100.00,8280.00,H20E_1_0,12,240.00,1.65,26.61,20.24,5.00,12
8280.00,8460.00,H20E_1_0,12,240.00,1.18,28.61,28.31,5.00,12
8460.00,8640.00,H20E_1_0,13,260.00,1.74,27.14,20.80,5.00,13
8640.00,8820.00,H20E_1_0,14,280.00,1.77,28.53,21.94,5.00,14
8820.00,9000.00,H20E_1_0,15,300.00,1.46,28.66,28.55,5.00,15
9000.00,9180.00,H20E_1_0,12,240.00,1.16,29.22,28.81,5.00,12
9180.00,9360.00,H20E_1_0,12,240.00,1.67,26.41,20.00,5.00,12
9360.00,9540.00,H20E_1_0,15,300.00,2.06,25.78,20.26,5.00,15
9540.00,9720.00,H20E_1_0,15,300.00,1.38,30.42,30.24,5.00,15
9720.00,9900.00,H20E_1_0,13,260.00,1.74,27.49,20.81,5.00,13
9900.00,10080.00,H20E_1_0,13,260.00,1.23,29.81,29.37,5.00,13
10080.00,10260.00,H20E_1_0,12,240.00,1.10,30.81,30.34,5.00,12
10260.00,10440.00,H20E_1_0,12,240.00,1.60,27.98,20.84,5.00,12
10440.00,10620.00,H20E_1_0,17,340.00,2.11,29.04,22.40,5.00,17
10620.00,10800.00,H20E_1_0,15,300.00,1.40,30.03,29.66,5.00,15
10800.00,10980.00,H20E_1_0,16,320.00,2.07,27.84,21.51,5.00,16
10980.00,11160.00,H20E_1_0,14,280.00,1.34,29.22,29.03,5.00,14
11160.00,11340.00,H20E_1_0,6,120.00,1.10,25.18,15.11,5.00,6
11340.00,11520.00,H20E_1_0,14,280.00,1.36,28.73,28.50,5.00,14
11520.00,11700.00,H20E_1_0,16,320.00,1.99,28.25,22.37,5.00,16
11700.00,11880.00,H20E_1_0,11,220.00,1.04,29.63,29.50,5.00,11
11880.00,12060.00,H20E_1_0,10,200.00,0.93,29.88,29.76,5.00,10
12060.00,12240.00,H20E_1_0,15,300.00,2.00,26.68,20.78,5.00,15
12240.00,12420.00,H20E_1_0,16,320.00,1.50,29.77,29.59,5.00,16
12420.00,12600.00,H20E_1_0,17,340.00,1.62,29.44,29.16,5.00,17
12600.00,12780.00,H20E_1_0,14,280.00,1.87,27.02,21.21,5.00,15
12780.00,12960.00,H20E_1_0,12,240.00,1.63,27.48,20.43,5.00,12
12960.00,13140.00,H20E_1_0,13,260.00,1.22,29.68,29.53,5.00,13
13140.00,13320.00,H20E_1_0,16,320.00,2.02,27.40,22.03,5.00,16
13320.00,13500.00,H20E_1_0,11,220.00,1.01,30.53,30.39,5.00,11
13500.00,13680.00,H20E_1_0,13,260.00,1.24,29.28,29.01,5.00,13
13680.00,13860.00,H20E_1_0,12,240.00,1.15,29.16,28.94,5.00,12
13860.00,14040.00,H20E_1_0,17,340.00,1.56,30.44,30.18,5.00,17
14040.00,14220.00,H20E_1_0,13,260.00,1.22,29.74,29.68,5.00,13
14220.00,14400.00,H20E_1_0,13,260.00,1.21,30.17,29.88,5.00,13
