begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H20E_offRamp1,6,120.00,0.60,28.11,27.84,5.00,6
180.00,360.00,H20E_offRamp1,43,860.00,4.57,26.37,26.15,5.00,43
360.00,540.00,H20E_offRamp1,28,560.00,2.85,27.74,27.52,5.00,29
540.00,720.00,H20E_offRamp1,40,800.00,4.23,26.34,26.14,5.00,39
720.00,900.00,H20E_offRamp1,43,860.00,4.48,26.95,26.65,5.00,43
900.00,1080.00,H20E_offRamp1,32,640.00,3.47,25.89,25.65,5.00,32
1080.00,1260.00,H20E_offRamp1,35,700.00,3.55,27.58,27.38,5.00,35
1260.00,1440.00,H20E_offRamp1,33,660.00,3.56,26.19,25.78,5.00,33
1440.00,1620.00,H20E_offRamp1,38,760.00,4.07,26.16,25.92,5.00,38
1620.00,1800.00,H20E_offRamp1,38,760.00,4.02,26.63,26.27,5.00,38
1800.00,1980.00,H20E_offRamp1,32,640.00,3.42,26.16,25.96,5.00,32
1980.00,2160.00,H20E_offRamp1,39,780.00,4.05,27.02,26.76,5.00,39
2160.00,2340.00,H20E_offRamp1,35,700.00,3.72,26.30,26.11,5.00,35
2340.00,2520.00,H20E_offRamp1,33,660.00,3.51,26.42,26.10,5.00,33
2520.00,2700.00,H20E_offRamp1,37,740.00,3.64,28.41,28.22,5.00,37
2700.00,2880.00,H20E_offRamp1,37,740.00,3.86,26.84,26.65,5.00,37
2880.00,3060.00,H20E_offRamp1,36,720.00,3.86,26.47,25.89,5.00,36
3060.00,3240.00,H20E_offRamp1,38,760.00,3.93,27.13,26.88,5.00,38
3240.00,3420.00,H20E_offRamp1,36,720.00,3.67,27.35,27.22,5.00,36
3420.00,3600.00,H20E_offRamp1,35,700.00,3.65,26.94,26.62,5.00,35
3600.00,3780.00,H20E_offRamp1,40,800.00,4.25,26.54,26.17,5.00,40
3780.00,3960.00,H20E_offRamp1,39,780.00,3.89,28.06,27.84,5.00,39
3960.00,4140.00,H20E_offRamp1,32,640.00,3.42,26.18,26.00,5.00,32
4140.00,4320.00,H20E_offRamp1,34,680.00,3.50,27.22,26.99,5.00,34
4320.00,4500.00,H20E_offRamp1,37,740.00,3.90,26.54,26.34,5.00,37
4500.00,4680.00,H20E_offRamp1,33,660.00,3.41,27.23,26.88,5.00,33
4680.00,4860.00,H20E_offRamp1,36,720.00,3.95,25.64,25.29,5.00,36
4860.00,5040.00,H20E_offRamp1,33,660.00,5.20,17.80,17.61,5.00,33
5040.00,5220.00,H20E_offRamp1,9,180.00,1.51,16.67,16.52,5.00,9
5220.00,5400.00,H20E_offRamp1,18,360.00,2.81,18.77,17.80,5.00,18
5400.00,5580.00,H20E_offRamp1,80,1600.00,10.14,22.17,21.92,5.00,80
5580.00,5760.00,H20E_offRamp1,27,540.00,2.89,26.19,25.99,5.00,27
5760.00,5940.00,H20E_offRamp1,44,880.00,5.02,25.23,24.36,5.00,44
5940.00,6120.00,H20E_offRamp1,24,480.00,2.48,27.18,26.93,5.00,24
6120.00,6300.00,H20E_offRamp1,36,720.00,3.78,26.72,26.47,5.00,36
6300.00,6480.00,H20E_offRamp1,36,720.00,4.02,25.09,24.87,5.00,36
6480.00,6660.00,H20E_offRamp1,30,600.00,3.64,23.81,22.91,5.00,30
6660.00,6840.00,H20E_offRamp1,34,680.00,5.27,18.08,17.93,5.00,34
6840.00,7020.00,H20E_offRamp1,15,300.00,2.35,17.90,17.75,5.00,15
7020.00,7200.00,H20E_offRamp1,10,200.00,1.65,17.24,16.85,5.00,10
7200.00,7380.00,H20E_offRamp1,60,1200.00,9.60,17.78,17.37,5.00,60
7380.00,7560.00,H20E_offRamp1,56,1120.00,8.39,19.98,18.55,5.00,56
7560.00,7740.00,H20E_offRamp1,29,580.00,3.16,26.30,25.47,5.00,29
7740.00,7920.00,H20E_offRamp1,29,580.00,3.09,26.33,26.04,5.00,29
7920.00,8100.00,H20E_offRamp1,40,800.00,4.11,27.22,27.00,5.00,40
8100.00,8280.00,H20E_offRamp1,35,700.00,3.53,27.75,27.58,5.00,35
8280.00,8460.00,H20E_offRamp1,27,540.00,2.69,28.04,27.88,5.00,27
8460.00,8640.00,H20E_offRamp1,31,620.00,3.17,27.36,27.17,5.00,31
8640.00,8820.00,H20E_offRamp1,30,600.00,3.39,24.94,24.55,5.00,30
8820.00,9000.00,H20E_offRamp1,29,580.00,4.85,16.76,16.61,5.00,29
9000.00,9180.00,H20E_offRamp1,21,420.00,3.89,15.97,15.63,5.00,22
9180.00,9360.00,H20E_offRamp1,38,760.00,6.40,16.40,16.11,5.00,37
9360.00,9540.00,H20E_offRamp1,37,740.00,6.20,16.90,16.59,5.00,37
9540.00,9720.00,H20E_offRamp1,35,700.00,5.70,17.33,17.04,5.00,35
9720.00,9900.00,H20E_offRamp1,30,600.00,4.90,17.15,17.00,5.00,30
9900.00,10080.00,H20E_offRamp1,26,520.00,4.87,15.70,15.31,5.00,27
10080.00,10260.00,H20E_offRamp1,32,640.00,4.61,19.27,18.67,5.00,31
10260.00,10440.00,H20E_offRamp1,28,560.00,4.49,17.46,17.31,5.00,28
10440.00,10620.00,H20E_offRamp1,39,780.00,4.16,26.61,26.07,5.00,39
10620.00,10800.00,H20E_offRamp1,22,440.00,2.21,27.73,27.65,5.00,22
10800.00,10980.00,H20E_offRamp1,33,660.00,3.53,26.22,25.94,5.00,33
10980.00,11160.00,H20E_offRamp1,31,620.00,3.79,23.27,22.70,5.00,31
11160.00,11340.00,H20E_offRamp1,17,340.00,2.89,16.64,16.31,5.00,17
11340.00,11520.00,H20E_offRamp1,5,100.00,0.90,15.67,15.35,5.00,5
11520.00,11700.00,H20E_offRamp1,23,460.00,3.99,16.46,16.05,5.00,24
11700.00,11880.00,H20E_offRamp1,26,520.00,4.44,16.55,16.22,5.00,25
11880.00,12060.00,H20E_offRamp1,16,320.00,3.13,14.50,14.21,5.00,16
12060.00,12240.00,H20E_offRamp1,7,140.00,1.30,15.47,14.95,5.00,7
12240.00,12420.00,H20E_offRamp1,17,340.00,2.66,18.37,17.72,5.00,17
12420.00,12600.00,H20E_offRamp1,54,1080.00,7.40,20.84,20.51,5.00,55
12600.00,12780.00,H20E_offRamp1,97,1940.00,14.24,19.16,18.81,5.00,96
12780.00,12960.00,H20E_offRamp1,34,680.00,3.65,26.16,25.90,5.00,34
12960.00,13140.00,H20E_offRamp1,32,640.00,3.33,27.01,26.66,5.00,32
13140.00,13320.00,H20E_offRamp1,28,560.00,2.91,26.98,26.73,5.00,28
13320.00,13500.00,H20E_offRamp1,36,720.00,4.70,22.47,21.29,5.00,36
13500.00,13680.00,H20E_offRamp1,24,480.00,4.05,16.74,16.45,5.00,24
13680.00,13860.00,H20E_offRamp1,3,60.00,0.61,14.42,13.74,5.00,3
13860.00,14040.00,H20E_offRamp1,24,480.00,4.17,16.32,15.97,5.00,24
14040.00,14220.00,H20E_offRamp1,53,1060.00,9.75,15.55,15.23,5.00,54
14220.00,14400.00,H20E_offRamp1,40,800.00,7.09,15.72,15.48,5.00,39
14400.00,14580.00,H20E_offRamp1,55,1100.00,9.95,15.66,15.36,5.00,55
14580.00,14760.00,H20E_offRamp1,27,540.00,4.78,15.86,15.68,5.00,27
14760.00,14940.00,H20E_offRamp1,43,860.00,7.52,16.18,15.88,5.00,43
14940.00,15120.00,H20E_offRamp1,46,920.00,6.16,21.68,20.74,5.00,46
15120.00,15300.00,H20E_offRamp1,26,520.00,2.84,25.78,25.43,5.00,26
15300.00,15480.00,H20E_offRamp1,21,420.00,2.10,28.01,27.83,5.00,21
15480.00,15660.00,H20E_offRamp1,29,580.00,2.81,28.91,28.72,5.00,29
15660.00,15840.00,H20E_offRamp1,32,640.00,3.45,26.08,25.74,5.00,32
15840.00,16020.00,H20E_offRamp1,32,640.00,4.23,21.60,21.02,5.00,32
16020.00,16200.00,H20E_offRamp1,21,420.00,3.35,17.54,17.40,5.00,21
16200.00,16380.00,H20E_offRamp1,3,60.00,0.68,12.21,12.19,5.00,3
16380.00,16560.00,H20E_offRamp1,16,320.00,2.78,16.39,15.98,5.00,16
16560.00,16740.00,H20E_offRamp1,68,1360.00,11.46,17.06,16.57,5.00,69
16740.00,16920.00,H20E_offRamp1,54,1080.00,8.40,18.98,17.72,5.00,53
16920.00,17100.00,H20E_offRamp1,29,580.00,2.85,28.49,28.24,5.00,29
17100.00,17280.00,H20E_offRamp1,28,560.00,2.97,26.52,26.21,5.00,28
17280.00,17460.00,H20E_offRamp1,41,820.00,4.45,25.84,25.58,5.00,41
17460.00,17640.00,H20E_offRamp1,32,640.00,3.19,28.08,27.90,5.00,32
17640.00,17820.00,H20E_offRamp1,41,820.00,6.13,19.46,18.59,5.00,41
17820.00,18000.00,H20E_offRamp1,29,580.00,3.60,23.39,22.39,5.00,29
18000.00,18180.00,H20E_offRamp1,24,480.00,2.35,28.56,28.34,5.00,24
18180.00,18360.00,H20E_offRamp1,24,480.00,2.42,27.73,27.56,5.00,24
18360.00,18540.00,H20E_offRamp1,37,740.00,3.86,26.86,26.63,5.00,37
18540.00,18720.00,H20E_offRamp1,27,540.00,2.80,26.98,26.76,5.00,27
18720.00,18900.00,H20E_offRamp1,31,620.00,3.49,25.23,24.67,5.00,31
18900.00,19080.00,H20E_offRamp1,34,680.00,3.41,27.98,27.69,5.00,34
19080.00,19260.00,H20E_offRamp1,36,720.00,3.80,26.63,26.32,5.00,36
19260.00,19440.00,H20E_offRamp1,34,680.00,4.02,24.57,23.83,5.00,35
19440.00,19620.00,H20E_offRamp1,35,700.00,5.43,18.12,17.70,5.00,34
19620.00,19800.00,H20E_offRamp1,39,780.00,7.10,15.79,15.26,5.00,39
19800.00,19980.00,H20E_offRamp1,46,920.00,7.76,16.79,16.48,5.00,46
19980.00,20160.00,H20E_offRamp1,24,480.00,2.60,26.33,25.61,5.00,24
20160.00,20340.00,H20E_offRamp1,27,540.00,2.82,26.98,26.60,5.00,27
20340.00,20520.00,H20E_offRamp1,33,660.00,3.72,25.16,24.67,5.00,33
20520.00,20700.00,H20E_offRamp1,33,660.00,3.63,25.65,25.27,5.00,33
20700.00,20880.00,H20E_offRamp1,31,620.00,4.23,20.95,20.38,5.00,31
20880.00,21060.00,H20E_offRamp1,22,440.00,3.61,17.08,16.94,5.00,22
21060.00,21240.00,H20E_offRamp1,29,580.00,5.20,15.93,15.49,5.00,29
21240.00,21420.00,H20E_offRamp1,45,900.00,6.71,19.12,18.62,5.00,45
21420.00,21600.00,H20E_offRamp1,47,940.00,6.14,22.02,21.25,5.00,47
21600.00,21780.00,H20E_offRamp1,27,540.00,2.87,26.47,26.10,5.00,27
21780.00,21960.00,H20E_offRamp1,33,660.00,3.92,24.39,23.39,5.00,33
21960.00,22140.00,H20E_offRamp1,25,500.00,3.62,19.91,19.20,5.00,25
22140.00,22320.00,H20E_offRamp1,12,240.00,2.16,15.90,15.46,5.00,12
22320.00,22500.00,H20E_offRamp1,49,980.00,8.05,17.10,16.91,5.00,49
22500.00,22680.00,H20E_offRamp1,40,800.00,6.69,16.95,16.61,5.00,40
22680.00,22860.00,H20E_offRamp1,38,760.00,6.08,17.99,17.35,5.00,38
22860.00,23040.00,H20E_offRamp1,33,660.00,5.43,17.39,16.89,5.00,33
23040.00,23220.00,H20E_offRamp1,40,800.00,4.62,24.58,24.03,5.00,40
23220.00,23400.00,H20E_offRamp1,31,620.00,3.34,26.03,25.78,5.00,31
23400.00,23580.00,H20E_offRamp1,35,700.00,5.52,18.07,17.61,5.00,35
23580.00,23760.00,H20E_offRamp1,9,180.00,1.59,16.12,15.71,5.00,9
23760.00,23940.00,H20E_offRamp1,22,440.00,3.66,17.02,16.70,5.00,22
23940.00,24120.00,H20E_offRamp1,43,860.00,6.68,18.41,17.87,5.00,43
24120.00,24300.00,H20E_offRamp1,64,1280.00,9.28,19.60,19.17,5.00,64
24300.00,24480.00,H20E_offRamp1,28,560.00,2.82,28.03,27.63,5.00,28
24480.00,24660.00,H20E_offRamp1,28,560.00,2.84,27.65,27.38,5.00,28
24660.00,24840.00,H20E_offRamp1,34,680.00,3.93,24.49,24.06,5.00,34
24840.00,25020.00,H20E_offRamp1,26,520.00,4.03,18.19,17.93,5.00,26
25020.00,25200.00,H20E_offRamp1,13,260.00,2.22,16.47,16.26,5.00,13
25200.00,25380.00,H20E_offRamp1,10,200.00,1.56,17.92,17.79,5.00,10
25380.00,25560.00,H20E_offRamp1,41,820.00,6.84,17.14,16.65,5.00,41
25560.00,25740.00,H20E_offRamp1,78,1560.00,11.30,19.87,19.17,5.00,78
25740.00,25920.00,H20E_offRamp1,19,380.00,1.97,27.00,26.74,5.00,19
25920.00,26100.00,H20E_offRamp1,37,740.00,3.97,26.12,25.86,5.00,37
26100.00,26280.00,H20E_offRamp1,35,700.00,3.41,28.71,28.51,5.00,35
26280.00,26460.00,H20E_offRamp1,36,720.00,3.57,28.17,27.99,5.00,36
26460.00,26640.00,H20E_offRamp1,22,440.00,2.40,26.01,25.46,5.00,22
26640.00,26820.00,H20E_offRamp1,43,860.00,4.65,25.89,25.71,5.00,43
26820.00,27000.00,H20E_offRamp1,34,680.00,3.72,25.83,25.39,5.00,34
27000.00,27180.00,H20E_offRamp1,42,840.00,4.46,26.36,26.15,5.00,42
27180.00,27360.00,H20E_offRamp1,31,620.00,4.59,19.28,18.77,5.00,31
27360.00,27540.00,H20E_offRamp1,21,420.00,3.39,17.39,17.20,5.00,21
27540.00,27720.00,H20E_offRamp1,7,140.00,1.22,16.29,15.90,5.00,7
27720.00,27900.00,H20E_offRamp1,28,560.00,5.53,14.32,14.07,5.00,28
27900.00,28080.00,H20E_offRamp1,32,640.00,5.43,16.68,16.37,5.00,32
28080.00,28260.00,H20E_offRamp1,74,1480.00,12.00,17.30,17.13,5.00,74
28260.00,28440.00,H20E_offRamp1,24,480.00,2.81,24.81,23.75,5.00,24
28440.00,28620.00,H20E_offRamp1,26,520.00,2.74,26.60,26.40,5.00,26
28620.00,28800.00,H20E_offRamp1,27,540.00,2.93,26.54,26.26,5.00,28
