begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H20W_2_2,6,120.00,0.50,33.36,33.33,5.00,6
180.00,360.00,H20W_2_2,39,780.00,3.38,32.74,32.46,5.00,40
360.00,540.00,H20W_2_2,42,840.00,3.63,32.29,32.15,5.00,42
540.00,720.00,H20W_2_2,41,820.00,3.60,31.79,31.64,5.00,41
720.00,900.00,H20W_2_2,37,740.00,3.35,31.37,31.12,5.00,38
900.00,1080.00,H20W_2_2,43,860.00,3.78,31.80,31.57,5.00,43
1080.00,1260.00,H20W_2_2,26,520.00,2.30,31.54,31.36,5.00,26
1260.00,1440.00,H20W_2_2,21,420.00,1.81,32.40,32.16,5.00,21
1440.00,1620.00,H20W_2_2,36,720.00,3.14,32.04,31.85,5.00,36
1620.00,1800.00,H20W_2_2,36,720.00,3.11,32.38,32.20,5.00,37
1800.00,1980.00,H20W_2_2,39,780.00,3.44,31.74,31.47,5.00,39
1980.00,2160.00,H20W_2_2,33,660.00,2.79,33.09,32.89,5.00,33
2160.00,2340.00,H20W_2_2,34,680.00,2.88,33.57,33.38,5.00,35
2340.00,2520.00,H20W_2_2,36,720.00,2.97,33.13,33.02,5.00,35
2520.00,2700.00,H20W_2_2,26,520.00,2.14,33.91,33.77,5.00,26
2700.00,2880.00,H20W_2_2,28,560.00,2.34,33.44,33.25,5.00,28
2880.00,3060.00,H20W_2_2,46,920.00,4.17,30.86,30.66,5.00,46
3060.00,3240.00,H20W_2_2,39,780.00,3.44,31.79,31.51,5.00,39
3240.00,3420.00,H20W_2_2,37,740.00,3.30,31.46,31.17,5.00,37
3420.00,3600.00,H20W_2_2,36,720.00,3.11,32.39,32.15,5.00,36
3600.00,3780.00,H20W_2_2,24,480.00,2.01,33.44,33.20,5.00,24
3780.00,3960.00,H20W_2_2,26,520.00,2.24,33.41,33.18,5.00,27
3960.00,4140.00,H20W_2_2,34,680.00,2.86,33.24,32.99,5.00,34
4140.00,4320.00,H20W_2_2,45,900.00,4.71,27.54,26.60,5.00,46
4320.00,4500.00,H20W_2_2,36,720.00,40.85,25.16,21.91,5.00,37
4500.00,4680.00,H20W_2_2,20,400.00,5.56,21.37,19.93,5.00,20
4680.00,4860.00,H20W_2_2,8,160.00,0.73,30.74,30.54,5.00,8
4860.00,5040.00,H20W_2_2,14,280.00,1.29,30.52,30.26,5.00,14
5040.00,5220.00,H20W_2_2,1,20.00,0.08,34.01,34.01,5.00,1
5220.00,5400.00,H20W_2_2,3,60.00,0.22,37.86,37.85,5.00,3
5400.00,5580.00,H20W_2_2,38,760.00,3.27,32.42,32.26,5.00,38
5580.00,5760.00,H20W_2_2,39,780.00,3.65,29.89,29.68,5.00,39
