begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H20W_out_3,1,20.00,0.07,41.06,41.06,5.00,1
180.00,360.00,H20W_out_3,27,540.00,2.15,35.07,34.93,5.00,27
360.00,540.00,H20W_out_3,49,980.00,4.47,33.62,30.45,5.00,49
540.00,720.00,H20W_out_3,49,980.00,4.00,34.18,34.05,5.00,49
720.00,900.00,H20W_out_3,56,1120.00,4.49,34.72,34.64,5.00,56
900.00,1080.00,H20W_out_3,46,920.00,3.77,34.02,33.93,5.00,46
1080.00,1260.00,H20W_out_3,41,820.00,3.27,35.05,34.86,5.00,41
1260.00,1440.00,H20W_out_3,36,720.00,2.88,34.84,34.66,5.00,36
1440.00,1620.00,H20W_out_3,47,940.00,3.75,35.01,34.85,5.00,47
1620.00,1800.00,H20W_out_3,49,980.00,3.95,34.59,34.43,5.00,49
1800.00,1980.00,H20W_out_3,50,1000.00,4.11,33.96,33.80,5.00,50
1980.00,2160.00,H20W_out_3,44,880.00,3.44,35.62,35.48,5.00,44
2160.00,2340.00,H20W_out_3,35,700.00,2.81,34.71,34.63,5.00,35
2340.00,2520.00,H20W_out_3,45,900.00,4.13,33.97,30.25,5.00,45
2520.00,2700.00,H20W_out_3,42,840.00,3.83,34.97,30.50,5.00,42
2700.00,2880.00,H20W_out_3,39,780.00,3.64,34.08,29.73,5.00,39
2880.00,3060.00,H20W_out_3,43,860.00,3.48,34.46,34.30,5.00,43
3060.00,3240.00,H20W_out_3,44,880.00,3.49,35.15,35.03,5.00,44
3240.00,3420.00,H20W_out_3,46,920.00,3.79,33.81,33.68,5.00,46
3420.00,3600.00,H20W_out_3,47,940.00,3.88,34.08,33.93,5.00,48
3600.00,3780.00,H20W_out_3,42,840.00,3.30,35.21,35.06,5.00,41
3780.00,3960.00,H20W_out_3,32,640.00,3.04,34.52,29.26,5.00,32
3960.00,4140.00,H20W_out_3,52,1040.00,4.18,34.68,34.55,5.00,52
4140.00,4320.00,H20W_out_3,52,1040.00,4.23,34.26,34.13,5.00,52
4320.00,4500.00,H20W_out_3,49,980.00,3.99,34.27,34.13,5.00,49
4500.00,4680.00,H20W_out_3,49,980.00,3.93,34.71,34.61,5.00,49
4680.00,4860.00,H20W_out_3,47,940.00,3.83,34.33,34.09,5.00,47
4860.00,5040.00,H20W_out_3,39,780.00,3.59,34.18,30.17,5.00,39
5040.00,5220.00,H20W_out_3,43,860.00,3.92,34.43,30.48,5.00,43
5220.00,5400.00,H20W_out_3,48,960.00,4.53,33.06,29.43,5.00,48
5400.00,5580.00,H20W_out_3,51,1020.00,4.10,34.72,34.58,5.00,51
5580.00,5760.00,H20W_out_3,54,1080.00,4.29,34.99,34.93,5.00,54
5760.00,5940.00,H20W_out_3,51,1020.00,4.25,33.52,33.37,5.00,51
5940.00,6120.00,H20W_out_3,47,940.00,3.78,34.61,34.53,5.00,47
6120.00,6300.00,H20W_out_3,51,1020.00,4.29,33.38,33.05,5.00,51
6300.00,6480.00,H20W_out_3,38,760.00,3.04,34.94,34.74,5.00,38
6480.00,6660.00,H20W_out_3,37,740.00,3.00,34.47,34.26,5.00,37
6660.00,6840.00,H20W_out_3,53,1060.00,4.29,34.41,34.29,5.00,53
6840.00,7020.00,H20W_out_3,42,840.00,3.32,35.27,35.18,5.00,42
7020.00,7200.00,H20W_out_3,52,1040.00,4.18,34.68,34.54,5.00,52
7200.00,7380.00,H20W_out_3,45,900.00,4.20,33.76,29.76,5.00,45
7380.00,7560.00,H20W_out_3,63,1260.00,5.03,34.94,34.79,5.00,63
7560.00,7740.00,H20W_out_3,49,980.00,3.93,35.05,34.94,5.00,50
7740.00,7920.00,H20W_out_3,32,640.00,2.60,33.85,33.72,5.00,31
7920.00,8100.00,H20W_out_3,34,680.00,2.66,35.57,35.46,5.00,34
8100.00,8280.00,H20W_out_3,44,880.00,3.46,35.36,35.30,5.00,44
8280.00,8460.00,H20W_out_3,35,700.00,2.78,35.09,34.97,5.00,35
8460.00,8640.00,H20W_out_3,47,940.00,3.83,34.29,34.13,5.00,47
8640.00,8820.00,H20W_out_3,56,1120.00,4.55,34.35,34.17,5.00,56
8820.00,9000.00,H20W_out_3,45,900.00,3.63,34.53,34.39,5.00,45
