begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H25N_2_2,23,460.00,2.31,28.04,27.67,5.00,23
180.00,360.00,H25N_2_2,71,1420.00,6.98,30.77,28.38,5.00,72
360.00,540.00,H25N_2_2,76,1520.00,7.16,29.75,29.48,5.00,76
540.00,720.00,H25N_2_2,62,1240.00,5.99,29.66,28.78,5.00,62
720.00,900.00,H25N_2_2,62,1240.00,6.69,26.44,25.75,5.00,62
900.00,1080.00,H25N_2_2,66,1320.00,7.31,28.01,25.10,5.00,66
1080.00,1260.00,H25N_2_2,35,700.00,3.06,31.85,31.73,5.00,35
1260.00,1440.00,H25N_2_2,71,1420.00,6.39,31.01,30.87,5.00,71
1440.00,1620.00,H25N_2_2,68,1360.00,6.80,28.60,28.05,5.00,70
1620.00,1800.00,H25N_2_2,71,1420.00,6.52,30.62,30.15,5.00,70
1800.00,1980.00,H25N_2_2,75,1500.00,8.05,28.25,25.89,5.00,75
1980.00,2160.00,H25N_2_2,69,1380.00,7.22,28.91,26.54,5.00,69
2160.00,2340.00,H25N_2_2,91,1820.00,13.97,23.00,19.66,5.00,92
2340.00,2520.00,H25N_2_2,83,1660.00,23.62,18.10,9.76,5.00,83
2520.00,2700.00,H25N_2_2,84,1680.00,18.55,18.84,12.59,5.00,85
2700.00,2880.00,H25N_2_2,87,1740.00,20.59,13.80,11.82,5.00,89
2880.00,3060.00,H25N_2_2,79,1580.00,27.07,15.85,8.08,5.00,78
3060.00,3240.00,H25N_2_2,93,1860.00,25.51,16.16,10.13,5.00,93
3240.00,3420.00,H25N_2_2,97,1940.00,12.77,22.58,21.10,5.00,97
3420.00,3600.00,H25N_2_2,66,1320.00,6.33,29.57,28.95,5.00,66
3600.00,3780.00,H25N_2_2,69,1380.00,6.85,28.64,27.98,5.00,70
3780.00,3960.00,H25N_2_2,55,1100.00,5.22,29.81,29.42,5.00,56
3960.00,4140.00,H25N_2_2,62,1240.00,6.12,29.00,28.19,5.00,63
4140.00,4320.00,H25N_2_2,91,1820.00,12.62,23.04,20.40,5.00,92
4320.00,4500.00,H25N_2_2,54,1080.00,8.14,25.28,18.44,5.00,54
4500.00,4680.00,H25N_2_2,47,940.00,4.30,30.89,30.74,5.00,48
4680.00,4860.00,H25N_2_2,39,780.00,3.36,32.33,32.20,5.00,39
4860.00,5040.00,H25N_2_2,45,900.00,4.59,30.36,27.22,5.00,45
5040.00,5220.00,H25N_2_2,38,760.00,3.23,32.78,32.69,5.00,38
5220.00,5400.00,H25N_2_2,51,1020.00,4.38,32.48,32.35,5.00,52
5400.00,5580.00,H25N_2_2,79,1580.00,8.62,27.51,25.64,5.00,80
5580.00,5760.00,H25N_2_2,77,1540.00,14.64,27.71,21.60,5.00,78
5760.00,5940.00,H25N_2_2,66,1320.00,14.31,25.14,20.66,5.00,67
5940.00,6120.00,H25N_2_2,51,1020.00,4.77,30.59,30.11,5.00,53
6120.00,6300.00,H25N_2_2,46,920.00,3.92,32.28,32.18,5.00,45
6300.00,6480.00,H25N_2_2,37,740.00,3.23,31.90,31.79,5.00,37
6480.00,6660.00,H25N_2_2,38,760.00,3.28,32.43,32.20,5.00,38
6660.00,6840.00,H25N_2_2,40,800.00,3.55,31.53,31.34,5.00,40
6840.00,7020.00,H25N_2_2,39,780.00,3.30,32.92,32.79,5.00,39
7020.00,7200.00,H25N_2_2,51,1020.00,4.43,32.10,31.99,5.00,51
7200.00,7380.00,H25N_2_2,43,860.00,3.75,32.03,31.88,5.00,43
7380.00,7560.00,H25N_2_2,46,920.00,4.17,30.88,30.76,5.00,47
7560.00,7740.00,H25N_2_2,43,860.00,4.01,31.29,31.03,5.00,45
7740.00,7920.00,H25N_2_2,49,980.00,4.21,31.89,31.72,5.00,48
7920.00,8100.00,H25N_2_2,46,920.00,3.97,32.32,32.16,5.00,46
8100.00,8280.00,H25N_2_2,48,960.00,4.22,32.17,32.07,5.00,49
8280.00,8460.00,H25N_2_2,39,780.00,3.33,32.12,32.02,5.00,38
8460.00,8640.00,H25N_2_2,41,820.00,3.61,31.70,31.55,5.00,41
8640.00,8820.00,H25N_2_2,33,660.00,3.44,30.56,26.66,5.00,33
8820.00,9000.00,H25N_2_2,42,840.00,3.66,32.20,31.83,5.00,42
9000.00,9180.00,H25N_2_2,50,1000.00,5.09,29.36,28.36,5.00,52
9180.00,9360.00,H25N_2_2,52,1040.00,4.78,30.59,30.22,5.00,52
9360.00,9540.00,H25N_2_2,47,940.00,4.39,30.09,29.77,5.00,47
9540.00,9720.00,H25N_2_2,61,1220.00,5.87,29.41,28.87,5.00,61
9720.00,9900.00,H25N_2_2,72,1440.00,7.30,29.37,27.40,5.00,72
9900.00,10080.00,H25N_2_2,63,1260.00,6.01,29.62,29.13,5.00,63
10080.00,10260.00,H25N_2_2,78,1560.00,7.16,30.44,30.25,5.00,78
10260.00,10440.00,H25N_2_2,81,1620.00,7.58,30.11,29.70,5.00,81
10440.00,10620.00,H25N_2_2,53,1060.00,4.79,31.51,31.33,5.00,54
10620.00,10800.00,H25N_2_2,55,1100.00,5.10,30.60,30.30,5.00,56
10800.00,10980.00,H25N_2_2,44,880.00,3.90,31.60,31.38,5.00,44
10980.00,11160.00,H25N_2_2,51,1020.00,4.46,31.92,31.74,5.00,51
11160.00,11340.00,H25N_2_2,69,1380.00,6.95,28.44,27.57,5.00,69
11340.00,11520.00,H25N_2_2,58,1160.00,5.30,30.76,30.42,5.00,58
11520.00,11700.00,H25N_2_2,55,1100.00,4.96,31.34,31.17,5.00,56
11700.00,11880.00,H25N_2_2,92,1840.00,11.26,23.87,22.93,5.00,93
11880.00,12060.00,H25N_2_2,78,1560.00,8.98,26.31,24.45,5.00,80
12060.00,12240.00,H25N_2_2,83,1660.00,18.03,20.32,12.79,5.00,83
12240.00,12420.00,H25N_2_2,76,1520.00,31.64,18.56,7.13,5.00,79
12420.00,12600.00,H25N_2_2,72,1440.00,30.11,21.26,6.73,5.00,73
12600.00,12780.00,H25N_2_2,89,1780.00,15.27,24.04,20.99,5.00,90
12780.00,12960.00,H25N_2_2,64,1280.00,32.74,23.23,4.98,5.00,64
12960.00,13140.00,H25N_2_2,71,1420.00,24.05,18.47,8.20,5.00,71
13140.00,13320.00,H25N_2_2,47,940.00,4.12,31.83,31.66,5.00,47
13320.00,13500.00,H25N_2_2,43,860.00,3.70,32.40,32.27,5.00,43
13500.00,13680.00,H25N_2_2,47,940.00,4.11,31.99,31.78,5.00,47
13680.00,13860.00,H25N_2_2,40,800.00,3.52,31.69,31.55,5.00,40
13860.00,14040.00,H25N_2_2,49,980.00,4.36,31.47,31.25,5.00,49
14040.00,14220.00,H25N_2_2,44,880.00,3.91,31.41,31.23,5.00,44
14220.00,14400.00,H25N_2_2,51,1020.00,4.59,31.01,30.85,5.00,51
14400.00,14580.00,H25N_2_2,43,860.00,3.86,31.11,30.93,5.00,43
14580.00,14760.00,H25N_2_2,54,1080.00,4.84,31.31,31.11,5.00,55
14760.00,14940.00,H25N_2_2,51,1020.00,4.91,31.76,28.84,5.00,51
14940.00,15120.00,H25N_2_2,45,900.00,4.36,31.79,28.69,5.00,45
15120.00,15300.00,H25N_2_2,57,1140.00,5.29,30.24,29.91,5.00,57
15300.00,15480.00,H25N_2_2,42,840.00,3.70,31.69,31.53,5.00,42
15480.00,15660.00,H25N_2_2,47,940.00,4.17,31.56,31.32,5.00,47
15660.00,15840.00,H25N_2_2,47,940.00,4.54,32.10,28.78,5.00,47
15840.00,16020.00,H25N_2_2,54,1080.00,4.98,31.11,30.76,5.00,56
16020.00,16200.00,H25N_2_2,44,880.00,4.31,29.59,29.00,5.00,46
16200.00,16380.00,H25N_2_2,57,1140.00,5.25,30.75,30.20,5.00,58
