begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H25N_offRamp1,9,180.00,0.91,27.64,27.47,5.00,9
180.00,360.00,H25N_offRamp1,23,460.00,2.24,28.77,28.48,5.00,23
360.00,540.00,H25N_offRamp1,27,540.00,2.80,27.04,26.75,5.00,27
540.00,720.00,H25N_offRamp1,29,580.00,2.86,28.33,28.15,5.00,29
720.00,900.00,H25N_offRamp1,25,500.00,2.48,28.17,28.01,5.00,25
900.00,1080.00,H25N_offRamp1,27,540.00,2.68,28.18,27.98,5.00,27
1080.00,1260.00,H25N_offRamp1,22,440.00,2.13,29.03,28.74,5.00,22
1260.00,1440.00,H25N_offRamp1,25,500.00,2.55,27.76,27.21,5.00,25
1440.00,1620.00,H25N_offRamp1,24,480.00,2.42,27.69,27.51,5.00,24
1620.00,1800.00,H25N_offRamp1,27,540.00,2.86,26.71,26.19,5.00,27
1800.00,1980.00,H25N_offRamp1,26,520.00,2.69,27.15,26.85,5.00,26
1980.00,2160.00,H25N_offRamp1,21,420.00,2.14,27.65,27.32,5.00,21
2160.00,2340.00,H25N_offRamp1,28,560.00,2.81,27.85,27.73,5.00,28
2340.00,2520.00,H25N_offRamp1,27,540.00,2.77,27.31,27.11,5.00,27
2520.00,2700.00,H25N_offRamp1,25,500.00,2.56,27.31,27.14,5.00,25
2700.00,2880.00,H25N_offRamp1,25,500.00,2.51,28.08,27.70,5.00,25
2880.00,3060.00,H25N_offRamp1,25,500.00,2.51,27.90,27.69,5.00,25
3060.00,3240.00,H25N_offRamp1,33,660.00,3.44,26.79,26.62,5.00,33
3240.00,3420.00,H25N_offRamp1,22,440.00,2.22,27.74,27.54,5.00,22
3420.00,3600.00,H25N_offRamp1,29,580.00,2.98,27.31,27.02,5.00,29
3600.00,3780.00,H25N_offRamp1,27,540.00,2.76,27.43,27.14,5.00,27
3780.00,3960.00,H25N_offRamp1,22,440.00,2.23,27.59,27.36,5.00,22
3960.00,4140.00,H25N_offRamp1,22,440.00,2.40,25.72,25.45,5.00,22
4140.00,4320.00,H25N_offRamp1,28,560.00,2.74,28.68,28.40,5.00,28
4320.00,4500.00,H25N_offRamp1,24,480.00,2.38,28.20,28.04,5.00,24
4500.00,4680.00,H25N_offRamp1,31,620.00,3.39,25.69,25.38,5.00,31
4680.00,4860.00,H25N_offRamp1,23,460.00,2.29,28.14,27.84,5.00,23
4860.00,5040.00,H25N_offRamp1,26,520.00,2.65,27.54,27.23,5.00,26
5040.00,5220.00,H25N_offRamp1,20,400.00,2.03,27.65,27.39,5.00,20
5220.00,5400.00,H25N_offRamp1,21,420.00,2.16,27.48,26.95,5.00,21
5400.00,5580.00,H25N_offRamp1,21,420.00,2.15,27.33,27.18,5.00,21
5580.00,5760.00,H25N_offRamp1,22,440.00,2.24,27.58,27.25,5.00,22
5760.00,5940.00,H25N_offRamp1,30,600.00,3.11,27.07,26.82,5.00,30
5940.00,6120.00,H25N_offRamp1,19,380.00,1.90,27.99,27.75,5.00,19
6120.00,6300.00,H25N_offRamp1,25,500.00,2.62,27.02,26.48,5.00,25
6300.00,6480.00,H25N_offRamp1,29,580.00,3.04,26.85,26.54,5.00,29
6480.00,6660.00,H25N_offRamp1,24,480.00,2.38,28.16,28.06,5.00,24
6660.00,6840.00,H25N_offRamp1,18,360.00,2.00,25.37,25.04,5.00,18
6840.00,7020.00,H25N_offRamp1,25,500.00,2.50,27.99,27.74,5.00,25
7020.00,7200.00,H25N_offRamp1,28,560.00,2.88,27.31,27.02,5.00,28
7200.00,7380.00,H25N_offRamp1,20,400.00,1.95,28.76,28.54,5.00,20
7380.00,7560.00,H25N_offRamp1,23,460.00,2.45,26.27,26.08,5.00,23
7560.00,7740.00,H25N_offRamp1,21,420.00,2.15,27.22,27.08,5.00,21
7740.00,7920.00,H25N_offRamp1,24,480.00,2.60,25.99,25.65,5.00,24
7920.00,8100.00,H25N_offRamp1,24,480.00,2.39,28.33,27.95,5.00,24
8100.00,8280.00,H25N_offRamp1,24,480.00,2.44,27.40,27.28,5.00,24
8280.00,8460.00,H25N_offRamp1,20,400.00,1.94,28.88,28.64,5.00,20
8460.00,8640.00,H25N_offRamp1,27,540.00,2.82,26.87,26.62,5.00,27
8640.00,8820.00,H25N_offRamp1,22,440.00,2.19,28.17,27.94,5.00,22
8820.00,9000.00,H25N_offRamp1,21,420.00,2.19,26.89,26.69,5.00,21
9000.00,9180.00,H25N_offRamp1,24,480.00,2.42,27.76,27.59,5.00,24
9180.00,9360.00,H25N_offRamp1,27,540.00,2.79,27.25,26.91,5.00,27
9360.00,9540.00,H25N_offRamp1,25,500.00,2.50,28.00,27.75,5.00,25
9540.00,9720.00,H25N_offRamp1,19,380.00,2.01,26.43,26.30,5.00,19
9720.00,9900.00,H25N_offRamp1,27,540.00,2.69,28.14,27.91,5.00,27
9900.00,10080.00,H25N_offRamp1,25,500.00,2.47,28.27,28.07,5.00,25
10080.00,10260.00,H25N_offRamp1,24,480.00,2.56,26.20,26.05,5.00,24
10260.00,10440.00,H25N_offRamp1,23,460.00,2.35,27.55,27.21,5.00,23
10440.00,10620.00,H25N_offRamp1,30,600.00,3.14,26.82,26.56,5.00,30
10620.00,10800.00,H25N_offRamp1,20,400.00,2.10,26.56,26.40,5.00,20
10800.00,10980.00,H25N_offRamp1,28,560.00,2.86,27.35,27.16,5.00,28
10980.00,11160.00,H25N_offRamp1,23,460.00,2.47,26.35,25.91,5.00,23
11160.00,11340.00,H25N_offRamp1,25,500.00,2.65,26.41,26.25,5.00,25
11340.00,11520.00,H25N_offRamp1,26,520.00,2.60,27.96,27.73,5.00,26
11520.00,11700.00,H25N_offRamp1,22,440.00,2.23,27.52,27.36,5.00,22
11700.00,11880.00,H25N_offRamp1,24,480.00,2.54,26.46,26.26,5.00,24
11880.00,12060.00,H25N_offRamp1,17,340.00,1.66,28.60,28.40,5.00,17
12060.00,12240.00,H25N_offRamp1,24,480.00,2.48,27.04,26.92,5.00,24
12240.00,12420.00,H25N_offRamp1,27,540.00,2.75,27.53,27.27,5.00,27
12420.00,12600.00,H25N_offRamp1,24,480.00,2.43,27.68,27.42,5.00,24
12600.00,12780.00,H25N_offRamp1,29,580.00,2.91,27.90,27.72,5.00,29
12780.00,12960.00,H25N_offRamp1,21,420.00,2.17,27.04,26.88,5.00,21
12960.00,13140.00,H25N_offRamp1,27,540.00,2.71,27.97,27.67,5.00,27
13140.00,13320.00,H25N_offRamp1,25,500.00,2.48,28.13,27.96,5.00,25
13320.00,13500.00,H25N_offRamp1,22,440.00,2.35,26.26,25.99,5.00,22
13500.00,13680.00,H25N_offRamp1,19,380.00,1.92,27.59,27.44,5.00,19
13680.00,13860.00,H25N_offRamp1,27,540.00,2.89,26.31,25.97,5.00,27
13860.00,14040.00,H25N_offRamp1,23,460.00,2.40,26.91,26.58,5.00,23
14040.00,14220.00,H25N_offRamp1,23,460.00,2.36,27.34,27.03,5.00,23
14220.00,14400.00,H25N_offRamp1,23,460.00,2.30,28.12,27.76,5.00,23
14400.00,14580.00,H25N_offRamp1,21,420.00,2.09,28.17,27.89,5.00,21
14580.00,14760.00,H25N_offRamp1,23,460.00,2.36,27.40,27.13,5.00,23
14760.00,14940.00,H25N_offRamp1,25,500.00,2.60,27.03,26.72,5.00,25
14940.00,15120.00,H25N_offRamp1,21,420.00,2.28,25.95,25.53,5.00,21
15120.00,15300.00,H25N_offRamp1,25,500.00,2.68,26.27,25.91,5.00,25
