begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H25N_out_3,0,0.00,0.00,-1.00,-1.00,-1.00,0
180.00,360.00,H25N_out_3,8,160.00,0.60,36.81,36.74,5.00,8
360.00,540.00,H25N_out_3,16,320.00,1.30,34.23,34.14,5.00,16
540.00,720.00,H25N_out_3,20,400.00,1.53,36.50,36.31,5.00,20
720.00,900.00,H25N_out_3,27,540.00,2.08,36.20,36.11,5.00,27
900.00,1080.00,H25N_out_3,25,500.00,1.96,35.50,35.42,5.00,25
1080.00,1260.00,H25N_out_3,22,440.00,1.69,36.50,36.22,5.00,22
1260.00,1440.00,H25N_out_3,28,560.00,2.23,35.04,34.90,5.00,28
1440.00,1620.00,H25N_out_3,27,540.00,2.17,34.66,34.57,5.00,27
1620.00,1800.00,H25N_out_3,22,440.00,1.72,35.73,35.59,5.00,22
1800.00,1980.00,H25N_out_3,33,660.00,2.53,36.32,36.18,5.00,33
1980.00,2160.00,H25N_out_3,25,500.00,2.03,34.46,34.27,5.00,25
2160.00,2340.00,H25N_out_3,23,460.00,1.81,35.40,35.29,5.00,23
2340.00,2520.00,H25N_out_3,35,700.00,2.79,35.10,34.90,5.00,35
2520.00,2700.00,H25N_out_3,20,400.00,1.53,36.41,36.32,5.00,20
2700.00,2880.00,H25N_out_3,18,360.00,1.37,36.57,36.50,5.00,18
2880.00,3060.00,H25N_out_3,28,560.00,2.27,34.42,34.26,5.00,28
3060.00,3240.00,H25N_out_3,28,560.00,2.22,35.36,35.05,5.00,28
3240.00,3420.00,H25N_out_3,21,420.00,1.71,34.39,34.15,5.00,21
3420.00,3600.00,H25N_out_3,20,400.00,1.58,35.17,35.10,5.00,20
3600.00,3780.00,H25N_out_3,28,560.00,2.27,34.34,34.19,5.00,28
3780.00,3960.00,H25N_out_3,24,480.00,1.88,35.66,35.54,5.00,24
3960.00,4140.00,H25N_out_3,27,540.00,2.19,34.44,34.25,5.00,27
4140.00,4320.00,H25N_out_3,23,460.00,1.83,35.01,34.93,5.00,23
4320.00,4500.00,H25N_out_3,22,440.00,1.73,35.54,35.41,5.00,22
4500.00,4680.00,H25N_out_3,16,320.00,1.23,36.35,36.27,5.00,16
4680.00,4860.00,H25N_out_3,25,500.00,1.98,35.22,35.13,5.00,25
4860.00,5040.00,H25N_out_3,34,680.00,2.73,34.85,34.66,5.00,34
5040.00,5220.00,H25N_out_3,24,480.00,1.86,35.82,35.75,5.00,24
5220.00,5400.00,H25N_out_3,16,320.00,1.28,34.88,34.81,5.00,16
5400.00,5580.00,H25N_out_3,30,600.00,2.43,34.55,34.33,5.00,30
5580.00,5760.00,H25N_out_3,21,420.00,1.63,35.83,35.70,5.00,21
5760.00,5940.00,H25N_out_3,23,460.00,1.85,34.76,34.50,5.00,23
5940.00,6120.00,H25N_out_3,14,280.00,1.09,35.78,35.67,5.00,14
6120.00,6300.00,H25N_out_3,28,560.00,2.27,34.39,34.28,5.00,28
6300.00,6480.00,H25N_out_3,26,520.00,2.09,34.76,34.59,5.00,26
6480.00,6660.00,H25N_out_3,25,500.00,1.93,35.99,35.90,5.00,25
6660.00,6840.00,H25N_out_3,26,520.00,2.04,35.58,35.43,5.00,26
6840.00,7020.00,H25N_out_3,24,480.00,1.85,36.03,35.94,5.00,24
7020.00,7200.00,H25N_out_3,32,640.00,2.55,35.14,34.89,5.00,32
7200.00,7380.00,H25N_out_3,23,460.00,1.87,34.40,34.25,5.00,23
7380.00,7560.00,H25N_out_3,19,380.00,1.55,34.24,34.13,5.00,19
7560.00,7740.00,H25N_out_3,25,500.00,2.00,34.80,34.68,5.00,25
7740.00,7920.00,H25N_out_3,22,440.00,1.77,34.65,34.49,5.00,22
7920.00,8100.00,H25N_out_3,19,380.00,1.51,35.08,34.97,5.00,19
8100.00,8280.00,H25N_out_3,25,500.00,1.94,35.83,35.72,5.00,25
8280.00,8460.00,H25N_out_3,33,660.00,2.65,34.65,34.57,5.00,33
8460.00,8640.00,H25N_out_3,24,480.00,1.87,35.64,35.56,5.00,24
8640.00,8820.00,H25N_out_3,16,320.00,1.26,35.50,35.25,5.00,16
8820.00,9000.00,H25N_out_3,29,580.00,2.32,34.84,34.74,5.00,29
9000.00,9180.00,H25N_out_3,25,500.00,1.96,35.64,35.49,5.00,25
9180.00,9360.00,H25N_out_3,17,340.00,1.32,36.00,35.82,5.00,17
9360.00,9540.00,H25N_out_3,29,580.00,2.27,35.58,35.50,5.00,29
9540.00,9720.00,H25N_out_3,17,340.00,1.37,34.68,34.52,5.00,17
9720.00,9900.00,H25N_out_3,31,620.00,2.44,35.45,35.33,5.00,31
9900.00,10080.00,H25N_out_3,17,340.00,1.35,35.17,35.04,5.00,17
10080.00,10260.00,H25N_out_3,24,480.00,1.88,35.70,35.54,5.00,24
10260.00,10440.00,H25N_out_3,20,400.00,1.65,33.90,33.76,5.00,20
10440.00,10620.00,H25N_out_3,28,560.00,2.17,36.02,35.88,5.00,28
10620.00,10800.00,H25N_out_3,26,520.00,2.09,34.65,34.52,5.00,26
10800.00,10980.00,H25N_out_3,21,420.00,1.64,35.70,35.54,5.00,21
10980.00,11160.00,H25N_out_3,23,460.00,1.79,35.82,35.68,5.00,23
11160.00,11340.00,H25N_out_3,20,400.00,1.55,35.86,35.80,5.00,20
11340.00,11520.00,H25N_out_3,23,460.00,1.80,35.53,35.45,5.00,23
11520.00,11700.00,H25N_out_3,19,380.00,1.46,36.43,36.26,5.00,19
11700.00,11880.00,H25N_out_3,23,460.00,1.82,35.30,35.17,5.00,23
11880.00,12060.00,H25N_out_3,22,440.00,1.73,35.38,35.26,5.00,22
12060.00,12240.00,H25N_out_3,27,540.00,2.12,35.44,35.32,5.00,27
12240.00,12420.00,H25N_out_3,24,480.00,1.90,35.34,35.16,5.00,24
12420.00,12600.00,H25N_out_3,26,520.00,2.09,34.81,34.63,5.00,26
12600.00,12780.00,H25N_out_3,22,440.00,1.71,35.83,35.69,5.00,22
12780.00,12960.00,H25N_out_3,28,560.00,2.27,34.41,34.28,5.00,28
12960.00,13140.00,H25N_out_3,23,460.00,1.80,35.60,35.44,5.00,23
13140.00,13320.00,H25N_out_3,29,580.00,2.31,35.02,34.91,5.00,29
13320.00,13500.00,H25N_out_3,23,460.00,1.83,34.99,34.85,5.00,23
13500.00,13680.00,H25N_out_3,22,440.00,1.75,35.09,34.85,5.00,22
13680.00,13860.00,H25N_out_3,23,460.00,1.84,34.76,34.68,5.00,23
13860.00,14040.00,H25N_out_3,19,380.00,1.50,35.26,35.13,5.00,19
14040.00,14220.00,H25N_out_3,33,660.00,2.68,34.38,34.24,5.00,33
14220.00,14400.00,H25N_out_3,18,360.00,1.41,35.45,35.37,5.00,18
