begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H25S_in_0,25,500.00,2.17,32.26,32.03,5.00,25
180.00,360.00,H25S_in_0,24,480.00,2.08,32.30,32.11,5.00,24
360.00,540.00,H25S_in_0,24,480.00,2.10,32.09,31.70,5.00,24
540.00,720.00,H25S_in_0,18,360.00,1.65,30.47,30.24,5.00,18
720.00,900.00,H25S_in_0,26,520.00,2.27,32.66,32.47,5.00,27
900.00,1080.00,H25S_in_0,21,420.00,1.86,31.69,31.52,5.00,22
1080.00,1260.00,H25S_in_0,23,460.00,1.96,33.71,33.14,5.00,25
1260.00,1440.00,H25S_in_0,25,500.00,2.14,32.81,32.45,5.00,25
1440.00,1620.00,H25S_in_0,22,440.00,1.93,31.88,31.65,5.00,22
1620.00,1800.00,H25S_in_0,23,460.00,2.05,31.44,31.20,5.00,23
1800.00,1980.00,H25S_in_0,25,500.00,2.24,31.33,31.01,5.00,25
1980.00,2160.00,H25S_in_0,24,480.00,2.08,32.59,32.09,5.00,24
2160.00,2340.00,H25S_in_0,17,340.00,1.53,31.36,31.19,5.00,18
2340.00,2520.00,H25S_in_0,20,400.00,1.81,32.09,31.62,5.00,21
2520.00,2700.00,H25S_in_0,25,500.00,2.22,31.88,31.55,5.00,26
2700.00,2880.00,H25S_in_0,22,440.00,1.90,32.45,32.10,5.00,22
2880.00,3060.00,H25S_in_0,26,520.00,2.27,32.16,31.78,5.00,26
3060.00,3240.00,H25S_in_0,22,440.00,1.91,32.46,32.10,5.00,23
3240.00,3420.00,H25S_in_0,23,460.00,2.01,32.62,32.46,5.00,25
3420.00,3600.00,H25S_in_0,20,400.00,1.72,32.81,32.39,5.00,20
3600.00,3780.00,H25S_in_0,25,500.00,2.17,32.47,31.95,5.00,26
3780.00,3960.00,H25S_in_0,18,360.00,1.63,31.46,31.15,5.00,19
3960.00,4140.00,H25S_in_0,20,400.00,1.78,31.56,31.17,5.00,20
4140.00,4320.00,H25S_in_0,24,480.00,2.15,31.37,30.98,5.00,24
4320.00,4500.00,H25S_in_0,22,440.00,1.98,31.30,31.14,5.00,23
4500.00,4680.00,H25S_in_0,19,380.00,1.69,32.51,32.24,5.00,21
4680.00,4860.00,H25S_in_0,22,440.00,1.94,32.71,32.37,5.00,24
4860.00,5040.00,H25S_in_0,20,400.00,1.79,31.29,31.01,5.00,20
5040.00,5220.00,H25S_in_0,22,440.00,1.91,32.33,32.06,5.00,22
5220.00,5400.00,H25S_in_0,21,420.00,1.83,32.54,32.14,5.00,22
5400.00,5580.00,H25S_in_0,23,460.00,2.09,31.47,31.15,5.00,24
5580.00,5760.00,H25S_in_0,22,440.00,1.89,32.58,32.25,5.00,22
5760.00,5940.00,H25S_in_0,21,420.00,1.81,32.53,32.16,5.00,21
5940.00,6120.00,H25S_in_0,20,400.00,1.66,33.75,33.46,5.00,20
6120.00,6300.00,H25S_in_0,20,400.00,1.71,33.07,32.59,5.00,21
