begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H25S_onRamp1,1,20.00,0.79,3.53,3.53,5.00,1
180.00,360.00,H25S_onRamp1,1,20.00,0.68,4.07,4.07,5.00,1
360.00,540.00,H25S_onRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
540.00,720.00,H25S_onRamp1,1,20.00,0.98,2.83,2.83,5.00,1
720.00,900.00,H25S_onRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
900.00,1080.00,H25S_onRamp1,1,20.00,1.47,1.89,1.89,5.00,1
1080.00,1260.00,H25S_onRamp1,1,20.00,0.94,2.97,2.97,5.00,1
1260.00,1440.00,H25S_onRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
1440.00,1620.00,H25S_onRamp1,1,20.00,0.96,2.91,2.91,5.00,1
1620.00,1800.00,H25S_onRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
1800.00,1980.00,H25S_onRamp1,1,20.00,1.37,2.02,2.02,5.00,1
1980.00,2160.00,H25S_onRamp1,1,20.00,1.24,2.23,2.23,5.00,1
2160.00,2340.00,H25S_onRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
2340.00,2520.00,H25S_onRamp1,1,20.00,1.15,2.41,2.41,5.00,1
2520.00,2700.00,H25S_onRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
2700.00,2880.00,H25S_onRamp1,1,20.00,0.95,2.92,2.92,5.00,1
2880.00,3060.00,H25S_onRamp1,1,20.00,1.03,2.69,2.69,5.00,1
3060.00,3240.00,H25S_onRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
3240.00,3420.00,H25S_onRamp1,1,20.00,1.31,2.12,2.12,5.00,1
3420.00,3600.00,H25S_onRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
3600.00,3780.00,H25S_onRamp1,1,20.00,0.66,4.24,4.24,5.00,1
3780.00,3960.00,H25S_onRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
3960.00,4140.00,H25S_onRamp1,1,20.00,1.35,2.06,2.06,5.00,1
4140.00,4320.00,H25S_onRamp1,1,20.00,0.96,2.89,2.89,5.00,1
4320.00,4500.00,H25S_onRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
4500.00,4680.00,H25S_onRamp1,1,20.00,1.24,2.24,2.24,5.00,1
4680.00,4860.00,H25S_onRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
4860.00,5040.00,H25S_onRamp1,1,20.00,0.95,2.91,2.91,5.00,1
5040.00,5220.00,H25S_onRamp1,1,20.00,0.98,2.84,2.84,5.00,1
5220.00,5400.00,H25S_onRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
5400.00,5580.00,H25S_onRamp1,1,20.00,1.09,2.54,2.54,5.00,1
5580.00,5760.00,H25S_onRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
5760.00,5940.00,H25S_onRamp1,1,20.00,0.87,3.21,3.21,5.00,1
5940.00,6120.00,H25S_onRamp1,1,20.00,1.21,2.29,2.29,5.00,1
6120.00,6300.00,H25S_onRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
6300.00,6480.00,H25S_onRamp1,1,20.00,1.18,2.35,2.35,5.00,1
