begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H25S_out_0,7,140.00,0.66,29.55,29.52,5.00,7
180.00,360.00,H25S_out_0,24,480.00,2.37,28.34,28.17,5.00,24
360.00,540.00,H25S_out_0,34,680.00,3.36,28.24,28.12,5.00,34
540.00,720.00,H25S_out_0,31,620.00,2.98,28.98,28.87,5.00,31
720.00,900.00,H25S_out_0,26,520.00,2.65,27.40,27.29,5.00,26
900.00,1080.00,H25S_out_0,26,520.00,2.58,28.17,28.02,5.00,26
1080.00,1260.00,H25S_out_0,33,660.00,3.22,28.69,28.50,5.00,33
1260.00,1440.00,H25S_out_0,24,480.00,2.35,28.46,28.40,5.00,24
1440.00,1620.00,H25S_out_0,26,520.00,2.61,27.99,27.71,5.00,26
1620.00,1800.00,H25S_out_0,29,580.00,2.80,28.93,28.81,5.00,29
1800.00,1980.00,H25S_out_0,26,520.00,2.67,27.14,27.02,5.00,26
1980.00,2160.00,H25S_out_0,32,640.00,3.22,27.75,27.57,5.00,32
2160.00,2340.00,H25S_out_0,26,520.00,2.60,27.95,27.78,5.00,26
2340.00,2520.00,H25S_out_0,24,480.00,2.38,28.35,28.00,5.00,24
2520.00,2700.00,H25S_out_0,29,580.00,2.86,28.33,28.17,5.00,29
2700.00,2880.00,H25S_out_0,28,560.00,2.91,27.04,26.75,5.00,28
2880.00,3060.00,H25S_out_0,29,580.00,2.87,28.17,28.04,5.00,29
3060.00,3240.00,H25S_out_0,30,600.00,3.05,27.52,27.31,5.00,30
3240.00,3420.00,H25S_out_0,29,580.00,2.83,28.85,28.49,5.00,29
3420.00,3600.00,H25S_out_0,30,600.00,2.92,28.74,28.54,5.00,30
3600.00,3780.00,H25S_out_0,25,500.00,2.46,28.50,28.28,5.00,25
3780.00,3960.00,H25S_out_0,26,520.00,2.68,28.26,28.03,5.00,27
3960.00,4140.00,H25S_out_0,31,620.00,3.02,28.69,28.51,5.00,31
4140.00,4320.00,H25S_out_0,29,580.00,2.78,29.11,28.95,5.00,29
4320.00,4500.00,H25S_out_0,32,640.00,3.55,28.21,25.01,5.00,32
4500.00,4680.00,H25S_out_0,27,540.00,2.66,28.37,28.23,5.00,27
4680.00,4860.00,H25S_out_0,26,520.00,2.63,27.84,27.51,5.00,26
4860.00,5040.00,H25S_out_0,26,520.00,2.60,27.89,27.74,5.00,26
5040.00,5220.00,H25S_out_0,26,520.00,3.08,27.25,23.48,5.00,26
5220.00,5400.00,H25S_out_0,28,560.00,2.82,27.74,27.57,5.00,28
5400.00,5580.00,H25S_out_0,31,620.00,3.05,28.28,28.22,5.00,31
5580.00,5760.00,H25S_out_0,29,580.00,2.90,27.95,27.79,5.00,29
5760.00,5940.00,H25S_out_0,22,440.00,2.13,28.80,28.63,5.00,22
5940.00,6120.00,H25S_out_0,31,620.00,2.98,29.01,28.88,5.00,31
6120.00,6300.00,H25S_out_0,30,600.00,2.83,29.60,29.45,5.00,30
6300.00,6480.00,H25S_out_0,27,540.00,2.76,27.39,27.21,5.00,27
6480.00,6660.00,H25S_out_0,28,560.00,2.71,28.79,28.67,5.00,28
6660.00,6840.00,H25S_out_0,27,540.00,3.21,26.88,23.39,5.00,27
6840.00,7020.00,H25S_out_0,31,620.00,3.02,28.70,28.51,5.00,31
7020.00,7200.00,H25S_out_0,29,580.00,2.73,29.62,29.48,5.00,29
7200.00,7380.00,H25S_out_0,21,420.00,2.16,27.20,26.99,5.00,21
7380.00,7560.00,H25S_out_0,34,680.00,3.71,28.73,25.48,5.00,34
7560.00,7740.00,H25S_out_0,25,500.00,2.47,28.37,28.14,5.00,25
7740.00,7920.00,H25S_out_0,26,520.00,2.55,28.44,28.27,5.00,26
7920.00,8100.00,H25S_out_0,26,520.00,3.09,27.10,23.39,5.00,26
8100.00,8280.00,H25S_out_0,30,600.00,3.04,27.80,27.43,5.00,30
8280.00,8460.00,H25S_out_0,28,560.00,2.77,28.21,28.04,5.00,28
8460.00,8640.00,H25S_out_0,28,560.00,2.74,28.66,28.44,5.00,28
8640.00,8820.00,H25S_out_0,23,460.00,2.22,28.87,28.72,5.00,23
8820.00,9000.00,H25S_out_0,34,680.00,3.45,27.60,27.40,5.00,34
9000.00,9180.00,H25S_out_0,21,420.00,2.03,28.89,28.68,5.00,21
9180.00,9360.00,H25S_out_0,27,540.00,2.68,28.16,27.98,5.00,27
9360.00,9540.00,H25S_out_0,28,560.00,3.15,28.27,24.72,5.00,28
9540.00,9720.00,H25S_out_0,32,640.00,3.19,28.00,27.82,5.00,32
9720.00,9900.00,H25S_out_0,28,560.00,2.76,28.29,28.19,5.00,28
9900.00,10080.00,H25S_out_0,21,420.00,2.08,28.19,28.00,5.00,21
10080.00,10260.00,H25S_out_0,23,460.00,2.33,27.63,27.40,5.00,23
10260.00,10440.00,H25S_out_0,28,560.00,2.77,28.25,28.06,5.00,28
10440.00,10620.00,H25S_out_0,28,560.00,2.86,27.42,27.16,5.00,28
10620.00,10800.00,H25S_out_0,30,600.00,2.90,28.99,28.78,5.00,30
10800.00,10980.00,H25S_out_0,29,580.00,2.84,28.49,28.35,5.00,29
10980.00,11160.00,H25S_out_0,30,600.00,2.97,28.20,28.07,5.00,30
11160.00,11340.00,H25S_out_0,30,600.00,2.97,28.17,28.04,5.00,30
11340.00,11520.00,H25S_out_0,30,600.00,3.00,27.99,27.82,5.00,30
11520.00,11700.00,H25S_out_0,28,560.00,2.68,29.16,29.05,5.00,28
11700.00,11880.00,H25S_out_0,25,500.00,2.45,28.42,28.34,5.00,25
11880.00,12060.00,H25S_out_0,35,700.00,3.31,29.40,29.33,5.00,35
12060.00,12240.00,H25S_out_0,25,500.00,2.46,28.45,28.24,5.00,25
12240.00,12420.00,H25S_out_0,26,520.00,2.60,28.04,27.75,5.00,26
12420.00,12600.00,H25S_out_0,38,760.00,3.57,29.63,29.56,5.00,38
12600.00,12780.00,H25S_out_0,28,560.00,2.73,28.67,28.48,5.00,28
12780.00,12960.00,H25S_out_0,29,580.00,2.90,27.84,27.74,5.00,29
12960.00,13140.00,H25S_out_0,28,560.00,2.86,27.70,27.47,5.00,29
13140.00,13320.00,H25S_out_0,31,620.00,3.09,28.00,27.86,5.00,31
13320.00,13500.00,H25S_out_0,32,640.00,3.59,28.02,24.74,5.00,32
13500.00,13680.00,H25S_out_0,27,540.00,2.59,29.04,28.91,5.00,27
13680.00,13860.00,H25S_out_0,25,500.00,2.57,27.17,27.06,5.00,25
13860.00,14040.00,H25S_out_0,27,540.00,3.25,26.72,23.11,5.00,27
14040.00,14220.00,H25S_out_0,33,660.00,3.30,27.99,27.75,5.00,33
14220.00,14400.00,H25S_out_0,23,460.00,2.32,27.74,27.59,5.00,23
