begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,60.00,H10E_8_5,0,0.00,0.00,-1.00,-1.00,-1.00,0
60.00,120.00,H10E_8_5,0,0.00,0.00,-1.00,-1.00,-1.00,0
120.00,180.00,H10E_8_5,0,0.00,0.00,-1.00,-1.00,-1.00,0
180.00,240.00,H10E_8_5,4,240.00,1.02,32.62,32.57,5.00,4
240.00,300.00,H10E_8_5,4,240.00,1.04,32.01,31.98,5.00,4
300.00,360.00,H10E_8_5,17,1020.00,4.76,29.83,29.78,5.00,17
360.00,420.00,H10E_8_5,26,1560.00,7.23,30.01,29.96,5.00,26
420.00,480.00,H10E_8_5,29,1740.00,8.12,29.81,29.76,5.00,29
480.00,540.00,H10E_8_5,20,1200.00,5.51,30.65,30.59,5.00,21
540.00,600.00,H10E_8_5,23,1380.00,6.23,30.51,30.46,5.00,22
600.00,660.00,H10E_8_5,24,1440.00,6.96,28.84,28.74,5.00,24
660.00,720.00,H10E_8_5,27,1620.00,7.50,30.09,30.01,5.00,27
720.00,780.00,H10E_8_5,25,1500.00,6.84,30.54,30.47,5.00,25
780.00,840.00,H10E_8_5,28,1680.00,8.00,29.18,29.15,5.00,28
840.00,900.00,H10E_8_5,28,1680.00,7.61,30.81,30.68,5.00,28
900.00,960.00,H10E_8_5,19,1140.00,5.20,30.53,30.46,5.00,19
960.00,1020.00,H10E_8_5,32,1920.00,9.23,29.65,29.58,5.00,33
1020.00,1080.00,H10E_8_5,23,1380.00,6.22,29.83,29.78,5.00,22
1080.00,1140.00,H10E_8_5,19,1140.00,5.21,30.41,30.37,5.00,19
1140.00,1200.00,H10E_8_5,34,2040.00,9.51,29.85,29.81,5.00,34
1200.00,1260.00,H10E_8_5,24,1440.00,6.57,30.50,30.45,5.00,24
1260.00,1320.00,H10E_8_5,26,1560.00,7.11,30.58,30.47,5.00,26
1320.00,1380.00,H10E_8_5,21,1260.00,5.74,30.53,30.51,5.00,21
1380.00,1440.00,H10E_8_5,29,1740.00,7.89,30.69,30.65,5.00,29
1440.00,1500.00,H10E_8_5,19,1140.00,5.18,31.18,31.08,5.00,20
1500.00,1560.00,H10E_8_5,26,1560.00,7.25,30.33,30.28,5.00,26
1560.00,1620.00,H10E_8_5,26,1560.00,7.36,28.76,28.74,5.00,25
1620.00,1680.00,H10E_8_5,25,1500.00,7.17,29.08,29.05,5.00,25
1680.00,1740.00,H10E_8_5,27,1620.00,7.54,29.91,29.86,5.00,27
1740.00,1800.00,H10E_8_5,26,1560.00,7.36,29.51,29.44,5.00,26
1800.00,1860.00,H10E_8_5,25,1500.00,7.35,28.44,28.34,5.00,25
1860.00,1920.00,H10E_8_5,23,1380.00,6.39,30.06,29.99,5.00,23
1920.00,1980.00,H10E_8_5,24,1440.00,6.49,30.89,30.83,5.00,24
1980.00,2040.00,H10E_8_5,30,1800.00,8.74,28.67,28.59,5.00,30
2040.00,2100.00,H10E_8_5,31,1860.00,8.64,29.94,29.89,5.00,31
2100.00,2160.00,H10E_8_5,29,1740.00,8.14,29.70,29.67,5.00,29
2160.00,2220.00,H10E_8_5,26,1560.00,7.53,28.91,28.78,5.00,26
2220.00,2280.00,H10E_8_5,22,1320.00,6.10,30.07,30.04,5.00,22
2280.00,2340.00,H10E_8_5,24,1440.00,6.70,29.95,29.86,5.00,24
2340.00,2400.00,H10E_8_5,23,1380.00,6.42,29.97,29.85,5.00,23
2400.00,2460.00,H10E_8_5,28,1680.00,7.94,29.42,29.37,5.00,28
2460.00,2520.00,H10E_8_5,31,1860.00,9.08,28.51,28.44,5.00,31
2520.00,2580.00,H10E_8_5,31,1860.00,9.07,28.50,28.47,5.00,31
2580.00,2640.00,H10E_8_5,24,1440.00,6.78,29.51,29.48,5.00,24
2640.00,2700.00,H10E_8_5,31,1860.00,8.95,29.28,29.25,5.00,32
2700.00,2760.00,H10E_8_5,27,1620.00,7.43,29.98,29.96,5.00,27
2760.00,2820.00,H10E_8_5,32,1920.00,9.11,29.17,29.16,5.00,31
2820.00,2880.00,H10E_8_5,26,1560.00,7.24,29.98,29.93,5.00,26
2880.00,2940.00,H10E_8_5,24,1440.00,6.83,29.37,29.29,5.00,24
2940.00,3000.00,H10E_8_5,24,1440.00,6.75,29.68,29.65,5.00,24
3000.00,3060.00,H10E_8_5,30,1800.00,8.54,29.38,29.28,5.00,30
3060.00,3120.00,H10E_8_5,28,1680.00,7.70,30.35,30.31,5.00,28
3120.00,3180.00,H10E_8_5,22,1320.00,6.08,30.26,30.13,5.00,22
3180.00,3240.00,H10E_8_5,32,1920.00,9.10,29.37,29.31,5.00,32
3240.00,3300.00,H10E_8_5,29,1740.00,8.09,30.07,30.01,5.00,30
3300.00,3360.00,H10E_8_5,21,1260.00,5.85,29.78,29.75,5.00,20
3360.00,3420.00,H10E_8_5,31,1860.00,8.98,28.83,28.77,5.00,31
3420.00,3480.00,H10E_8_5,29,1740.00,8.04,30.16,30.06,5.00,29
3480.00,3540.00,H10E_8_5,26,1560.00,7.48,29.05,29.00,5.00,27
3540.00,3600.00,H10E_8_5,37,2220.00,10.77,28.63,28.61,5.00,36
3600.00,3660.00,H10E_8_5,29,1740.00,8.11,29.84,29.81,5.00,29
3660.00,3720.00,H10E_8_5,25,1500.00,7.13,29.27,29.24,5.00,25
3720.00,3780.00,H10E_8_5,24,1440.00,6.83,29.31,29.27,5.00,24
3780.00,3840.00,H10E_8_5,32,1920.00,9.19,29.10,29.03,5.00,32
3840.00,3900.00,H10E_8_5,28,1680.00,8.11,28.93,28.79,5.00,28
3900.00,3960.00,H10E_8_5,29,1740.00,8.08,29.95,29.91,5.00,29
3960.00,4020.00,H10E_8_5,28,1680.00,8.12,28.81,28.73,5.00,28
4020.00,4080.00,H10E_8_5,34,2040.00,10.57,26.92,26.80,5.00,34
4080.00,4140.00,H10E_8_5,28,1680.00,8.15,28.67,28.63,5.00,28
4140.00,4200.00,H10E_8_5,36,2160.00,10.95,27.46,27.40,5.00,36
4200.00,4260.00,H10E_8_5,36,2160.00,11.12,27.34,27.27,5.00,37
4260.00,4320.00,H10E_8_5,37,2220.00,11.40,26.93,26.86,5.00,37
4320.00,4380.00,H10E_8_5,40,2400.00,12.29,27.07,27.03,5.00,39
4380.00,4440.00,H10E_8_5,39,2340.00,11.75,27.71,27.66,5.00,39
4440.00,4500.00,H10E_8_5,35,2100.00,10.97,26.72,26.59,5.00,35
4500.00,4560.00,H10E_8_5,40,2400.00,12.82,26.27,26.24,5.00,41
4560.00,4620.00,H10E_8_5,40,2400.00,12.78,25.87,25.85,5.00,39
4620.00,4680.00,H10E_8_5,41,2460.00,12.72,26.88,26.85,5.00,41
4680.00,4740.00,H10E_8_5,38,2280.00,12.24,25.93,25.88,5.00,38
4740.00,4800.00,H10E_8_5,40,2400.00,13.37,24.96,24.93,5.00,40
4800.00,4860.00,H10E_8_5,40,2400.00,13.79,24.23,24.17,5.00,40
4860.00,4920.00,H10E_8_5,41,2460.00,13.62,25.16,25.09,5.00,41
4920.00,4980.00,H10E_8_5,39,2340.00,12.33,26.40,26.36,5.00,39
4980.00,5040.00,H10E_8_5,41,2460.00,13.32,25.67,25.66,5.00,41
5040.00,5100.00,H10E_8_5,41,2460.00,13.68,25.01,24.97,5.00,41
5100.00,5160.00,H10E_8_5,41,2460.00,13.56,25.26,25.20,5.00,41
5160.00,5220.00,H10E_8_5,40,2400.00,13.95,24.18,23.90,5.00,40
5220.00,5280.00,H10E_8_5,39,2340.00,14.80,22.42,22.34,5.00,40
5280.00,5340.00,H10E_8_5,41,2460.00,13.30,25.29,25.21,5.00,40
5340.00,5400.00,H10E_8_5,37,2220.00,11.13,27.76,27.71,5.00,37
5400.00,5460.00,H10E_8_5,39,2340.00,11.98,27.16,27.13,5.00,39
5460.00,5520.00,H10E_8_5,40,2400.00,13.32,25.08,25.03,5.00,40
5520.00,5580.00,H10E_8_5,41,2460.00,13.89,24.69,24.60,5.00,41
5580.00,5640.00,H10E_8_5,40,2400.00,13.48,24.83,24.72,5.00,40
5640.00,5700.00,H10E_8_5,40,2400.00,12.86,25.99,25.93,5.00,40
5700.00,5760.00,H10E_8_5,38,2280.00,11.96,26.56,26.47,5.00,38
5760.00,5820.00,H10E_8_5,38,2280.00,11.56,27.55,27.40,5.00,38
5820.00,5880.00,H10E_8_5,40,2400.00,12.35,27.09,26.98,5.00,40
5880.00,5940.00,H10E_8_5,39,2340.00,11.61,28.03,28.00,5.00,39
5940.00,6000.00,H10E_8_5,37,2220.00,10.83,28.52,28.47,5.00,37
6000.00,6060.00,H10E_8_5,37,2220.00,10.94,28.20,28.18,5.00,37
6060.00,6120.00,H10E_8_5,39,2340.00,11.74,27.71,27.67,5.00,39
6120.00,6180.00,H10E_8_5,40,2400.00,13.17,25.38,25.32,5.00,40
6180.00,6240.00,H10E_8_5,40,2400.00,13.97,27.16,27.10,5.00,41
6240.00,6300.00,H10E_8_5,40,2400.00,12.11,26.86,24.20,5.00,39
6300.00,6360.00,H10E_8_5,39,2340.00,11.88,27.40,27.35,5.00,39
6360.00,6420.00,H10E_8_5,39,2340.00,11.90,27.36,27.30,5.00,39
6420.00,6480.00,H10E_8_5,40,2400.00,12.96,25.79,25.72,5.00,40
6480.00,6540.00,H10E_8_5,37,2220.00,11.61,26.59,26.55,5.00,37
6540.00,6600.00,H10E_8_5,38,2280.00,12.06,26.34,26.25,5.00,38
