begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H10E_in_3,71,2130.00,18.63,18.37,16.41,5.00,72
120.00,240.00,H10E_in_3,51,1530.00,28.08,7.50,7.41,5.00,50
240.00,360.00,H10E_in_3,55,1650.00,30.09,7.72,7.61,5.00,55
360.00,480.00,H10E_in_3,56,1680.00,30.73,7.67,7.59,5.00,56
480.00,600.00,H10E_in_3,56,1680.00,30.13,7.84,7.74,5.00,56
600.00,720.00,H10E_in_3,57,1710.00,30.36,8.09,7.97,5.00,58
720.00,840.00,H10E_in_3,55,1650.00,29.10,7.87,7.73,5.00,54
840.00,960.00,H10E_in_3,56,1680.00,30.18,7.85,7.73,5.00,56
960.00,1080.00,H10E_in_3,56,1680.00,30.22,7.82,7.72,5.00,56
1080.00,1200.00,H10E_in_3,56,1680.00,30.21,7.84,7.72,5.00,56
1200.00,1320.00,H10E_in_3,57,1710.00,30.73,7.80,7.73,5.00,57
1320.00,1440.00,H10E_in_3,56,1680.00,30.11,7.85,7.75,5.00,56
1440.00,1560.00,H10E_in_3,55,1650.00,29.83,7.81,7.68,5.00,55
1560.00,1680.00,H10E_in_3,58,1740.00,30.26,8.09,7.99,5.00,58
1680.00,1800.00,H10E_in_3,53,1590.00,29.72,7.52,7.43,5.00,53
1800.00,1920.00,H10E_in_3,56,1680.00,29.74,7.96,7.85,5.00,56
1920.00,2040.00,H10E_in_3,54,1620.00,29.47,7.77,7.63,5.00,54
2040.00,2160.00,H10E_in_3,50,1500.00,28.32,7.43,7.36,5.00,50
2160.00,2280.00,H10E_in_3,52,1560.00,28.96,7.56,7.48,5.00,52
2280.00,2400.00,H10E_in_3,55,1650.00,30.37,7.73,7.63,5.00,56
2400.00,2520.00,H10E_in_3,57,1710.00,30.05,8.03,7.92,5.00,57
2520.00,2640.00,H10E_in_3,53,1590.00,29.52,7.53,7.45,5.00,53
2640.00,2760.00,H10E_in_3,54,1620.00,29.18,7.71,7.64,5.00,53
2760.00,2880.00,H10E_in_3,53,1590.00,28.82,7.78,7.66,5.00,53
2880.00,3000.00,H10E_in_3,53,1590.00,29.32,7.65,7.56,5.00,54
3000.00,3120.00,H10E_in_3,54,1620.00,29.99,7.54,7.48,5.00,53
3120.00,3240.00,H10E_in_3,56,1680.00,30.09,7.83,7.75,5.00,56
3240.00,3360.00,H10E_in_3,53,1590.00,28.88,7.78,7.66,5.00,54
3360.00,3480.00,H10E_in_3,53,1590.00,29.67,7.59,7.48,5.00,53
3480.00,3600.00,H10E_in_3,55,1650.00,29.85,7.79,7.71,5.00,55
3600.00,3720.00,H10E_in_3,53,1590.00,29.61,7.45,7.38,5.00,52
3720.00,3840.00,H10E_in_3,55,1650.00,29.84,7.80,7.69,5.00,56
3840.00,3960.00,H10E_in_3,56,1680.00,30.32,7.83,7.73,5.00,56
3960.00,4080.00,H10E_in_3,51,1530.00,28.39,7.57,7.44,5.00,50
4080.00,4200.00,H10E_in_3,53,1590.00,28.98,7.72,7.62,5.00,53
4200.00,4320.00,H10E_in_3,54,1620.00,29.99,7.67,7.55,5.00,55
4320.00,4440.00,H10E_in_3,53,1590.00,28.99,7.69,7.58,5.00,53
4440.00,4560.00,H10E_in_3,57,1710.00,30.48,7.85,7.79,5.00,56
4560.00,4680.00,H10E_in_3,54,1620.00,30.36,7.60,7.53,5.00,55
4680.00,4800.00,H10E_in_3,54,1620.00,29.67,7.55,7.47,5.00,53
4800.00,4920.00,H10E_in_3,58,1740.00,30.18,8.12,8.01,5.00,58
4920.00,5040.00,H10E_in_3,55,1650.00,29.61,7.88,7.74,5.00,55
5040.00,5160.00,H10E_in_3,56,1680.00,30.39,7.84,7.74,5.00,57
5160.00,5280.00,H10E_in_3,55,1650.00,29.73,7.71,7.64,5.00,54
5280.00,5400.00,H10E_in_3,56,1680.00,30.48,7.77,7.68,5.00,57
5400.00,5520.00,H10E_in_3,54,1620.00,29.78,7.63,7.53,5.00,53
5520.00,5640.00,H10E_in_3,54,1620.00,29.45,7.72,7.64,5.00,54
5640.00,5760.00,H10E_in_3,56,1680.00,30.23,7.83,7.72,5.00,56
5760.00,5880.00,H10E_in_3,53,1590.00,29.19,7.75,7.64,5.00,54
5880.00,6000.00,H10E_in_3,55,1650.00,30.77,7.58,7.51,5.00,55
6000.00,6120.00,H10E_in_3,59,1770.00,30.47,8.22,8.10,5.00,59
6120.00,6240.00,H10E_in_3,51,1530.00,28.23,7.54,7.41,5.00,51
6240.00,6360.00,H10E_in_3,58,1740.00,30.21,8.06,7.95,5.00,57
6360.00,6480.00,H10E_in_3,54,1620.00,29.89,7.63,7.53,5.00,54
6480.00,6600.00,H10E_in_3,56,1680.00,29.97,7.92,7.79,5.00,56
6600.00,6720.00,H10E_in_3,54,1620.00,29.32,7.81,7.67,5.00,54
6720.00,6840.00,H10E_in_3,58,1740.00,30.22,8.14,8.00,5.00,58
6840.00,6960.00,H10E_in_3,54,1620.00,29.56,7.73,7.64,5.00,55
6960.00,7080.00,H10E_in_3,57,1710.00,30.29,7.92,7.82,5.00,56
7080.00,7200.00,H10E_in_3,55,1650.00,29.51,7.91,7.79,5.00,56
