begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,60.00,H10E_out_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
60.00,120.00,H10E_out_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
120.00,180.00,H10E_out_0,1,60.00,0.36,22.93,22.93,5.00,1
180.00,240.00,H10E_out_0,2,120.00,0.71,23.45,23.45,5.00,2
240.00,300.00,H10E_out_0,2,120.00,0.73,23.06,22.98,5.00,2
300.00,360.00,H10E_out_0,2,120.00,0.72,23.15,23.15,5.00,2
360.00,420.00,H10E_out_0,2,120.00,0.70,23.80,23.78,5.00,2
420.00,480.00,H10E_out_0,5,300.00,1.85,22.56,22.51,5.00,5
480.00,540.00,H10E_out_0,4,240.00,1.52,22.03,21.91,5.00,4
540.00,600.00,H10E_out_0,7,420.00,2.60,22.53,22.44,5.00,7
600.00,660.00,H10E_out_0,6,360.00,2.22,22.63,22.56,5.00,6
660.00,720.00,H10E_out_0,6,360.00,2.27,22.16,22.05,5.00,6
720.00,780.00,H10E_out_0,2,120.00,0.90,21.70,21.69,5.00,3
780.00,840.00,H10E_out_0,6,360.00,2.10,22.47,22.42,5.00,5
840.00,900.00,H10E_out_0,5,300.00,1.89,22.10,22.01,5.00,5
900.00,960.00,H10E_out_0,5,300.00,2.15,21.32,21.19,5.00,6
960.00,1020.00,H10E_out_0,8,480.00,2.81,22.35,22.28,5.00,7
1020.00,1080.00,H10E_out_0,7,420.00,2.55,22.92,22.87,5.00,7
1080.00,1140.00,H10E_out_0,4,240.00,1.51,22.11,22.01,5.00,4
1140.00,1200.00,H10E_out_0,7,420.00,2.55,22.89,22.86,5.00,7
1200.00,1260.00,H10E_out_0,8,480.00,3.05,21.86,21.83,5.00,8
1260.00,1320.00,H10E_out_0,6,360.00,2.18,22.90,22.89,5.00,6
1320.00,1380.00,H10E_out_0,5,300.00,1.82,22.93,22.88,5.00,5
1380.00,1440.00,H10E_out_0,6,360.00,2.22,22.53,22.51,5.00,6
1440.00,1500.00,H10E_out_0,11,660.00,3.92,23.40,23.37,5.00,11
1500.00,1560.00,H10E_out_0,7,420.00,2.55,22.89,22.88,5.00,7
1560.00,1620.00,H10E_out_0,4,240.00,1.45,23.00,22.95,5.00,4
1620.00,1680.00,H10E_out_0,6,360.00,2.17,23.03,23.00,5.00,6
1680.00,1740.00,H10E_out_0,8,480.00,2.92,22.87,22.84,5.00,8
1740.00,1800.00,H10E_out_0,9,540.00,3.27,22.99,22.94,5.00,9
1800.00,1860.00,H10E_out_0,4,240.00,1.44,23.09,23.09,5.00,4
1860.00,1920.00,H10E_out_0,9,540.00,3.19,23.57,23.52,5.00,9
1920.00,1980.00,H10E_out_0,7,420.00,2.53,23.10,23.05,5.00,7
1980.00,2040.00,H10E_out_0,6,360.00,2.15,23.25,23.21,5.00,6
2040.00,2100.00,H10E_out_0,9,540.00,3.26,23.07,23.00,5.00,9
2100.00,2160.00,H10E_out_0,8,480.00,2.97,22.46,22.42,5.00,8
2160.00,2220.00,H10E_out_0,7,420.00,2.60,22.50,22.45,5.00,7
2220.00,2280.00,H10E_out_0,5,300.00,1.94,21.52,21.51,5.00,5
2280.00,2340.00,H10E_out_0,6,360.00,3.83,19.33,13.06,5.00,6
2340.00,2400.00,H10E_out_0,6,360.00,2.19,22.81,22.79,5.00,6
2400.00,2460.00,H10E_out_0,6,360.00,2.22,22.61,22.56,5.00,6
2460.00,2520.00,H10E_out_0,6,360.00,2.24,22.34,22.30,5.00,6
2520.00,2580.00,H10E_out_0,4,240.00,1.53,21.91,21.84,5.00,4
2580.00,2640.00,H10E_out_0,5,300.00,1.83,22.82,22.74,5.00,5
2640.00,2700.00,H10E_out_0,6,360.00,2.24,22.48,22.37,5.00,6
2700.00,2760.00,H10E_out_0,5,300.00,1.79,23.43,23.23,5.00,5
2760.00,2820.00,H10E_out_0,7,420.00,2.51,23.31,23.22,5.00,7
2820.00,2880.00,H10E_out_0,5,300.00,1.88,22.33,22.18,5.00,5
2880.00,2940.00,H10E_out_0,3,180.00,1.13,22.05,22.04,5.00,3
2940.00,3000.00,H10E_out_0,7,420.00,2.57,22.79,22.74,5.00,7
3000.00,3060.00,H10E_out_0,5,300.00,1.70,24.57,24.53,5.00,5
3060.00,3120.00,H10E_out_0,4,240.00,1.56,21.68,21.31,5.00,4
3120.00,3180.00,H10E_out_0,6,360.00,2.21,22.67,22.62,5.00,6
3180.00,3240.00,H10E_out_0,3,180.00,1.08,23.29,23.13,5.00,3
3240.00,3300.00,H10E_out_0,3,180.00,1.04,24.11,24.08,5.00,3
3300.00,3360.00,H10E_out_0,3,180.00,1.07,23.47,23.29,5.00,3
3360.00,3420.00,H10E_out_0,5,300.00,1.65,25.26,25.22,5.00,5
3420.00,3480.00,H10E_out_0,5,300.00,1.85,22.70,22.58,5.00,5
3480.00,3540.00,H10E_out_0,5,300.00,1.77,23.55,23.51,5.00,5
3540.00,3600.00,H10E_out_0,3,180.00,1.11,22.73,22.55,5.00,3
3600.00,3660.00,H10E_out_0,8,480.00,2.92,22.97,22.86,5.00,8
3660.00,3720.00,H10E_out_0,7,420.00,2.45,23.86,23.79,5.00,7
3720.00,3780.00,H10E_out_0,7,420.00,2.58,22.70,22.58,5.00,7
3780.00,3840.00,H10E_out_0,4,240.00,1.47,22.71,22.64,5.00,4
3840.00,3900.00,H10E_out_0,3,180.00,1.04,24.00,23.98,5.00,3
3900.00,3960.00,H10E_out_0,6,360.00,2.19,22.86,22.81,5.00,6
3960.00,4020.00,H10E_out_0,5,300.00,1.80,23.34,23.15,5.00,5
4020.00,4080.00,H10E_out_0,6,360.00,2.25,22.27,22.23,5.00,6
4080.00,4140.00,H10E_out_0,6,360.00,2.19,22.94,22.78,5.00,6
4140.00,4200.00,H10E_out_0,4,240.00,1.41,23.60,23.57,5.00,4
4200.00,4260.00,H10E_out_0,5,300.00,1.91,21.81,21.79,5.00,5
4260.00,4320.00,H10E_out_0,5,300.00,1.85,22.68,22.57,5.00,5
4320.00,4380.00,H10E_out_0,6,360.00,2.17,23.08,23.01,5.00,6
4380.00,4440.00,H10E_out_0,6,360.00,2.13,23.67,23.51,5.00,6
4440.00,4500.00,H10E_out_0,9,540.00,3.18,23.73,23.60,5.00,9
4500.00,4560.00,H10E_out_0,5,300.00,1.93,21.64,21.58,5.00,5
4560.00,4620.00,H10E_out_0,2,120.00,0.74,22.68,22.67,5.00,2
4620.00,4680.00,H10E_out_0,3,180.00,1.04,24.05,23.93,5.00,3
4680.00,4740.00,H10E_out_0,4,240.00,1.48,22.88,22.59,5.00,4
4740.00,4800.00,H10E_out_0,8,480.00,2.87,23.28,23.22,5.00,8
4800.00,4860.00,H10E_out_0,4,240.00,1.36,24.62,24.47,5.00,4
4860.00,4920.00,H10E_out_0,5,300.00,1.69,24.84,24.60,5.00,5
4920.00,4980.00,H10E_out_0,4,240.00,1.49,22.70,22.34,5.00,4
4980.00,5040.00,H10E_out_0,5,300.00,1.72,24.30,24.23,5.00,5
5040.00,5100.00,H10E_out_0,4,240.00,1.40,23.97,23.81,5.00,4
5100.00,5160.00,H10E_out_0,4,240.00,1.29,25.96,25.93,5.00,4
5160.00,5220.00,H10E_out_0,6,360.00,2.13,23.68,23.52,5.00,6
5220.00,5280.00,H10E_out_0,5,300.00,1.78,23.69,23.46,5.00,5
5280.00,5340.00,H10E_out_0,5,300.00,1.82,23.01,22.87,5.00,5
5340.00,5400.00,H10E_out_0,5,300.00,1.66,25.37,25.10,5.00,5
5400.00,5460.00,H10E_out_0,5,300.00,1.71,24.73,24.36,5.00,5
5460.00,5520.00,H10E_out_0,4,240.00,1.40,23.95,23.78,5.00,4
5520.00,5580.00,H10E_out_0,3,180.00,1.07,23.40,23.38,5.00,3
5580.00,5640.00,H10E_out_0,7,420.00,2.49,23.55,23.39,5.00,7
5640.00,5700.00,H10E_out_0,6,360.00,2.04,24.86,24.53,5.00,6
5700.00,5760.00,H10E_out_0,7,420.00,2.44,23.98,23.93,5.00,7
5760.00,5820.00,H10E_out_0,5,300.00,1.65,25.28,25.20,5.00,5
5820.00,5880.00,H10E_out_0,4,240.00,1.46,23.03,22.84,5.00,4
5880.00,5940.00,H10E_out_0,4,240.00,1.39,24.16,24.01,5.00,4
5940.00,6000.00,H10E_out_0,4,240.00,1.40,23.89,23.76,5.00,4
6000.00,6060.00,H10E_out_0,5,300.00,1.69,24.76,24.67,5.00,5
6060.00,6120.00,H10E_out_0,5,300.00,1.75,24.13,23.81,5.00,5
6120.00,6180.00,H10E_out_0,6,360.00,2.06,24.49,24.24,5.00,6
6180.00,6240.00,H10E_out_0,4,240.00,1.37,24.40,24.28,5.00,4
6240.00,6300.00,H10E_out_0,5,300.00,1.73,24.23,24.09,5.00,5
6300.00,6360.00,H10E_out_0,5,300.00,1.71,24.65,24.43,5.00,5
6360.00,6420.00,H10E_out_0,4,240.00,1.43,23.67,23.23,5.00,4
6420.00,6480.00,H10E_out_0,4,240.00,1.53,22.06,21.82,5.00,4
6480.00,6540.00,H10E_out_0,6,360.00,2.12,24.00,23.63,5.00,6
6540.00,6600.00,H10E_out_0,7,420.00,2.42,24.20,24.09,5.00,7
6600.00,6660.00,H10E_out_0,3,180.00,1.07,23.46,23.46,5.00,3
6660.00,6720.00,H10E_out_0,7,420.00,2.63,22.35,22.17,5.00,7
6720.00,6780.00,H10E_out_0,5,300.00,1.67,25.01,24.93,5.00,5
6780.00,6840.00,H10E_out_0,7,420.00,2.38,24.58,24.51,5.00,7
6840.00,6900.00,H10E_out_0,5,300.00,1.80,23.50,23.15,5.00,5
6900.00,6960.00,H10E_out_0,4,240.00,1.33,25.00,24.99,5.00,4
6960.00,7020.00,H10E_out_0,7,420.00,2.36,24.97,24.73,5.00,7
7020.00,7080.00,H10E_out_0,4,240.00,1.35,24.75,24.70,5.00,4
7080.00,7140.00,H10E_out_0,4,240.00,1.40,23.86,23.76,5.00,4
7140.00,7200.00,H10E_out_0,6,360.00,2.24,22.58,22.31,5.00,6
7200.00,7260.00,H10E_out_0,4,240.00,1.37,24.46,24.38,5.00,4
7260.00,7320.00,H10E_out_0,7,420.00,2.45,24.41,23.86,5.00,7
7320.00,7380.00,H10E_out_0,3,180.00,1.02,24.69,24.48,5.00,3
7380.00,7440.00,H10E_out_0,4,240.00,1.40,23.90,23.86,5.00,4
7440.00,7500.00,H10E_out_0,3,180.00,1.05,24.10,23.90,5.00,3
7500.00,7560.00,H10E_out_0,4,240.00,1.34,25.08,24.97,5.00,4
7560.00,7620.00,H10E_out_0,7,420.00,2.39,24.57,24.45,5.00,7
7620.00,7680.00,H10E_out_0,6,360.00,2.06,24.70,24.30,5.00,6
7680.00,7740.00,H10E_out_0,3,180.00,1.04,24.13,24.12,5.00,3
7740.00,7800.00,H10E_out_0,4,240.00,1.38,24.40,24.08,5.00,4
7800.00,7860.00,H10E_out_0,4,240.00,1.51,22.12,22.01,5.00,4
7860.00,7920.00,H10E_out_0,7,420.00,2.35,24.82,24.80,5.00,7
7920.00,7980.00,H10E_out_0,3,180.00,1.08,23.33,23.24,5.00,3
7980.00,8040.00,H10E_out_0,5,300.00,1.68,24.93,24.87,5.00,5
8040.00,8100.00,H10E_out_0,3,180.00,0.95,26.48,26.42,5.00,3
8100.00,8160.00,H10E_out_0,3,180.00,1.06,24.04,23.69,5.00,3
8160.00,8220.00,H10E_out_0,5,300.00,1.70,24.58,24.44,5.00,5
8220.00,8280.00,H10E_out_0,4,240.00,1.47,22.77,22.65,5.00,4
8280.00,8340.00,H10E_out_0,5,300.00,1.73,24.11,24.08,5.00,5
8340.00,8400.00,H10E_out_0,3,180.00,1.01,24.74,24.65,5.00,3
8400.00,8460.00,H10E_out_0,8,480.00,2.74,24.53,24.37,5.00,8
8460.00,8520.00,H10E_out_0,4,240.00,1.52,22.19,22.00,5.00,4
8520.00,8580.00,H10E_out_0,3,180.00,1.10,25.69,25.67,5.00,4
8580.00,8640.00,H10E_out_0,6,360.00,1.98,24.26,23.68,5.00,5
8640.00,8700.00,H10E_out_0,5,300.00,1.74,24.07,23.98,5.00,5
8700.00,8760.00,H10E_out_0,6,360.00,1.96,25.57,25.50,5.00,6
8760.00,8820.00,H10E_out_0,6,360.00,2.03,24.67,24.58,5.00,6
8820.00,8880.00,H10E_out_0,5,300.00,1.78,23.71,23.37,5.00,5
8880.00,8940.00,H10E_out_0,5,300.00,1.69,24.72,24.69,5.00,5
8940.00,9000.00,H10E_out_0,2,120.00,0.68,24.70,24.69,5.00,2
9000.00,9060.00,H10E_out_0,5,300.00,1.87,22.72,22.28,5.00,5
9060.00,9120.00,H10E_out_0,6,360.00,2.07,24.25,24.17,5.00,6
9120.00,9180.00,H10E_out_0,6,360.00,2.02,24.90,24.81,5.00,6
9180.00,9240.00,H10E_out_0,5,300.00,1.66,25.15,25.08,5.00,5
9240.00,9300.00,H10E_out_0,5,300.00,1.74,24.17,24.01,5.00,5
9300.00,9360.00,H10E_out_0,4,240.00,1.37,24.51,24.41,5.00,4
9360.00,9420.00,H10E_out_0,7,420.00,2.41,24.35,24.24,5.00,7
9420.00,9480.00,H10E_out_0,3,180.00,1.02,24.67,24.56,5.00,3
9480.00,9540.00,H10E_out_0,7,420.00,2.43,24.12,23.99,5.00,7
9540.00,9600.00,H10E_out_0,4,240.00,1.42,23.59,23.49,5.00,4
9600.00,9660.00,H10E_out_0,6,360.00,1.98,25.22,25.21,5.00,6
9660.00,9720.00,H10E_out_0,7,420.00,2.43,24.28,24.04,5.00,7
9720.00,9780.00,H10E_out_0,8,480.00,2.84,23.55,23.47,5.00,8
9780.00,9840.00,H10E_out_0,5,300.00,1.61,26.00,25.94,5.00,5
9840.00,9900.00,H10E_out_0,7,420.00,2.28,25.71,25.63,5.00,7
9900.00,9960.00,H10E_out_0,5,300.00,1.66,25.23,25.14,5.00,5
9960.00,10020.00,H10E_out_0,3,180.00,1.00,25.07,25.05,5.00,3
10020.00,10080.00,H10E_out_0,6,360.00,1.96,25.58,25.47,5.00,6
10080.00,10140.00,H10E_out_0,6,360.00,2.20,22.92,22.76,5.00,6
10140.00,10200.00,H10E_out_0,4,240.00,1.40,23.89,23.87,5.00,4
10200.00,10260.00,H10E_out_0,4,240.00,1.37,24.45,24.41,5.00,4
10260.00,10320.00,H10E_out_0,5,300.00,1.85,22.76,22.46,5.00,5
10320.00,10380.00,H10E_out_0,4,240.00,1.48,22.67,22.56,5.00,4
10380.00,10440.00,H10E_out_0,5,300.00,1.66,25.17,25.15,5.00,5
10440.00,10500.00,H10E_out_0,4,240.00,1.33,25.04,25.03,5.00,4
10500.00,10560.00,H10E_out_0,8,480.00,2.97,22.71,22.47,5.00,8
10560.00,10620.00,H10E_out_0,3,180.00,1.02,24.42,24.42,5.00,3
10620.00,10680.00,H10E_out_0,6,360.00,2.41,20.84,20.74,5.00,6
10680.00,10740.00,H10E_out_0,5,300.00,1.77,23.98,23.54,5.00,5
10740.00,10800.00,H10E_out_0,5,300.00,1.84,22.98,22.65,5.00,5
10800.00,10860.00,H10E_out_0,3,180.00,1.16,21.82,21.52,5.00,3
10860.00,10920.00,H10E_out_0,7,420.00,2.39,24.47,24.46,5.00,7
10920.00,10980.00,H10E_out_0,4,240.00,1.34,24.89,24.85,5.00,4
10980.00,11040.00,H10E_out_0,5,300.00,1.76,23.70,23.64,5.00,5
11040.00,11100.00,H10E_out_0,5,300.00,1.70,24.68,24.56,5.00,5
11100.00,11160.00,H10E_out_0,6,360.00,2.23,22.66,22.45,5.00,6
11160.00,11220.00,H10E_out_0,5,300.00,1.81,23.21,23.04,5.00,5
11220.00,11280.00,H10E_out_0,4,240.00,1.40,24.00,23.85,5.00,4
11280.00,11340.00,H10E_out_0,4,240.00,1.39,24.01,23.95,5.00,4
11340.00,11400.00,H10E_out_0,4,240.00,1.34,25.02,24.95,5.00,4
11400.00,11460.00,H10E_out_0,4,240.00,1.37,24.41,24.34,5.00,4
11460.00,11520.00,H10E_out_0,7,420.00,2.50,23.64,23.33,5.00,7
11520.00,11580.00,H10E_out_0,5,300.00,1.88,22.41,22.16,5.00,5
11580.00,11640.00,H10E_out_0,3,180.00,0.99,25.32,25.24,5.00,3
11640.00,11700.00,H10E_out_0,7,420.00,2.55,23.24,22.91,5.00,7
11700.00,11760.00,H10E_out_0,3,180.00,1.08,23.09,23.05,5.00,3
11760.00,11820.00,H10E_out_0,4,240.00,1.36,24.62,24.59,5.00,4
11820.00,11880.00,H10E_out_0,7,420.00,2.34,25.02,24.97,5.00,7
11880.00,11940.00,H10E_out_0,5,300.00,1.69,24.71,24.66,5.00,5
11940.00,12000.00,H10E_out_0,5,300.00,1.75,24.04,23.80,5.00,5
12000.00,12060.00,H10E_out_0,5,300.00,1.66,25.18,25.16,5.00,5
12060.00,12120.00,H10E_out_0,7,420.00,2.49,23.63,23.44,5.00,7
12120.00,12180.00,H10E_out_0,6,360.00,2.05,24.41,24.34,5.00,6
12180.00,12240.00,H10E_out_0,5,300.00,1.63,25.61,25.53,5.00,5
12240.00,12300.00,H10E_out_0,7,420.00,2.44,24.21,23.91,5.00,7
12300.00,12360.00,H10E_out_0,5,300.00,1.87,22.41,22.30,5.00,5
12360.00,12420.00,H10E_out_0,7,420.00,2.41,24.26,24.16,5.00,7
12420.00,12480.00,H10E_out_0,5,300.00,1.76,23.77,23.65,5.00,5
12480.00,12540.00,H10E_out_0,6,360.00,2.15,23.42,23.21,5.00,6
12540.00,12600.00,H10E_out_0,5,300.00,1.76,24.01,23.74,5.00,5
12600.00,12660.00,H10E_out_0,6,360.00,2.06,24.41,24.25,5.00,6
12660.00,12720.00,H10E_out_0,5,300.00,1.78,23.63,23.47,5.00,5
12720.00,12780.00,H10E_out_0,5,300.00,1.69,24.70,24.66,5.00,5
12780.00,12840.00,H10E_out_0,4,240.00,1.31,25.40,25.37,5.00,4
12840.00,12900.00,H10E_out_0,7,420.00,2.43,24.25,24.00,5.00,7
12900.00,12960.00,H10E_out_0,8,480.00,2.86,23.70,23.33,5.00,8
12960.00,13020.00,H10E_out_0,4,240.00,1.36,24.59,24.53,5.00,4
13020.00,13080.00,H10E_out_0,5,300.00,1.66,25.16,25.09,5.00,5
13080.00,13140.00,H10E_out_0,5,300.00,1.69,24.92,24.69,5.00,5
