begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,60.00,H10E_5_2,3,180.00,0.94,26.95,26.73,5.00,3
60.00,120.00,H10E_5_2,12,720.00,3.55,28.26,28.20,5.00,12
120.00,180.00,H10E_5_2,20,1200.00,5.96,28.23,27.98,5.00,20
180.00,240.00,H10E_5_2,23,1380.00,7.03,27.55,27.25,5.00,23
240.00,300.00,H10E_5_2,22,1320.00,7.52,24.58,24.39,5.00,22
300.00,360.00,H10E_5_2,19,1140.00,6.00,26.47,26.41,5.00,19
360.00,420.00,H10E_5_2,27,1620.00,9.11,24.74,24.69,5.00,27
420.00,480.00,H10E_5_2,22,1320.00,7.46,24.68,24.59,5.00,22
480.00,540.00,H10E_5_2,25,1500.00,8.55,25.00,24.37,5.00,25
540.00,600.00,H10E_5_2,28,1680.00,11.24,22.39,20.75,5.00,28
600.00,660.00,H10E_5_2,30,1800.00,10.94,23.49,22.85,5.00,30
660.00,720.00,H10E_5_2,31,1860.00,13.86,20.24,19.01,5.00,32
720.00,780.00,H10E_5_2,27,1620.00,9.56,23.96,23.54,5.00,27
780.00,840.00,H10E_5_2,22,1320.00,7.64,24.08,23.99,5.00,22
840.00,900.00,H10E_5_2,21,1260.00,6.88,25.52,25.44,5.00,21
900.00,960.00,H10E_5_2,18,1080.00,5.85,25.73,25.66,5.00,18
960.00,1020.00,H10E_5_2,28,1680.00,9.61,24.57,24.29,5.00,28
1020.00,1080.00,H10E_5_2,26,1560.00,8.67,25.12,24.98,5.00,26
1080.00,1140.00,H10E_5_2,25,1500.00,8.61,24.33,24.20,5.00,25
1140.00,1200.00,H10E_5_2,28,1680.00,13.02,21.97,18.38,5.00,29
1200.00,1260.00,H10E_5_2,28,1680.00,11.97,20.81,19.49,5.00,28
1260.00,1320.00,H10E_5_2,22,1320.00,7.47,24.76,24.54,5.00,22
1320.00,1380.00,H10E_5_2,27,1620.00,9.86,23.17,22.83,5.00,27
1380.00,1440.00,H10E_5_2,32,1920.00,12.20,24.35,21.86,5.00,32
1440.00,1500.00,H10E_5_2,20,1200.00,6.56,25.46,25.40,5.00,20
1500.00,1560.00,H10E_5_2,28,1680.00,9.60,24.54,24.31,5.00,28
1560.00,1620.00,H10E_5_2,24,1440.00,8.45,24.05,23.68,5.00,24
1620.00,1680.00,H10E_5_2,26,1560.00,8.45,25.72,25.63,5.00,26
1680.00,1740.00,H10E_5_2,25,1500.00,8.23,25.42,25.31,5.00,25
1740.00,1800.00,H10E_5_2,28,1680.00,9.52,24.63,24.50,5.00,28
1800.00,1860.00,H10E_5_2,25,1500.00,8.31,25.16,25.06,5.00,25
1860.00,1920.00,H10E_5_2,24,1440.00,7.94,25.28,25.19,5.00,24
1920.00,1980.00,H10E_5_2,25,1500.00,8.47,24.65,24.59,5.00,25
1980.00,2040.00,H10E_5_2,26,1560.00,9.04,24.24,23.96,5.00,26
2040.00,2100.00,H10E_5_2,26,1560.00,8.64,25.15,25.08,5.00,26
2100.00,2160.00,H10E_5_2,27,1620.00,12.18,21.37,18.48,5.00,27
2160.00,2220.00,H10E_5_2,28,1680.00,10.69,22.44,21.83,5.00,28
2220.00,2280.00,H10E_5_2,27,1620.00,11.28,21.13,19.95,5.00,27
2280.00,2340.00,H10E_5_2,28,1680.00,13.14,19.68,17.75,5.00,28
2340.00,2400.00,H10E_5_2,22,1320.00,8.46,24.83,21.66,5.00,22
2400.00,2460.00,H10E_5_2,26,1560.00,9.01,24.23,24.04,5.00,26
2460.00,2520.00,H10E_5_2,29,1740.00,14.03,20.12,17.23,5.00,29
2520.00,2580.00,H10E_5_2,22,1320.00,7.85,23.76,23.36,5.00,22
2580.00,2640.00,H10E_5_2,21,1260.00,6.85,25.61,25.55,5.00,21
2640.00,2700.00,H10E_5_2,23,1380.00,9.01,22.78,21.28,5.00,23
2700.00,2760.00,H10E_5_2,25,1500.00,10.07,22.80,20.69,5.00,25
2760.00,2820.00,H10E_5_2,24,1440.00,8.28,24.82,24.17,5.00,24
2820.00,2880.00,H10E_5_2,22,1320.00,7.82,23.77,23.45,5.00,22
2880.00,2940.00,H10E_5_2,29,1740.00,9.70,25.11,25.03,5.00,30
2940.00,3000.00,H10E_5_2,23,1380.00,7.59,25.32,25.09,5.00,22
3000.00,3060.00,H10E_5_2,25,1500.00,10.46,23.76,20.31,5.00,26
3060.00,3120.00,H10E_5_2,30,1800.00,10.62,24.08,23.54,5.00,30
3120.00,3180.00,H10E_5_2,28,1680.00,11.77,23.01,19.97,5.00,29
3180.00,3240.00,H10E_5_2,24,1440.00,7.83,25.34,25.26,5.00,23
3240.00,3300.00,H10E_5_2,28,1680.00,11.39,23.65,20.49,5.00,28
3300.00,3360.00,H10E_5_2,20,1200.00,8.14,23.89,20.46,5.00,20
3360.00,3420.00,H10E_5_2,24,1440.00,7.80,25.69,25.65,5.00,24
3420.00,3480.00,H10E_5_2,30,1800.00,11.65,21.85,21.46,5.00,30
3480.00,3540.00,H10E_5_2,26,1560.00,11.49,22.59,18.86,5.00,26
3540.00,3600.00,H10E_5_2,25,1500.00,8.46,24.70,24.62,5.00,25
3600.00,3660.00,H10E_5_2,25,1500.00,8.86,23.68,23.53,5.00,25
3660.00,3720.00,H10E_5_2,28,1680.00,10.18,23.26,22.93,5.00,29
3720.00,3780.00,H10E_5_2,29,1740.00,11.55,22.33,20.91,5.00,28
3780.00,3840.00,H10E_5_2,29,1740.00,11.66,21.69,20.73,5.00,29
3840.00,3900.00,H10E_5_2,28,1680.00,12.00,22.26,19.45,5.00,28
3900.00,3960.00,H10E_5_2,24,1440.00,8.54,24.17,23.97,5.00,25
3960.00,4020.00,H10E_5_2,24,1440.00,7.85,24.92,24.88,5.00,23
4020.00,4080.00,H10E_5_2,26,1560.00,9.01,24.11,24.05,5.00,26
4080.00,4140.00,H10E_5_2,24,1440.00,8.27,24.32,24.19,5.00,24
4140.00,4200.00,H10E_5_2,24,1440.00,8.19,24.48,24.42,5.00,24
4200.00,4260.00,H10E_5_2,20,1200.00,7.31,23.18,22.79,5.00,20
4260.00,4320.00,H10E_5_2,17,1020.00,5.56,25.66,25.49,5.00,17
4320.00,4380.00,H10E_5_2,22,1320.00,8.17,23.45,23.23,5.00,23
4380.00,4440.00,H10E_5_2,21,1260.00,7.01,24.23,24.02,5.00,20
4440.00,4500.00,H10E_5_2,17,1020.00,5.85,24.29,24.20,5.00,17
4500.00,4560.00,H10E_5_2,26,1560.00,8.45,25.70,25.65,5.00,26
4560.00,4620.00,H10E_5_2,24,1440.00,8.32,24.24,24.05,5.00,24
4620.00,4680.00,H10E_5_2,18,1080.00,6.18,24.35,24.28,5.00,18
4680.00,4740.00,H10E_5_2,23,1380.00,7.71,24.91,24.85,5.00,23
4740.00,4800.00,H10E_5_2,20,1200.00,6.64,25.19,25.11,5.00,20
4800.00,4860.00,H10E_5_2,25,1500.00,8.50,24.60,24.50,5.00,25
4860.00,4920.00,H10E_5_2,21,1260.00,7.25,25.35,25.30,5.00,22
4920.00,4980.00,H10E_5_2,23,1380.00,7.36,25.24,25.11,5.00,23
4980.00,5040.00,H10E_5_2,26,1560.00,8.64,25.16,25.07,5.00,26
5040.00,5100.00,H10E_5_2,15,900.00,4.70,26.66,26.62,5.00,15
5100.00,5160.00,H10E_5_2,17,1020.00,5.59,25.59,25.54,5.00,18
5160.00,5220.00,H10E_5_2,20,1200.00,7.95,24.30,20.97,5.00,20
5220.00,5280.00,H10E_5_2,23,1380.00,7.57,25.35,25.31,5.00,23
5280.00,5340.00,H10E_5_2,28,1680.00,10.52,22.68,22.17,5.00,28
5340.00,5400.00,H10E_5_2,20,1200.00,6.76,24.78,24.64,5.00,20
5400.00,5460.00,H10E_5_2,28,1680.00,9.64,24.38,24.21,5.00,28
5460.00,5520.00,H10E_5_2,24,1440.00,10.06,23.03,19.88,5.00,24
5520.00,5580.00,H10E_5_2,16,960.00,5.49,24.34,24.30,5.00,16
5580.00,5640.00,H10E_5_2,19,1140.00,6.86,23.17,23.07,5.00,19
5640.00,5700.00,H10E_5_2,25,1500.00,8.79,23.91,23.69,5.00,25
5700.00,5760.00,H10E_5_2,19,1140.00,6.42,24.75,24.66,5.00,19
