begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,60.00,H10E_in_2,25,1500.00,7.81,26.83,26.67,5.00,25
60.00,120.00,H10E_in_2,28,1680.00,8.38,28.09,27.85,5.00,28
120.00,180.00,H10E_in_2,28,1680.00,8.62,27.18,27.08,5.00,28
180.00,240.00,H10E_in_2,28,1680.00,8.73,27.03,26.71,5.00,28
240.00,300.00,H10E_in_2,25,1500.00,7.89,26.63,26.40,5.00,25
300.00,360.00,H10E_in_2,27,1620.00,8.37,27.03,26.87,5.00,27
360.00,420.00,H10E_in_2,26,1560.00,8.44,25.92,25.66,5.00,26
420.00,480.00,H10E_in_2,26,1560.00,7.93,27.51,27.31,5.00,26
480.00,540.00,H10E_in_2,27,1620.00,8.21,27.52,27.41,5.00,27
540.00,600.00,H10E_in_2,27,1620.00,8.22,27.51,27.38,5.00,27
600.00,660.00,H10E_in_2,27,1620.00,8.34,27.08,26.97,5.00,27
660.00,720.00,H10E_in_2,28,1680.00,8.65,27.15,26.98,5.00,28
720.00,780.00,H10E_in_2,28,1680.00,8.37,28.07,27.87,5.00,28
780.00,840.00,H10E_in_2,28,1680.00,9.02,26.19,25.87,5.00,28
840.00,900.00,H10E_in_2,28,1680.00,8.34,28.21,27.99,5.00,28
900.00,960.00,H10E_in_2,27,1620.00,8.44,26.82,26.66,5.00,27
960.00,1020.00,H10E_in_2,27,1620.00,8.09,28.01,27.80,5.00,27
1020.00,1080.00,H10E_in_2,26,1560.00,8.20,26.62,26.41,5.00,26
1080.00,1140.00,H10E_in_2,28,1680.00,8.45,27.75,27.63,5.00,28
1140.00,1200.00,H10E_in_2,27,1620.00,8.15,27.87,27.60,5.00,27
1200.00,1260.00,H10E_in_2,26,1560.00,7.95,27.46,27.25,5.00,26
1260.00,1320.00,H10E_in_2,28,1680.00,8.43,27.80,27.67,5.00,28
1320.00,1380.00,H10E_in_2,27,1620.00,8.37,27.10,26.89,5.00,27
1380.00,1440.00,H10E_in_2,28,1680.00,8.27,28.41,28.23,5.00,28
1440.00,1500.00,H10E_in_2,27,1620.00,8.66,26.17,25.97,5.00,27
1500.00,1560.00,H10E_in_2,29,1740.00,8.90,27.30,27.15,5.00,29
