begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,60.00,H10E_out_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
60.00,120.00,H10E_out_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
120.00,180.00,H10E_out_0,1,60.00,0.36,23.30,23.30,5.00,1
180.00,240.00,H10E_out_0,2,120.00,0.69,24.11,24.09,5.00,2
240.00,300.00,H10E_out_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
300.00,360.00,H10E_out_0,3,180.00,1.13,22.16,22.15,5.00,3
360.00,420.00,H10E_out_0,1,60.00,0.36,23.21,23.21,5.00,1
420.00,480.00,H10E_out_0,4,240.00,1.50,22.23,22.21,5.00,4
480.00,540.00,H10E_out_0,8,480.00,2.92,22.96,22.83,5.00,8
540.00,600.00,H10E_out_0,5,300.00,1.92,21.74,21.70,5.00,5
600.00,660.00,H10E_out_0,2,120.00,0.80,20.76,20.72,5.00,2
660.00,720.00,H10E_out_0,5,300.00,1.84,22.74,22.67,5.00,5
720.00,780.00,H10E_out_0,5,300.00,1.98,21.11,21.04,5.00,5
780.00,840.00,H10E_out_0,4,240.00,1.39,23.94,23.93,5.00,4
840.00,900.00,H10E_out_0,6,360.00,2.18,22.95,22.90,5.00,6
900.00,960.00,H10E_out_0,3,180.00,1.19,21.24,21.03,5.00,3
960.00,1020.00,H10E_out_0,3,180.00,1.11,22.63,22.45,5.00,3
1020.00,1080.00,H10E_out_0,6,360.00,2.25,22.28,22.21,5.00,6
1080.00,1140.00,H10E_out_0,6,360.00,2.13,23.53,23.50,5.00,6
1140.00,1200.00,H10E_out_0,7,420.00,2.61,22.41,22.34,5.00,7
1200.00,1260.00,H10E_out_0,9,540.00,3.37,22.35,22.24,5.00,9
1260.00,1320.00,H10E_out_0,6,360.00,2.15,23.28,23.25,5.00,6
1320.00,1380.00,H10E_out_0,6,360.00,2.19,22.95,22.88,5.00,6
1380.00,1440.00,H10E_out_0,6,360.00,2.18,23.10,22.99,5.00,6
1440.00,1500.00,H10E_out_0,7,420.00,2.55,22.90,22.87,5.00,7
1500.00,1560.00,H10E_out_0,13,780.00,4.63,23.39,23.38,5.00,13
1560.00,1620.00,H10E_out_0,6,360.00,2.20,22.80,22.71,5.00,6
1620.00,1680.00,H10E_out_0,8,480.00,2.92,22.92,22.86,5.00,8
1680.00,1740.00,H10E_out_0,5,300.00,1.84,22.69,22.68,5.00,5
1740.00,1800.00,H10E_out_0,11,660.00,3.94,23.28,23.25,5.00,11
1800.00,1860.00,H10E_out_0,8,480.00,2.89,23.11,23.09,5.00,8
1860.00,1920.00,H10E_out_0,9,540.00,4.81,21.35,15.59,5.00,9
1920.00,1980.00,H10E_out_0,7,420.00,2.58,22.67,22.62,5.00,7
1980.00,2040.00,H10E_out_0,6,360.00,3.82,19.06,13.10,5.00,6
2040.00,2100.00,H10E_out_0,6,360.00,2.26,22.17,22.16,5.00,6
2100.00,2160.00,H10E_out_0,6,360.00,2.22,22.62,22.55,5.00,6
2160.00,2220.00,H10E_out_0,6,360.00,2.23,22.48,22.42,5.00,6
2220.00,2280.00,H10E_out_0,8,480.00,3.02,22.10,22.08,5.00,8
2280.00,2340.00,H10E_out_0,6,360.00,2.39,21.05,20.90,5.00,6
2340.00,2400.00,H10E_out_0,7,420.00,2.77,23.82,23.75,5.00,8
2400.00,2460.00,H10E_out_0,6,360.00,1.91,22.50,22.46,5.00,5
2460.00,2520.00,H10E_out_0,7,420.00,2.62,22.39,22.23,5.00,7
2520.00,2580.00,H10E_out_0,8,480.00,2.96,22.62,22.56,5.00,8
2580.00,2640.00,H10E_out_0,6,360.00,2.60,22.63,22.49,5.00,7
2640.00,2700.00,H10E_out_0,7,420.00,2.20,22.79,22.64,5.00,6
2700.00,2760.00,H10E_out_0,9,540.00,3.33,22.61,22.54,5.00,9
2760.00,2820.00,H10E_out_0,5,300.00,1.85,22.51,22.50,5.00,5
2820.00,2880.00,H10E_out_0,6,360.00,2.26,22.36,22.10,5.00,6
2880.00,2940.00,H10E_out_0,3,180.00,1.14,21.93,21.91,5.00,3
2940.00,3000.00,H10E_out_0,9,540.00,3.34,22.52,22.48,5.00,9
3000.00,3060.00,H10E_out_0,6,360.00,2.25,22.25,22.19,5.00,6
3060.00,3120.00,H10E_out_0,6,360.00,2.23,22.55,22.46,5.00,6
3120.00,3180.00,H10E_out_0,5,300.00,1.95,23.02,22.99,5.00,6
3180.00,3240.00,H10E_out_0,6,360.00,2.10,22.46,22.39,5.00,5
3240.00,3300.00,H10E_out_0,5,300.00,1.81,23.10,23.02,5.00,5
3300.00,3360.00,H10E_out_0,8,480.00,2.79,23.94,23.93,5.00,8
3360.00,3420.00,H10E_out_0,4,240.00,1.51,22.03,22.02,5.00,4
3420.00,3480.00,H10E_out_0,7,420.00,2.61,22.36,22.34,5.00,7
3480.00,3540.00,H10E_out_0,6,360.00,2.25,22.34,22.24,5.00,6
3540.00,3600.00,H10E_out_0,6,360.00,2.25,22.20,22.18,5.00,6
3600.00,3660.00,H10E_out_0,6,360.00,2.15,23.24,23.20,5.00,6
3660.00,3720.00,H10E_out_0,5,300.00,1.76,23.75,23.72,5.00,5
3720.00,3780.00,H10E_out_0,5,300.00,1.91,21.92,21.85,5.00,5
3780.00,3840.00,H10E_out_0,3,180.00,1.12,22.33,22.23,5.00,3
3840.00,3900.00,H10E_out_0,5,300.00,1.82,22.89,22.89,5.00,5
3900.00,3960.00,H10E_out_0,7,420.00,2.54,23.02,22.98,5.00,7
3960.00,4020.00,H10E_out_0,8,480.00,2.95,22.63,22.62,5.00,8
4020.00,4080.00,H10E_out_0,7,420.00,2.55,22.90,22.87,5.00,7
4080.00,4140.00,H10E_out_0,7,420.00,2.47,23.73,23.64,5.00,7
4140.00,4200.00,H10E_out_0,8,480.00,2.91,23.01,22.95,5.00,8
4200.00,4260.00,H10E_out_0,7,420.00,2.51,23.30,23.24,5.00,7
4260.00,4320.00,H10E_out_0,2,120.00,0.73,22.85,22.73,5.00,2
4320.00,4380.00,H10E_out_0,6,360.00,2.20,22.86,22.75,5.00,6
4380.00,4440.00,H10E_out_0,3,180.00,1.10,22.96,22.77,5.00,3
4440.00,4500.00,H10E_out_0,5,300.00,1.88,22.29,22.15,5.00,5
4500.00,4560.00,H10E_out_0,5,300.00,1.86,22.61,22.41,5.00,5
4560.00,4620.00,H10E_out_0,5,300.00,3.17,19.18,13.15,5.00,5
4620.00,4680.00,H10E_out_0,6,360.00,2.17,23.19,23.00,5.00,6
4680.00,4740.00,H10E_out_0,7,420.00,2.48,23.58,23.49,5.00,7
4740.00,4800.00,H10E_out_0,5,300.00,1.80,23.51,23.13,5.00,5
4800.00,4860.00,H10E_out_0,4,240.00,1.42,23.69,23.54,5.00,4
4860.00,4920.00,H10E_out_0,6,360.00,2.16,23.35,23.19,5.00,6
4920.00,4980.00,H10E_out_0,3,180.00,1.01,24.87,24.84,5.00,3
4980.00,5040.00,H10E_out_0,8,480.00,2.83,23.83,23.59,5.00,8
5040.00,5100.00,H10E_out_0,2,120.00,0.69,24.14,24.09,5.00,2
5100.00,5160.00,H10E_out_0,4,240.00,1.44,23.20,23.13,5.00,4
5160.00,5220.00,H10E_out_0,7,420.00,2.71,21.75,21.56,5.00,7
5220.00,5280.00,H10E_out_0,4,240.00,1.50,22.66,22.27,5.00,4
5280.00,5340.00,H10E_out_0,4,240.00,1.35,24.77,24.71,5.00,4
5340.00,5400.00,H10E_out_0,3,180.00,1.06,23.63,23.56,5.00,3
5400.00,5460.00,H10E_out_0,4,240.00,1.42,23.61,23.44,5.00,4
5460.00,5520.00,H10E_out_0,5,300.00,1.78,23.53,23.35,5.00,5
5520.00,5580.00,H10E_out_0,5,300.00,1.69,24.92,24.66,5.00,5
5580.00,5640.00,H10E_out_0,7,420.00,2.54,23.11,22.98,5.00,7
5640.00,5700.00,H10E_out_0,4,240.00,1.43,23.53,23.38,5.00,4
5700.00,5760.00,H10E_out_0,6,360.00,2.10,23.98,23.86,5.00,6
5760.00,5820.00,H10E_out_0,3,180.00,1.13,22.31,22.19,5.00,3
5820.00,5880.00,H10E_out_0,4,240.00,1.52,22.13,21.88,5.00,4
5880.00,5940.00,H10E_out_0,5,300.00,1.86,22.49,22.38,5.00,5
5940.00,6000.00,H10E_out_0,7,420.00,2.47,23.85,23.63,5.00,7
6000.00,6060.00,H10E_out_0,4,240.00,1.50,22.50,22.23,5.00,4
6060.00,6120.00,H10E_out_0,6,360.00,2.33,21.61,21.47,5.00,6
6120.00,6180.00,H10E_out_0,3,180.00,1.07,23.59,23.42,5.00,3
6180.00,6240.00,H10E_out_0,3,180.00,1.12,22.53,22.35,5.00,3
6240.00,6300.00,H10E_out_0,8,480.00,3.04,21.97,21.93,5.00,8
6300.00,6360.00,H10E_out_0,5,300.00,1.80,23.27,23.21,5.00,5
6360.00,6420.00,H10E_out_0,5,300.00,1.81,23.14,23.03,5.00,5
6420.00,6480.00,H10E_out_0,7,420.00,2.48,23.57,23.51,5.00,7
6480.00,6540.00,H10E_out_0,7,420.00,2.66,22.29,21.93,5.00,7
6540.00,6600.00,H10E_out_0,5,300.00,2.01,20.97,20.74,5.00,5
6600.00,6660.00,H10E_out_0,3,180.00,1.14,22.39,21.95,5.00,3
6660.00,6720.00,H10E_out_0,4,240.00,1.52,22.00,21.88,5.00,4
6720.00,6780.00,H10E_out_0,11,660.00,3.85,23.85,23.81,5.00,11
6780.00,6840.00,H10E_out_0,5,300.00,1.91,21.99,21.83,5.00,5
6840.00,6900.00,H10E_out_0,7,420.00,2.56,22.87,22.75,5.00,7
6900.00,6960.00,H10E_out_0,3,180.00,1.23,20.38,20.38,5.00,3
6960.00,7020.00,H10E_out_0,9,540.00,3.08,24.48,24.35,5.00,9
7020.00,7080.00,H10E_out_0,4,240.00,1.42,23.47,23.47,5.00,4
7080.00,7140.00,H10E_out_0,5,300.00,1.88,22.44,22.16,5.00,5
7140.00,7200.00,H10E_out_0,5,300.00,1.73,24.08,24.05,5.00,5
7200.00,7260.00,H10E_out_0,3,180.00,1.07,23.47,23.43,5.00,3
7260.00,7320.00,H10E_out_0,5,300.00,1.94,21.61,21.51,5.00,5
7320.00,7380.00,H10E_out_0,4,240.00,1.45,23.05,23.04,5.00,4
7380.00,7440.00,H10E_out_0,7,420.00,2.58,22.76,22.60,5.00,7
7440.00,7500.00,H10E_out_0,4,240.00,1.58,21.37,21.13,5.00,4
7500.00,7560.00,H10E_out_0,3,180.00,1.05,23.96,23.81,5.00,3
7560.00,7620.00,H10E_out_0,5,300.00,1.67,25.07,25.01,5.00,5
7620.00,7680.00,H10E_out_0,4,240.00,1.53,22.08,21.76,5.00,4
7680.00,7740.00,H10E_out_0,6,360.00,2.26,22.21,22.14,5.00,6
7740.00,7800.00,H10E_out_0,2,120.00,0.74,22.62,22.39,5.00,2
7800.00,7860.00,H10E_out_0,5,300.00,1.88,22.32,22.21,5.00,5
7860.00,7920.00,H10E_out_0,4,240.00,1.50,22.37,22.19,5.00,4
7920.00,7980.00,H10E_out_0,3,180.00,1.19,21.02,21.00,5.00,3
7980.00,8040.00,H10E_out_0,5,300.00,1.99,21.13,20.95,5.00,5
8040.00,8100.00,H10E_out_0,5,300.00,1.73,24.10,24.09,5.00,5
8100.00,8160.00,H10E_out_0,4,240.00,1.33,24.98,24.98,5.00,4
8160.00,8220.00,H10E_out_0,3,180.00,1.04,24.31,24.10,5.00,3
8220.00,8280.00,H10E_out_0,4,240.00,1.40,23.87,23.80,5.00,4
8280.00,8340.00,H10E_out_0,5,300.00,1.69,24.77,24.69,5.00,5
8340.00,8400.00,H10E_out_0,6,360.00,2.14,23.52,23.31,5.00,6
8400.00,8460.00,H10E_out_0,3,180.00,1.05,23.90,23.85,5.00,3
8460.00,8520.00,H10E_out_0,5,300.00,1.77,23.81,23.58,5.00,5
8520.00,8580.00,H10E_out_0,3,180.00,1.09,23.31,22.97,5.00,3
8580.00,8640.00,H10E_out_0,7,420.00,2.56,22.97,22.82,5.00,7
8640.00,8700.00,H10E_out_0,5,300.00,1.72,24.29,24.22,5.00,5
8700.00,8760.00,H10E_out_0,4,240.00,1.33,25.02,25.02,5.00,4
8760.00,8820.00,H10E_out_0,2,120.00,0.65,25.62,25.48,5.00,2
8820.00,8880.00,H10E_out_0,4,240.00,1.44,23.37,23.18,5.00,4
8880.00,8940.00,H10E_out_0,8,480.00,2.82,23.92,23.68,5.00,8
8940.00,9000.00,H10E_out_0,4,240.00,1.51,22.79,22.09,5.00,4
9000.00,9060.00,H10E_out_0,4,240.00,1.30,25.63,25.59,5.00,4
9060.00,9120.00,H10E_out_0,5,300.00,2.18,22.45,22.34,5.00,6
9120.00,9180.00,H10E_out_0,4,240.00,1.19,22.50,22.22,5.00,3
9180.00,9240.00,H10E_out_0,4,240.00,1.41,23.71,23.64,5.00,4
9240.00,9300.00,H10E_out_0,4,240.00,1.36,24.62,24.51,5.00,4
9300.00,9360.00,H10E_out_0,5,300.00,1.69,24.73,24.68,5.00,5
9360.00,9420.00,H10E_out_0,5,300.00,1.70,24.48,24.46,5.00,5
9420.00,9480.00,H10E_out_0,5,300.00,1.68,24.86,24.75,5.00,5
9480.00,9540.00,H10E_out_0,4,240.00,1.30,25.87,25.68,5.00,4
9540.00,9600.00,H10E_out_0,5,300.00,1.69,24.81,24.61,5.00,5
9600.00,9660.00,H10E_out_0,5,300.00,1.79,23.64,23.23,5.00,5
9660.00,9720.00,H10E_out_0,3,180.00,1.12,22.69,22.26,5.00,3
9720.00,9780.00,H10E_out_0,6,360.00,1.98,25.33,25.22,5.00,6
9780.00,9840.00,H10E_out_0,5,300.00,1.64,25.45,25.39,5.00,5
9840.00,9900.00,H10E_out_0,2,120.00,0.67,25.09,25.00,5.00,2
9900.00,9960.00,H10E_out_0,4,240.00,1.31,25.55,25.54,5.00,4
9960.00,10020.00,H10E_out_0,5,300.00,1.72,24.46,24.24,5.00,5
10020.00,10080.00,H10E_out_0,4,240.00,1.30,25.81,25.68,5.00,4
10080.00,10140.00,H10E_out_0,4,240.00,1.35,24.68,24.64,5.00,4
10140.00,10200.00,H10E_out_0,3,180.00,1.02,24.50,24.46,5.00,3
10200.00,10260.00,H10E_out_0,6,360.00,1.96,25.65,25.55,5.00,6
10260.00,10320.00,H10E_out_0,3,180.00,0.98,25.69,25.51,5.00,3
10320.00,10380.00,H10E_out_0,5,300.00,1.76,23.91,23.66,5.00,5
10380.00,10440.00,H10E_out_0,3,180.00,1.11,22.95,22.55,5.00,3
10440.00,10500.00,H10E_out_0,7,420.00,2.52,23.43,23.15,5.00,7
10500.00,10560.00,H10E_out_0,6,360.00,2.02,24.82,24.77,5.00,6
10560.00,10620.00,H10E_out_0,4,240.00,1.35,25.16,24.68,5.00,4
10620.00,10680.00,H10E_out_0,5,300.00,1.77,23.83,23.50,5.00,5
10680.00,10740.00,H10E_out_0,5,300.00,1.77,23.80,23.56,5.00,5
10740.00,10800.00,H10E_out_0,5,300.00,1.61,26.02,25.80,5.00,5
10800.00,10860.00,H10E_out_0,5,300.00,1.79,23.47,23.25,5.00,5
10860.00,10920.00,H10E_out_0,4,240.00,1.40,24.00,23.76,5.00,4
10920.00,10980.00,H10E_out_0,6,360.00,1.94,25.88,25.79,5.00,6
10980.00,11040.00,H10E_out_0,3,180.00,0.96,26.12,26.11,5.00,3
11040.00,11100.00,H10E_out_0,4,240.00,1.30,25.75,25.73,5.00,4
11100.00,11160.00,H10E_out_0,4,240.00,1.41,23.94,23.59,5.00,4
11160.00,11220.00,H10E_out_0,5,300.00,1.70,24.55,24.50,5.00,5
11220.00,11280.00,H10E_out_0,4,240.00,1.41,23.73,23.59,5.00,4
11280.00,11340.00,H10E_out_0,4,240.00,1.46,23.24,22.87,5.00,4
11340.00,11400.00,H10E_out_0,4,240.00,1.40,23.97,23.86,5.00,4
11400.00,11460.00,H10E_out_0,6,360.00,2.03,24.67,24.64,5.00,6
11460.00,11520.00,H10E_out_0,4,240.00,1.37,24.29,24.28,5.00,4
11520.00,11580.00,H10E_out_0,7,420.00,2.30,25.67,25.37,5.00,7
11580.00,11640.00,H10E_out_0,5,300.00,1.66,25.20,25.12,5.00,5
11640.00,11700.00,H10E_out_0,3,180.00,0.98,25.62,25.60,5.00,3
11700.00,11760.00,H10E_out_0,5,300.00,1.81,23.20,23.00,5.00,5
11760.00,11820.00,H10E_out_0,5,300.00,1.65,25.59,25.29,5.00,5
11820.00,11880.00,H10E_out_0,5,300.00,1.66,25.09,25.04,5.00,5
11880.00,11940.00,H10E_out_0,5,300.00,1.82,23.24,22.86,5.00,5
11940.00,12000.00,H10E_out_0,5,300.00,1.70,24.55,24.46,5.00,5
12000.00,12060.00,H10E_out_0,3,180.00,1.03,24.40,24.32,5.00,3
12060.00,12120.00,H10E_out_0,3,180.00,1.17,21.72,21.44,5.00,3
12120.00,12180.00,H10E_out_0,6,360.00,2.03,24.67,24.63,5.00,6
12180.00,12240.00,H10E_out_0,5,300.00,1.66,25.15,25.12,5.00,5
12240.00,12300.00,H10E_out_0,2,120.00,0.68,24.66,24.66,5.00,2
12300.00,12360.00,H10E_out_0,6,360.00,2.14,23.79,23.32,5.00,6
12360.00,12420.00,H10E_out_0,5,300.00,1.63,25.64,25.53,5.00,5
12420.00,12480.00,H10E_out_0,5,300.00,1.74,24.21,23.96,5.00,5
12480.00,12540.00,H10E_out_0,6,360.00,1.91,26.37,26.12,5.00,6
12540.00,12600.00,H10E_out_0,6,360.00,1.95,25.79,25.62,5.00,6
12600.00,12660.00,H10E_out_0,6,360.00,2.07,24.32,24.20,5.00,6
12660.00,12720.00,H10E_out_0,6,360.00,1.97,25.41,25.35,5.00,6
12720.00,12780.00,H10E_out_0,6,360.00,2.00,25.00,24.99,5.00,6
12780.00,12840.00,H10E_out_0,5,300.00,1.79,23.39,23.24,5.00,5
12840.00,12900.00,H10E_out_0,7,420.00,2.39,24.44,24.40,5.00,7
12900.00,12960.00,H10E_out_0,7,420.00,2.43,24.20,24.04,5.00,7
12960.00,13020.00,H10E_out_0,5,300.00,1.60,26.11,25.99,5.00,5
13020.00,13080.00,H10E_out_0,5,300.00,1.75,23.91,23.75,5.00,5
13080.00,13140.00,H10E_out_0,4,240.00,1.37,24.51,24.42,5.00,4
