begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,120.00,H10E_7_5,2,60.00,0.24,34.71,34.71,5.00,2
120.00,240.00,H10E_7_5,10,300.00,1.28,32.48,32.43,5.00,10
240.00,360.00,H10E_7_5,41,1230.00,5.74,29.82,29.78,5.00,41
360.00,480.00,H10E_7_5,74,2220.00,11.38,27.14,27.08,5.00,74
480.00,600.00,H10E_7_5,81,2430.00,13.25,25.81,25.76,5.00,82
600.00,720.00,H10E_7_5,63,1890.00,8.97,28.85,28.81,5.00,62
720.00,840.00,H10E_7_5,73,2190.00,10.87,28.06,27.99,5.00,73
840.00,960.00,H10E_7_5,73,2190.00,11.30,27.25,27.15,5.00,74
960.00,1080.00,H10E_7_5,80,2400.00,14.48,23.19,23.09,5.00,80
1080.00,1200.00,H10E_7_5,80,2400.00,12.85,25.73,25.67,5.00,79
1200.00,1320.00,H10E_7_5,78,2340.00,13.43,24.28,24.20,5.00,78
1320.00,1440.00,H10E_7_5,78,2340.00,12.80,25.48,25.38,5.00,78
1440.00,1560.00,H10E_7_5,79,2370.00,13.64,24.24,24.14,5.00,79
1560.00,1680.00,H10E_7_5,79,2370.00,13.99,23.65,23.53,5.00,79
1680.00,1800.00,H10E_7_5,80,2400.00,14.16,23.59,23.55,5.00,80
1800.00,1920.00,H10E_7_5,79,2370.00,13.36,24.69,24.63,5.00,79
1920.00,2040.00,H10E_7_5,81,2430.00,14.56,23.25,23.18,5.00,81
2040.00,2160.00,H10E_7_5,77,2310.00,13.73,23.76,23.67,5.00,78
2160.00,2280.00,H10E_7_5,78,2340.00,15.23,21.71,21.09,5.00,77
2280.00,2400.00,H10E_7_5,77,2310.00,15.18,21.20,21.13,5.00,77
2400.00,2520.00,H10E_7_5,80,2400.00,15.49,21.55,21.52,5.00,80
2520.00,2640.00,H10E_7_5,78,2340.00,16.00,20.44,20.31,5.00,78
2640.00,2760.00,H10E_7_5,76,2280.00,14.97,21.25,21.15,5.00,76
2760.00,2880.00,H10E_7_5,75,2250.00,16.36,19.22,19.11,5.00,75
2880.00,3000.00,H10E_7_5,77,2310.00,16.93,19.07,18.95,5.00,77
3000.00,3120.00,H10E_7_5,78,2340.00,15.18,21.54,21.41,5.00,78
3120.00,3240.00,H10E_7_5,78,2340.00,13.17,24.75,24.68,5.00,78
3240.00,3360.00,H10E_7_5,78,2340.00,13.55,24.09,23.99,5.00,78
3360.00,3480.00,H10E_7_5,79,2370.00,15.20,21.72,21.66,5.00,79
3480.00,3600.00,H10E_7_5,77,2310.00,15.57,21.00,20.79,5.00,78
3600.00,3720.00,H10E_7_5,78,2340.00,16.36,19.89,19.70,5.00,77
3720.00,3840.00,H10E_7_5,80,2400.00,15.00,22.28,22.22,5.00,80
3840.00,3960.00,H10E_7_5,78,2340.00,14.94,21.88,21.79,5.00,79
3960.00,4080.00,H10E_7_5,76,2280.00,17.01,19.01,18.83,5.00,76
4080.00,4200.00,H10E_7_5,80,2400.00,15.10,21.86,21.77,5.00,79
4200.00,4320.00,H10E_7_5,78,2340.00,14.80,22.17,22.13,5.00,79
4320.00,4440.00,H10E_7_5,79,2370.00,15.27,21.49,21.41,5.00,78
4440.00,4560.00,H10E_7_5,77,2310.00,15.23,21.20,21.07,5.00,77
4560.00,4680.00,H10E_7_5,76,2280.00,16.40,19.43,19.32,5.00,77
4680.00,4800.00,H10E_7_5,77,2310.00,16.82,19.17,19.06,5.00,76
4800.00,4920.00,H10E_7_5,78,2340.00,15.77,20.68,20.61,5.00,78
4920.00,5040.00,H10E_7_5,77,2310.00,14.49,22.32,22.30,5.00,78
5040.00,5160.00,H10E_7_5,78,2340.00,14.30,22.61,22.56,5.00,77
5160.00,5280.00,H10E_7_5,78,2340.00,14.35,22.70,22.64,5.00,78
5280.00,5400.00,H10E_7_5,76,2280.00,15.78,20.22,20.10,5.00,77
5400.00,5520.00,H10E_7_5,74,2220.00,17.76,17.65,17.33,5.00,73
5520.00,5640.00,H10E_7_5,76,2280.00,17.23,18.44,18.38,5.00,76
5640.00,5760.00,H10E_7_5,75,2250.00,16.08,19.55,19.44,5.00,75
5760.00,5880.00,H10E_7_5,76,2280.00,16.24,19.97,19.50,5.00,76
5880.00,6000.00,H10E_7_5,76,2280.00,17.26,18.44,18.35,5.00,76
6000.00,6120.00,H10E_7_5,77,2310.00,16.10,20.28,20.17,5.00,78
6120.00,6240.00,H10E_7_5,78,2340.00,15.77,20.51,20.35,5.00,77
6240.00,6360.00,H10E_7_5,77,2310.00,14.65,22.07,21.90,5.00,77
6360.00,6480.00,H10E_7_5,79,2370.00,15.78,20.93,20.86,5.00,79
6480.00,6600.00,H10E_7_5,77,2310.00,15.79,20.44,20.31,5.00,77
6600.00,6720.00,H10E_7_5,77,2310.00,15.65,20.67,20.50,5.00,77
6720.00,6840.00,H10E_7_5,76,2280.00,17.12,18.68,18.49,5.00,76
6840.00,6960.00,H10E_7_5,77,2310.00,16.70,19.29,19.21,5.00,77
6960.00,7080.00,H10E_7_5,76,2280.00,17.15,18.54,18.46,5.00,76
7080.00,7200.00,H10E_7_5,75,2250.00,16.95,18.92,18.69,5.00,76
