begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,60.00,H10E_in_4,27,1620.00,8.52,26.71,26.41,5.00,27
60.00,120.00,H10E_in_4,28,1680.00,8.61,27.38,27.11,5.00,28
120.00,180.00,H10E_in_4,27,1620.00,8.23,27.57,27.36,5.00,27
180.00,240.00,H10E_in_4,24,1440.00,7.37,27.31,27.12,5.00,24
240.00,300.00,H10E_in_4,27,1620.00,8.39,27.14,26.83,5.00,27
300.00,360.00,H10E_in_4,28,1680.00,8.53,27.52,27.35,5.00,28
360.00,420.00,H10E_in_4,27,1620.00,8.49,26.76,26.49,5.00,27
420.00,480.00,H10E_in_4,26,1560.00,8.18,26.66,26.49,5.00,26
480.00,540.00,H10E_in_4,27,1620.00,8.37,26.99,26.89,5.00,27
540.00,600.00,H10E_in_4,26,1560.00,8.09,26.99,26.77,5.00,26
600.00,660.00,H10E_in_4,30,1800.00,8.67,29.01,28.85,5.00,30
660.00,720.00,H10E_in_4,28,1680.00,8.36,28.02,27.90,5.00,28
720.00,780.00,H10E_in_4,27,1620.00,8.22,27.68,27.38,5.00,27
780.00,840.00,H10E_in_4,26,1560.00,8.05,27.06,26.93,5.00,26
840.00,900.00,H10E_in_4,24,1440.00,7.38,27.22,27.08,5.00,24
900.00,960.00,H10E_in_4,27,1620.00,8.33,27.18,27.00,5.00,27
960.00,1020.00,H10E_in_4,27,1620.00,8.03,28.18,28.03,5.00,27
1020.00,1080.00,H10E_in_4,29,1740.00,9.07,26.90,26.65,5.00,29
1080.00,1140.00,H10E_in_4,27,1620.00,8.21,27.56,27.39,5.00,27
1140.00,1200.00,H10E_in_4,29,1740.00,8.67,28.05,27.88,5.00,29
1200.00,1260.00,H10E_in_4,29,1740.00,8.66,28.10,27.91,5.00,29
1260.00,1320.00,H10E_in_4,26,1560.00,7.71,28.27,28.11,5.00,26
1320.00,1380.00,H10E_in_4,29,1740.00,9.18,26.49,26.33,5.00,29
1380.00,1440.00,H10E_in_4,28,1680.00,8.71,27.07,26.80,5.00,28
