begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H10W_1_0,16,320.00,1.53,29.26,29.07,5.00,16
180.00,360.00,H10W_1_0,40,800.00,3.79,29.49,29.32,5.00,40
360.00,540.00,H10W_1_0,40,800.00,3.92,28.50,28.37,5.00,40
540.00,720.00,H10W_1_0,38,760.00,3.71,28.73,28.44,5.00,38
720.00,900.00,H10W_1_0,47,940.00,4.64,28.67,28.45,5.00,48
900.00,1080.00,H10W_1_0,45,900.00,4.25,29.56,29.40,5.00,45
1080.00,1260.00,H10W_1_0,41,820.00,3.95,28.92,28.80,5.00,41
1260.00,1440.00,H10W_1_0,40,800.00,3.90,28.64,28.45,5.00,40
1440.00,1620.00,H10W_1_0,41,820.00,4.44,28.69,25.66,5.00,41
1620.00,1800.00,H10W_1_0,51,1020.00,4.92,28.97,28.79,5.00,51
1800.00,1980.00,H10W_1_0,52,1040.00,5.15,28.38,28.04,5.00,52
1980.00,2160.00,H10W_1_0,43,860.00,4.27,28.17,27.94,5.00,43
2160.00,2340.00,H10W_1_0,38,760.00,3.62,29.46,29.13,5.00,38
2340.00,2520.00,H10W_1_0,44,880.00,4.45,27.73,27.46,5.00,44
2520.00,2700.00,H10W_1_0,43,860.00,4.01,29.91,29.77,5.00,43
2700.00,2880.00,H10W_1_0,45,900.00,4.56,27.84,27.64,5.00,46
2880.00,3060.00,H10W_1_0,50,1000.00,4.93,28.06,27.94,5.00,49
3060.00,3240.00,H10W_1_0,39,780.00,3.73,29.22,29.07,5.00,39
3240.00,3420.00,H10W_1_0,41,820.00,3.98,28.87,28.63,5.00,41
3420.00,3600.00,H10W_1_0,44,880.00,4.19,29.36,29.20,5.00,44
3600.00,3780.00,H10W_1_0,54,1080.00,5.46,28.02,27.83,5.00,55
3780.00,3960.00,H10W_1_0,52,1040.00,5.00,29.10,28.90,5.00,52
3960.00,4140.00,H10W_1_0,41,820.00,4.57,27.48,24.90,5.00,41
4140.00,4320.00,H10W_1_0,42,840.00,3.98,29.55,29.30,5.00,42
4320.00,4500.00,H10W_1_0,36,720.00,4.12,27.63,24.30,5.00,36
4500.00,4680.00,H10W_1_0,41,820.00,3.99,28.80,28.55,5.00,41
4680.00,4860.00,H10W_1_0,43,860.00,4.63,28.81,25.80,5.00,43
4860.00,5040.00,H10W_1_0,42,840.00,4.38,29.80,26.65,5.00,42
5040.00,5220.00,H10W_1_0,50,1000.00,5.06,27.75,27.44,5.00,50
5220.00,5400.00,H10W_1_0,54,1080.00,5.49,27.75,27.32,5.00,54
5400.00,5580.00,H10W_1_0,38,760.00,4.15,28.52,25.45,5.00,38
5580.00,5760.00,H10W_1_0,42,840.00,3.94,29.84,29.62,5.00,42
5760.00,5940.00,H10W_1_0,40,800.00,3.92,29.32,29.18,5.00,42
5940.00,6120.00,H10W_1_0,39,780.00,3.59,29.82,29.64,5.00,38
6120.00,6300.00,H10W_1_0,36,720.00,4.04,27.76,24.78,5.00,36
6300.00,6480.00,H10W_1_0,66,1320.00,6.84,27.09,26.78,5.00,66
6480.00,6660.00,H10W_1_0,76,1520.00,8.29,25.73,25.46,5.00,76
6660.00,6840.00,H10W_1_0,81,1620.00,8.29,27.28,27.13,5.00,81
6840.00,7020.00,H10W_1_0,29,580.00,2.81,29.84,29.64,5.00,30
7020.00,7200.00,H10W_1_0,31,620.00,3.25,26.36,25.81,5.00,30
7200.00,7380.00,H10W_1_0,21,420.00,19.41,11.33,5.43,5.00,23
7380.00,7560.00,H10W_1_0,36,720.00,8.68,12.82,11.53,5.00,36
7560.00,7740.00,H10W_1_0,33,660.00,15.14,19.37,6.05,5.00,33
7740.00,7920.00,H10W_1_0,31,620.00,11.05,25.74,17.96,5.00,32
7920.00,8100.00,H10W_1_0,16,320.00,82.67,6.02,0.50,5.00,15
8100.00,8280.00,H10W_1_0,15,300.00,19.96,2.74,2.09,5.00,15
8280.00,8460.00,H10W_1_0,4,80.00,67.81,0.92,0.85,5.00,5
8460.00,8640.00,H10W_1_0,35,700.00,55.78,4.98,0.88,5.00,34
8640.00,8820.00,H10W_1_0,0,0.00,97.57,-1.00,-1.00,-1.00,1
8820.00,9000.00,H10W_1_0,1,20.00,97.19,0.02,0.02,5.00,1
9000.00,9180.00,H10W_1_0,26,520.00,57.76,4.49,0.83,5.00,25
9180.00,9360.00,H10W_1_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
9360.00,9540.00,H10W_1_0,1,20.00,3.57,0.78,0.78,5.00,1
9540.00,9720.00,H10W_1_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
9720.00,9900.00,H10W_1_0,0,0.00,73.44,-1.00,-1.00,-1.00,1
9900.00,10080.00,H10W_1_0,0,0.00,100.00,-1.00,-1.00,-1.00,0
10080.00,10260.00,H10W_1_0,3,60.00,42.27,1.86,0.04,5.00,2
10260.00,10440.00,H10W_1_0,5,100.00,92.36,2.93,2.03,5.00,6
10440.00,10620.00,H10W_1_0,1,20.00,93.69,0.03,0.03,5.00,1
10620.00,10800.00,H10W_1_0,1,20.00,95.26,0.02,0.02,5.00,1
10800.00,10980.00,H10W_1_0,4,80.00,68.40,0.95,0.33,5.00,4
10980.00,11160.00,H10W_1_0,4,80.00,73.76,0.40,0.12,5.00,4
11160.00,11340.00,H10W_1_0,12,240.00,26.74,2.50,0.62,5.00,11
11340.00,11520.00,H10W_1_0,19,380.00,7.74,8.82,6.82,5.00,19
11520.00,11700.00,H10W_1_0,23,460.00,75.07,5.73,4.37,5.00,24
11700.00,11880.00,H10W_1_0,2,40.00,95.55,0.54,0.04,5.00,2
11880.00,12060.00,H10W_1_0,16,320.00,75.95,2.86,1.62,5.00,16
12060.00,12240.00,H10W_1_0,6,120.00,86.80,1.40,0.13,5.00,6
12240.00,12420.00,H10W_1_0,0,0.00,100.00,-1.00,-1.00,-1.00,0
12420.00,12600.00,H10W_1_0,1,20.00,97.07,0.02,0.02,5.00,1
12600.00,12780.00,H10W_1_0,0,0.00,100.00,-1.00,-1.00,-1.00,0
12780.00,12960.00,H10W_1_0,1,20.00,97.65,0.02,0.02,5.00,1
12960.00,13140.00,H10W_1_0,1,20.00,99.33,0.02,0.02,5.00,0
13140.00,13320.00,H10W_1_0,0,0.00,97.91,-1.00,-1.00,-1.00,1
13320.00,13500.00,H10W_1_0,1,20.00,97.14,0.02,0.02,5.00,1
13500.00,13680.00,H10W_1_0,0,0.00,100.00,-1.00,-1.00,-1.00,0
13680.00,13860.00,H10W_1_0,1,20.00,97.43,0.02,0.02,5.00,1
13860.00,14040.00,H10W_1_0,1,20.00,95.79,0.03,0.03,5.00,1
14040.00,14220.00,H10W_1_0,0,0.00,100.00,-1.00,-1.00,-1.00,0
14220.00,14400.00,H10W_1_0,1,20.00,95.98,0.02,0.02,5.00,1
