begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H10W_in_2,56,1120.00,6.52,30.14,24.01,5.00,58
180.00,360.00,H10W_in_2,54,1080.00,5.34,31.92,28.67,5.00,56
360.00,540.00,H10W_in_2,50,1000.00,5.77,30.26,24.99,5.00,54
540.00,720.00,H10W_in_2,52,1040.00,5.47,29.89,27.16,5.00,54
720.00,900.00,H10W_in_2,59,1180.00,7.45,25.62,22.40,5.00,61
900.00,1080.00,H10W_in_2,46,920.00,13.15,17.39,10.23,5.00,48
1080.00,1260.00,H10W_in_2,42,840.00,18.07,10.35,6.73,5.00,45
1260.00,1440.00,H10W_in_2,52,1040.00,19.29,13.35,9.91,5.00,53
1440.00,1620.00,H10W_in_2,41,820.00,40.24,13.90,2.54,5.00,44
1620.00,1800.00,H10W_in_2,36,720.00,35.32,14.03,2.85,5.00,37
1800.00,1980.00,H10W_in_2,39,780.00,9.79,14.31,11.27,5.00,40
1980.00,2160.00,H10W_in_2,38,760.00,12.00,11.16,8.83,5.00,39
2160.00,2340.00,H10W_in_2,54,1080.00,14.30,13.64,10.61,5.00,55
2340.00,2520.00,H10W_in_2,32,640.00,17.21,8.16,5.29,5.00,35
2520.00,2700.00,H10W_in_2,60,1200.00,14.40,13.99,11.66,5.00,61
2700.00,2880.00,H10W_in_2,40,800.00,15.40,12.43,7.21,5.00,40
2880.00,3060.00,H10W_in_2,29,580.00,15.02,9.38,6.66,5.00,35
3060.00,3240.00,H10W_in_2,51,1020.00,13.89,12.83,10.52,5.00,56
3240.00,3420.00,H10W_in_2,24,480.00,21.00,12.10,3.71,5.00,29
3420.00,3600.00,H10W_in_2,47,940.00,26.44,12.61,8.08,5.00,53
3600.00,3780.00,H10W_in_2,44,880.00,21.58,12.11,11.05,5.00,49
3780.00,3960.00,H10W_in_2,37,740.00,19.73,8.59,5.86,5.00,40
3960.00,4140.00,H10W_in_2,48,960.00,22.75,13.21,6.83,5.00,54
4140.00,4320.00,H10W_in_2,43,860.00,17.17,10.29,7.01,5.00,44
4320.00,4500.00,H10W_in_2,33,660.00,9.80,12.90,10.65,5.00,37
4500.00,4680.00,H10W_in_2,18,360.00,8.44,7.99,7.11,5.00,19
4680.00,4860.00,H10W_in_2,58,1160.00,12.23,15.13,13.81,5.00,63
4860.00,5040.00,H10W_in_2,17,340.00,58.31,8.49,0.83,5.00,18
5040.00,5220.00,H10W_in_2,5,100.00,0.94,15.00,14.84,5.00,5
5220.00,5400.00,H10W_in_2,64,1280.00,17.77,12.51,10.13,5.00,66
5400.00,5580.00,H10W_in_2,28,560.00,13.03,9.58,6.90,5.00,30
5580.00,5760.00,H10W_in_2,3,60.00,1.85,11.04,9.49,5.00,4
5760.00,5940.00,H10W_in_2,49,980.00,9.78,15.81,14.15,5.00,51
5940.00,6120.00,H10W_in_2,27,540.00,11.26,8.96,7.21,5.00,29
6120.00,6300.00,H10W_in_2,4,80.00,3.46,7.58,3.22,5.00,4
6300.00,6480.00,H10W_in_2,45,900.00,12.28,12.98,10.37,5.00,47
6480.00,6660.00,H10W_in_2,17,340.00,13.28,6.34,4.49,5.00,18
6660.00,6840.00,H10W_in_2,2,40.00,1.84,3.16,3.13,5.00,3
6840.00,7020.00,H10W_in_2,44,880.00,11.91,13.55,10.45,5.00,47
7020.00,7200.00,H10W_in_2,15,300.00,22.83,9.76,4.80,5.00,19
7200.00,7380.00,H10W_in_2,26,520.00,6.83,15.01,10.57,5.00,26
7380.00,7560.00,H10W_in_2,28,560.00,33.91,13.56,12.12,5.00,35
7560.00,7740.00,H10W_in_2,41,820.00,16.77,11.16,7.84,5.00,45
7740.00,7920.00,H10W_in_2,4,80.00,93.90,5.00,0.12,5.00,4
7920.00,8100.00,H10W_in_2,55,1100.00,15.95,13.28,10.13,5.00,59
8100.00,8280.00,H10W_in_2,1,20.00,98.97,6.01,6.01,5.00,2
8280.00,8460.00,H10W_in_2,46,920.00,16.70,12.85,1.11,5.00,48
8460.00,8640.00,H10W_in_2,21,420.00,17.64,9.21,6.72,5.00,23
8640.00,8820.00,H10W_in_2,6,120.00,84.65,4.18,0.20,5.00,6
8820.00,9000.00,H10W_in_2,36,720.00,12.33,14.49,10.18,5.00,39
9000.00,9180.00,H10W_in_2,28,560.00,9.01,12.58,10.43,5.00,31
9180.00,9360.00,H10W_in_2,31,620.00,64.38,11.66,8.70,5.00,31
9360.00,9540.00,H10W_in_2,30,600.00,39.51,13.05,0.89,5.00,31
9540.00,9720.00,H10W_in_2,21,420.00,64.18,12.93,12.07,5.00,22
9720.00,9900.00,H10W_in_2,32,640.00,16.33,14.49,1.18,5.00,32
9900.00,10080.00,H10W_in_2,48,960.00,18.91,12.09,8.05,5.00,53
10080.00,10260.00,H10W_in_2,10,200.00,6.23,8.17,4.15,5.00,9
10260.00,10440.00,H10W_in_2,25,500.00,8.42,10.81,8.49,5.00,26
10440.00,10620.00,H10W_in_2,34,680.00,20.39,13.39,8.51,5.00,36
10620.00,10800.00,H10W_in_2,14,280.00,3.96,16.45,13.64,5.00,15
10800.00,10980.00,H10W_in_2,26,520.00,28.77,10.58,3.23,5.00,28
10980.00,11160.00,H10W_in_2,15,300.00,5.01,10.79,8.38,5.00,17
11160.00,11340.00,H10W_in_2,56,1120.00,19.87,10.64,7.87,5.00,56
11340.00,11520.00,H10W_in_2,21,420.00,11.76,7.36,5.25,5.00,24
11520.00,11700.00,H10W_in_2,21,420.00,6.42,12.46,9.09,5.00,21
11700.00,11880.00,H10W_in_2,47,940.00,17.28,11.48,8.49,5.00,51
11880.00,12060.00,H10W_in_2,1,20.00,1.46,8.69,8.69,5.00,3
12060.00,12240.00,H10W_in_2,60,1200.00,18.17,12.94,10.14,5.00,65
12240.00,12420.00,H10W_in_2,7,140.00,76.43,9.06,6.45,5.00,8
12420.00,12600.00,H10W_in_2,54,1080.00,12.34,15.76,12.46,5.00,57
12600.00,12780.00,H10W_in_2,21,420.00,18.05,9.30,7.89,5.00,23
12780.00,12960.00,H10W_in_2,57,1140.00,21.37,9.37,7.44,5.00,59
12960.00,13140.00,H10W_in_2,23,460.00,35.36,9.92,7.35,5.00,25
13140.00,13320.00,H10W_in_2,13,260.00,4.15,13.53,8.70,5.00,13
13320.00,13500.00,H10W_in_2,56,1120.00,17.29,12.04,9.07,5.00,58
13500.00,13680.00,H10W_in_2,35,700.00,24.70,13.88,4.30,5.00,43
13680.00,13860.00,H10W_in_2,19,380.00,24.05,11.32,6.66,5.00,21
13860.00,14040.00,H10W_in_2,50,1000.00,12.65,13.45,11.63,5.00,54
14040.00,14220.00,H10W_in_2,24,480.00,32.54,11.08,8.18,5.00,29
14220.00,14400.00,H10W_in_2,39,780.00,31.42,10.50,3.57,5.00,40
